response,atlas,period,trait_family,trait_value,n_rows,bandwidth_m,aicc,rss,local_r2_mean,local_r2_median,local_t_abs_max,status
beta_turnover,1,1970s,Thermal,Thermal group: warm,1776,100000,-6168.898786094582,3.154144565989432,0.2651508136782281,0.2736717411284151,18.361825344628706,ok
beta_turnover,3,2010s,Foraging guild,Aquatic pursuers,1904,100000,-7164.697395689242,2.538031161491073,0.11983992157576955,0.09985010369978031,6.499014028102867,ok
beta_turnover,3,2010s,Foraging guild,Dabbling ducks,1904,100000,-7390.851265178757,2.2506683968199352,0.19241577712619937,0.1822281508521062,13.36877641498113,ok
beta_turnover,3,2010s,Foraging guild,Diurnal raptors,1904,100000,-8000.947085970282,1.6338650118156601,0.33262156222344597,0.33477081154421007,26.62215443335387,ok
beta_turnover,3,2010s,Foraging guild,Foliage gleaners,1904,100000,-7238.866172024793,2.4381767631565143,0.1354776874224918,0.1277951241115129,10.56943017671437,ok
beta_turnover,3,2010s,Foraging guild,Gulls,1904,100000,-7558.015520651531,2.0619564427851995,0.24781412872855624,0.2414072876543451,16.201220821881662,ok
beta_turnover,3,2010s,Foraging guild,Low flycatching feeders,1904,100000,-7421.9415952250265,2.2148777052904647,0.1905909222244787,0.1602380720070775,12.803880180255367,ok
beta_turnover,3,2010s,Foraging guild,Marsh warblers,1904,100000,-7190.104708398805,2.5027977590699257,0.12918818278274502,0.12181257277590847,8.09928755632728,ok
beta_turnover,3,2010s,Foraging guild,Omnivorous corvids,1904,100000,-7880.956253831019,1.7397445087833217,0.3115990626124529,0.2897252450248784,21.831819841858028,ok
beta_turnover,3,2010s,Foraging guild,Open-land insectivores,1904,100000,-8078.345740942021,1.5693943727124084,0.3404239597913892,0.30418152001021725,26.46279667930308,ok
beta_turnover,3,2010s,Foraging guild,Owls,1904,100000,-7805.353025509352,1.8120518279733244,0.33524874431455376,0.34571338222802606,20.315013380191797,ok
beta_turnover,3,2010s,Foraging guild,Passerine seedeaters,1904,100000,-7461.753901181731,2.169071489181107,0.18427275319034214,0.16537151983995096,15.964664131803927,ok
beta_turnover,3,2010s,Foraging guild,Plovers,1904,100000,-7714.070565584768,1.899217982747416,0.25881607904507026,0.24803189922024704,19.74274293052756,ok
beta_turnover,3,2010s,Foraging guild,Rails,1904,100000,-7171.48144833479,2.5275044576522467,0.12675878126535547,0.12294134937205037,5.660615238275649,ok
beta_turnover,3,2010s,Foraging guild,Scolopacids,1904,100000,-8001.726287877498,1.6325940036659417,0.3388705510236843,0.31805229405975777,23.6053612810397,ok
beta_turnover,3,2010s,Foraging guild,Terns,1904,100000,-7821.308304718408,1.7950059400078078,0.31788208575937293,0.31339201219836516,21.486705207939675,ok
beta_turnover,3,2010s,Foraging guild,Tit-like birds,1904,100000,-7906.808594980948,1.7169360924727335,0.30710123004465045,0.29606941834244216,24.120640510502856,ok
beta_turnover,3,2010s,Foraging guild,Woodpeckers,1904,100000,-7470.825258509573,2.1597317984887963,0.19315213045459312,0.17455611278411867,16.98118169477595,ok
beta_turnover,3,2010s,Migration,long-distance,1904,100000,-7465.654250128867,2.1657683263806633,0.16823642509277292,0.1395235237848625,15.953883150991512,ok
beta_turnover,3,2010s,Migration,sedentary,1904,100000,-7785.265912256895,1.8298966446063543,0.2833322792398164,0.26897903195918044,20.26387356060557,ok
beta_turnover,3,2010s,Migration,sedentary and short-distance,1904,100000,-7140.412497598608,2.5697881922275925,0.10494005859325314,0.09050695675667972,4.909676932497258,ok
beta_turnover,3,2010s,Migration,short-and long-distance,1904,100000,-7464.244827435916,2.1654694282606015,0.1996661887723558,0.17949527931785686,17.388414234317032,ok
beta_turnover,3,2010s,Migration,short-distance,1904,100000,-8004.930603452379,1.6300481130439641,0.36736531818443685,0.37282585863292084,23.215937477217693,ok
beta_turnover,3,2010s,Thermal,CWM STI,1904,100000,-7755.001657022516,1.8582165475139432,0.28179968433567654,0.26917628021302126,19.117287307670015,ok
beta_turnover,3,2010s,Thermal,Thermal group: cold,1904,100000,-7154.356449870588,2.549236952536457,0.11217514651522328,0.0966798190786271,4.901856320970635,ok
beta_turnover,3,2010s,Thermal,Thermal group: medium,1904,100000,-7247.592901265317,2.4271341012210477,0.14288567725078619,0.11801701901740272,9.080488209362018,ok
beta_turnover,3,2010s,Thermal,Thermal group: very cold,1904,100000,-7676.341195592642,1.9365371048547015,0.26749398486205833,0.25251118365550196,18.022014679893495,ok
beta_turnover,3,2010s,Thermal,Thermal group: very warm,1904,100000,-7372.223087414116,2.2736832393390554,0.17251315355033986,0.14506183832260133,13.875191364569707,ok
beta_turnover,3,2010s,Thermal,Thermal group: warm,1904,100000,-7749.682382977913,1.8646437516404113,0.2652219067539786,0.24461234478041644,20.874946959191366,ok
richness,1,1970s,Foraging guild,Aquatic pursuers,1776,100000,13532.41763030204,207354.38872725537,0.28075979487513836,0.2673156678634322,12.249355938513133,ok
richness,1,1970s,Foraging guild,Dabbling ducks,1776,100000,13657.113549190537,222294.22489687183,0.23104849729929988,0.22464486306505554,10.42541483098324,ok
richness,1,1970s,Foraging guild,Diurnal raptors,1776,100000,13164.278916518511,168533.46550378756,0.4132270253102347,0.40795881999420436,17.196458536227,ok
richness,1,1970s,Foraging guild,Foliage gleaners,1776,100000,12958.343781039084,149981.4315280242,0.48786170986996874,0.45351430412753263,21.35058658036839,ok
richness,1,1970s,Foraging guild,Gulls,1776,100000,13848.343128366549,247508.8035826822,0.13896959548712154,0.1190443793290906,4.89899359059872,ok
richness,1,1970s,Foraging guild,Low flycatching feeders,1776,100000,13775.614288457504,237603.42732686255,0.17072437376352542,0.15375937419424796,9.078138575849568,ok
richness,1,1970s,Foraging guild,Marsh warblers,1776,100000,13643.663567619482,220687.31565320544,0.23823239847839767,0.23524113716332246,12.358997440310068,ok
richness,1,1970s,Foraging guild,Omnivorous corvids,1776,100000,13794.744622931943,240172.30133547162,0.16255975326967798,0.16040028567139067,8.37412639755841,ok
richness,1,1970s,Foraging guild,Open-land insectivores,1776,100000,13459.500390300607,198949.5534030728,0.2968577249299767,0.2761183946982698,14.852510116495798,ok
richness,1,1970s,Foraging guild,Owls,1776,100000,12735.36163077954,132310.48661347383,0.5529855747680055,0.5604766446781118,25.060092802942844,ok
richness,1,1970s,Foraging guild,Passerine seedeaters,1776,100000,13659.72007672478,222562.92215100216,0.21960246518030213,0.20846697351316607,12.356247773713713,ok
richness,1,1970s,Foraging guild,Plovers,1776,100000,13844.674543584253,247091.2003747999,0.1367822835242119,0.12437655908744505,6.219522842611375,ok
richness,1,1970s,Foraging guild,Rails,1776,100000,13749.481267147177,234182.56635686447,0.18430098826904684,0.1783603039065801,7.337016998654168,ok
richness,1,1970s,Foraging guild,Scolopacids,1776,100000,13709.53658661667,228919.20595882513,0.2042017466249255,0.17193323814452488,9.613727260695567,ok
richness,1,1970s,Foraging guild,Terns,1776,100000,13859.149119076916,249080.30569281336,0.13223662815496284,0.11217427320699368,5.363088588839463,ok
richness,1,1970s,Foraging guild,Tit-like birds,1776,100000,13810.757818771104,242397.25166779308,0.15237058209003146,0.13818496864485535,6.8719591628230745,ok
richness,1,1970s,Foraging guild,Woodpeckers,1776,100000,13623.01733424334,218166.0112190366,0.23987335198026452,0.22028456422703752,10.430689390915457,ok
richness,1,1970s,Migration,long-distance,1776,100000,13798.110706276611,240699.42677355255,0.15974755235055593,0.14754741856576745,8.741641874254382,ok
richness,1,1970s,Migration,sedentary,1776,100000,13849.533818292264,247693.91191433708,0.13972402464810124,0.11861198377692983,6.016068082255312,ok
richness,1,1970s,Migration,sedentary and short-distance,1776,100000,13767.570507891343,236691.77272728016,0.1723858305731458,0.1694281509706668,8.389488336223849,ok
richness,1,1970s,Migration,short-and long-distance,1776,100000,13749.189057623695,234113.89160106803,0.18539855817434012,0.15708630175352675,9.628227974085757,ok
richness,1,1970s,Migration,short-distance,1776,100000,13854.87697909194,248490.84681733226,0.1371774116367334,0.11654225306123318,4.0092168459888295,ok
richness,1,1970s,Thermal,CWM STI,1776,100000,13834.301629757836,245568.8480741738,0.14675851697511674,0.12316971058774405,5.200046336151525,ok
richness,1,1970s,Thermal,Thermal group: cold,1776,100000,13641.638911504084,220464.72854482033,0.22509813615148125,0.21777787305490925,10.017057076213403,ok
richness,1,1970s,Thermal,Thermal group: medium,1776,100000,13383.43622241751,190492.5714247547,0.3543265611789891,0.3417328023858271,18.484674520194595,ok
richness,1,1970s,Thermal,Thermal group: very cold,1776,100000,13705.8046194532,228423.53171686118,0.21003161963400693,0.1933013414275676,9.246344814394174,ok
richness,1,1970s,Thermal,Thermal group: very warm,1776,100000,13738.232469340823,232679.99170957328,0.18897197591671247,0.1843270714313654,9.05722119134064,ok
richness,1,1970s,Thermal,Thermal group: warm,1776,100000,13872.102824725876,250964.07417467027,0.12782284612520245,0.11280726863531684,8.205602976155411,ok
richness,3,2010s,Foraging guild,Aquatic pursuers,1904,100000,13518.435963485375,132505.42365800362,0.44683750920363063,0.4479169618990221,21.258382976510045,ok
richness,3,2010s,Foraging guild,Dabbling ducks,1904,100000,13819.686162560338,155005.42296734295,0.3526689050275942,0.3506122209073721,19.01101959197387,ok
richness,3,2010s,Foraging guild,Diurnal raptors,1904,100000,13051.10536068019,103538.48056649094,0.5595799294861373,0.5498053859722205,30.398955959371904,ok
richness,3,2010s,Foraging guild,Foliage gleaners,1904,100000,9309.933898904623,14513.684002406117,0.9432905863794496,0.9473752757420391,98.25968129324843,ok
richness,3,2010s,Foraging guild,Gulls,1904,100000,14258.198240928397,195194.2947103726,0.18106657254711614,0.16873501289105303,10.43244535989529,ok
richness,3,2010s,Foraging guild,Low flycatching feeders,1904,100000,12909.408298891187,96127.15990610735,0.620139165848687,0.6359540078172068,31.534914228796364,ok
richness,3,2010s,Foraging guild,Marsh warblers,1904,100000,14079.48314791625,177799.40136371047,0.25864583997702667,0.2604917972843804,13.500186566689862,ok
richness,3,2010s,Foraging guild,Omnivorous corvids,1904,100000,14199.957401787331,189256.1722470217,0.211369123738107,0.20826384076019683,12.777494512624171,ok
richness,3,2010s,Foraging guild,Open-land insectivores,1904,100000,13563.28005725124,135549.19269929585,0.41151559374189817,0.41797808756896204,21.83150400898472,ok
richness,3,2010s,Foraging guild,Owls,1904,100000,13727.547539559653,147820.84682986944,0.38322990820815545,0.3993949167397585,22.02255365232586,ok
richness,3,2010s,Foraging guild,Passerine seedeaters,1904,100000,14197.04267730064,189040.68999806582,0.20385830560126253,0.16054359900735066,12.667846560003186,ok
richness,3,2010s,Foraging guild,Plovers,1904,100000,14381.228743393967,208171.2256406995,0.11805780798676238,0.10048209515605457,7.641813126660857,ok
richness,3,2010s,Foraging guild,Rails,1904,100000,13800.68575572301,153587.56435408644,0.3599648066006469,0.3513028114019332,19.58674509466215,ok
richness,3,2010s,Foraging guild,Scolopacids,1904,100000,13847.423605931965,157245.57196247732,0.34304261776000045,0.325058292623423,18.429610998648844,ok
richness,3,2010s,Foraging guild,Terns,1904,100000,14323.585623353234,201940.81370896802,0.14524304057251217,0.11666287608428337,9.581215107526267,ok
richness,3,2010s,Foraging guild,Tit-like birds,1904,100000,14393.732462114465,209611.35474349943,0.10713717827321473,0.0833441828648264,7.531927521426947,ok
richness,3,2010s,Foraging guild,Woodpeckers,1904,100000,14186.75621208781,188106.6241462659,0.19753369414719815,0.17902778176924722,12.274131254605262,ok
richness,3,2010s,Migration,long-distance,1904,100000,14382.04554456619,208440.1917131297,0.12032845833925582,0.1104634632283783,6.745441786697206,ok
richness,3,2010s,Migration,sedentary,1904,100000,14277.309428535813,197155.204105356,0.1748925520352313,0.16047951847576553,10.650204236978595,ok
richness,3,2010s,Migration,sedentary and short-distance,1904,100000,14358.166504075307,205889.30811539158,0.13046652322900135,0.11696770897048378,9.333616420322345,ok
richness,3,2010s,Migration,short-and long-distance,1904,100000,14118.646653278938,181350.95526383645,0.23695624413756303,0.1987162017153973,13.098751883613199,ok
richness,3,2010s,Migration,short-distance,1904,100000,14213.81663994484,190635.715727092,0.19150019898836848,0.13839510148658163,13.489731506265558,ok
richness,3,2010s,Thermal,CWM STI,1904,100000,14332.278097239127,202821.02890032978,0.14705763616796397,0.12156363198201353,9.621583613368674,ok
richness,3,2010s,Thermal,Thermal group: cold,1904,100000,14369.157347138325,206935.1152302899,0.12589919002428338,0.0999996783030048,7.642813265018713,ok
richness,3,2010s,Thermal,Thermal group: medium,1904,100000,11642.412311175416,49411.20029722023,0.8179419851523244,0.8351714301299663,50.20118625203134,ok
richness,3,2010s,Thermal,Thermal group: very cold,1904,100000,14071.984118007897,176900.22395021946,0.2645688064024706,0.2518102714622127,14.867475683220931,ok
richness,3,2010s,Thermal,Thermal group: very warm,1904,100000,13707.912422171674,146224.85685446218,0.3897959434672638,0.40879154872825807,19.915931768144354,ok
richness,3,2010s,Thermal,Thermal group: warm,1904,100000,14351.678568890371,205033.2950376159,0.13200906170085225,0.1125466962005917,8.766522231761954,ok
