survey,site,X,Y,coefficient,local_t,abs_local_t,local_r2,response,atlas,period,trait_family,trait_value,direction,supported,dominant_trait_value,dominant_direction
AF91_1,AF91,447500.16279772675,6157499.807246089,-0.04268373470917409,-19.994744408664232,19.994744408664232,0.6177609387026113,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AF92_1,AF92,447500.2057250942,6162499.834014087,-0.04234537631725322,-20.139948250029498,20.139948250029498,0.6087758805263965,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AF93_1,AF93,447500.1653840631,6167499.788514787,-0.04195954622624162,-20.21761519287177,20.21761519287177,0.5996088009714605,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AF94_1,AF94,447500.1697669054,6172499.780493908,-0.04149938506167739,-20.221827727712306,20.221827727712306,0.5902645285333383,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AF96_1,AF96,447500.12389998813,6182499.65648123,-0.040431274486453575,-20.08194841128708,20.08194841128708,0.5729826887087309,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AF97_1,AF97,447500.13908220717,6187499.650967309,-0.0399090048417203,-20.038286340565215,20.038286340565215,0.5662775258007063,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AF98_1,AF98,447500.13873657817,6192499.683587027,-0.03943837316362066,-20.042273575928267,20.042273575928267,0.5613162199026175,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AF99_1,AF99,447500.1235891788,6197499.754315107,-0.03903500944772591,-20.09475467426525,20.09475467426525,0.5582035165580985,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC10_1,BC10,457500.06312543934,6302499.745828598,-0.04164119298876967,-20.294573248403545,20.294573248403545,0.587871463804441,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC11_1,BC11,457500.0287272008,6307499.784091797,-0.04251367813162446,-20.14969216151625,20.14969216151625,0.5916911691435606,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC20_1,BC20,462500.0832758646,6302499.782276433,-0.04104459156098583,-20.550883318388532,20.550883318388532,0.5785899118224181,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC21_1,BC21,462500.08463837503,6307499.738256342,-0.04191213513792169,-20.42282455266917,20.42282455266917,0.5830085800670829,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC30_1,BC30,467500.03225555073,6302499.688678854,-0.04047859222371954,-20.77465149464143,20.77465149464143,0.5693099929819704,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC31_1,BC31,467500.0700814336,6307499.683991895,-0.04133519157571225,-20.65387764789084,20.65387764789084,0.574277154051172,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC32_1,BC32,467500.03942602925,6312499.716500132,-0.0422398739812046,-20.47264735744141,20.47264735744141,0.5785077771738669,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC33_1,BC33,467500.06162332307,6317499.67391025,-0.043153572841346105,-20.228006631663977,20.228006631663977,0.5819341891915375,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC34_1,BC34,467500.01645873167,6322499.668462578,-0.04403521611240446,-19.918557344373482,19.918557344373482,0.5843750650604573,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC40_1,BC40,472500.05137193855,6302499.68679326,-0.03992028630728607,-20.96179035192104,20.96179035192104,0.5601203884373442,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC41_1,BC41,472500.0641984955,6307499.732148187,-0.04076513741912817,-20.844414943524296,20.844414943524296,0.5655886067313255,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC43_1,BC43,472500.07431792136,6317499.709834675,-0.04258631047928149,-20.44374725503875,20.44374725503875,0.5742634816533788,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC44_1,BC44,472500.07316175365,6322499.753427244,-0.04347472994923371,-20.148991482931784,20.148991482931784,0.5771832126654282,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC45_1,BC45,472500.04746136797,6327499.722303724,-0.04429596475086245,-19.791538630784896,19.791538630784896,0.5788483383708444,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC50_1,BC50,477500.03517784266,6302499.666388486,-0.03935215191196478,-21.09822560438269,21.09822560438269,0.5509659286264941,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC51_1,BC51,477500.0219923793,6307499.660629535,-0.040183638492949134,-20.981136280001397,20.981136280001397,0.5568678423703582,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC52_1,BC52,477500.0270955203,6312499.691159323,-0.04107448351612253,-20.817180388748035,20.817180388748035,0.5620226719687066,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC53_1,BC53,477500.050134716,6317499.646637439,-0.04198542293501453,-20.60270495355655,20.60270495355655,0.5663155694035412,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC54_1,BC54,477500.091967421,6322499.63835183,-0.042859904000902005,-20.325268065785476,20.325268065785476,0.5695858449473583,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC55_1,BC55,477500.0922437846,6327499.666607962,-0.04366458580298804,-19.987539747311462,19.987539747311462,0.571525686112247,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC60_1,BC60,482500.0626082632,6302499.738540966,-0.03876555870173576,-21.16695414118779,21.16695414118779,0.541512346062336,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC62_1,BC62,482500.04548227973,6312499.681136523,-0.04044412730745228,-20.894371734979813,20.894371734979813,0.5531855326127342,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC64_1,BC64,482500.09264614136,6322499.657199486,-0.04216878206290199,-20.435790872524528,20.435790872524528,0.5612243620302564,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC65_1,BC65,482500.0574243303,6327499.644156614,-0.042943984639633906,-20.119767209950812,20.119767209950812,0.563370917988349,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC70_1,BC70,487500.0281488765,6302499.681272506,-0.03816991019007246,-21.159986960861342,21.159986960861342,0.5315561649232385,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC71_1,BC71,487500.02372481115,6307499.714883644,-0.03895717954563696,-21.049938165895664,21.049938165895664,0.5379955201734384,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC72_1,BC72,487500.06305016344,6312499.673261789,-0.03978195603990681,-20.899275732771383,20.899275732771383,0.5435908828780303,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC73_1,BC73,487500.0249803983,6317499.668063927,-0.04062115878047537,-20.71346446721495,20.71346446721495,0.5482847677319699,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC74_1,BC74,487500.03132666176,6322499.698896714,-0.041428820774549485,-20.47532745562229,20.47532745562229,0.5518956379111387,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC75_1,BC75,487500.08176904864,6327499.654417714,-0.04217118995796887,-20.181721849776153,20.181721849776153,0.5542501159649004,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC81_1,BC81,492500.041047909,6307499.729905474,-0.038323170498352904,-20.96734267208849,20.96734267208849,0.5277283804939547,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC82_1,BC82,492500.03649829555,6312499.667744995,-0.03910970056360481,-20.822972728392582,20.822972728392582,0.5334039445558705,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC83_1,BC83,492499.997856006,6317499.641786334,-0.039911116446608275,-20.651316251813736,20.651316251813736,0.5382238031631602,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC84_1,BC84,492500.0467049848,6322499.651782474,-0.04068531981467956,-20.435680869086802,20.435680869086802,0.5419559198733979,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC85_1,BC85,492500.0614262203,6327499.586613408,-0.041386789599659135,-20.160877040635366,20.160877040635366,0.5444116372780858,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC93_1,BC93,497500.0048648076,6317499.628014286,-0.03922027212920348,-20.506315057217538,20.506315057217538,0.5278771576845973,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC94_1,BC94,497500.0354478817,6322499.62760691,-0.03996403963947576,-20.31430411015404,20.31430411015404,0.5317636143148088,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC95_1,BC95,497500.0144291096,6327499.551978993,-0.04062330925784528,-20.05724107660985,20.05724107660985,0.5342536040976564,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BC96_1,BC96,497500.0027015511,6332499.623702109,-0.04116665432576423,-19.73203093337427,19.73203093337427,0.5352943203304869,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD00_1,BD00,452500.055170292,6252499.551853021,-0.037747077033767215,-20.52757468473558,20.52757468473558,0.5615955763636239,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD01_1,BD01,452500.062128352,6257499.642154956,-0.037909461060098085,-20.479628591207284,20.479628591207284,0.5641924014497873,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD02_1,BD02,452500.0451360465,6262499.658862274,-0.038112217346272056,-20.432163037563672,20.432163037563672,0.5668721735447422,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD03_1,BD03,452500.00491227995,6267499.601946497,-0.03836915545907929,-20.382798113755513,20.382798113755513,0.5698076994272473,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD04_1,BD04,452500.0060987118,6272499.69329495,-0.038686507448115054,-20.332140031524027,20.332140031524027,0.5730363184224405,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD05_1,BD05,452499.98535578116,6277499.71096541,-0.03906675926844548,-20.282108917276872,20.282108917276872,0.5765311393383988,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD06_1,BD06,452500.00592764583,6282499.765541134,-0.03952478326216853,-20.237077137765677,20.237077137765677,0.5803690039718595,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD07_1,BD07,452500.0058695333,6287499.746381921,-0.040064387631950166,-20.196000587648705,20.196000587648705,0.5844908264727613,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD08_1,BD08,452499.9871680592,6292499.764766518,-0.04070984838031835,-20.164069116360555,20.164069116360555,0.5889311400612571,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD10_1,BD10,457500.0642796085,6252499.626853711,-0.03710350353031523,-20.60492163040062,20.60492163040062,0.547066692577965,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD11_1,BD11,457500.03424585843,6257499.62756949,-0.03727793003351115,-20.583155201687326,20.583155201687326,0.5500535293036183,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD12_1,BD12,457500.0261392312,6262499.665304576,-0.03748945941440318,-20.559921956428557,20.559921956428557,0.5531414841060008,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD13_1,BD13,457500.03933642176,6267499.628727978,-0.03775234798063758,-20.531341699976036,20.531341699976036,0.5565001270365257,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD17_1,BD17,457500.0192793853,6287499.743606095,-0.039453560232769844,-20.413975895617213,20.413975895617213,0.5732447272095778,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD18_1,BD18,457500.0290933364,6292499.781524262,-0.040090477590659104,-20.40343822011903,20.40343822011903,0.5783165372830029,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD19_1,BD19,457500.063487968,6297499.744964002,-0.04082603765809703,-20.374773050830605,20.374773050830605,0.5833575376611103,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD20_1,BD20,462500.0521724849,6252499.692892568,-0.03646062517896999,-20.6567647568656,20.6567647568656,0.5324062560329127,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD21_1,BD21,462500.04652625887,6257499.613366459,-0.036643690307091,-20.659116474605803,20.659116474605803,0.5357947007631132,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD22_1,BD22,462500.04672205047,6262499.682150681,-0.03686504308149981,-20.656036475136382,20.656036475136382,0.539294303156492,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD26_1,BD26,462500.0396707308,6282499.770858137,-0.03833640296256065,-20.607692112820516,20.607692112820516,0.5567094592791555,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD27_1,BD27,462500.0084153306,6287499.80222181,-0.03888430501547732,-20.616558830152123,20.616558830152123,0.56214005771957265,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD28_1,BD28,462500.04522956035,6292499.758577253,-0.03952277809227939,-20.631693679728013,20.631693679728013,0.5678846346930991,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD29_1,BD29,462500.0292985126,6297499.752303558,-0.0402464324776723,-20.61906135357433,20.61906135357433,0.5735039249178301,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD31_1,BD31,467500.0543298067,6257499.600372754,-0.035996231575892795,-20.700096937869827,20.700096937869827,0.5213050612883495,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD32_1,BD32,467500.06232946395,6262499.710226541,-0.036230706978045576,-20.713625965936046,20.713625965936046,0.5252471109055714,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD35_1,BD35,467500.0749060298,6277499.704398919,-0.03728573519691765,-20.737796211082298,20.737796211082298,0.5393845829725744,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD36_1,BD36,467500.0370856172,6282499.739297631,-0.03777700707790976,-20.76405555451778,20.76405555451778,0.5450743690916043,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD37_1,BD37,467500.0506595336,6287499.810571126,-0.03833577926125466,-20.8009506582485,20.8009506582485,0.551174237290367,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD38_1,BD38,467500.0539126969,6292499.807359152,-0.03897659344181825,-20.83782033148112,20.83782033148112,0.5575546048451401,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD39_1,BD39,467500.0473273079,6297499.729633846,-0.03969180133566905,-20.83593176430182,20.83593176430182,0.5637031823944397,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD40_1,BD40,472500.0931846446,6252499.686959085,-0.03511596970002716,-20.66348304746099,20.66348304746099,0.5021182011805121,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD41_1,BD41,472500.0753691514,6257499.700065501,-0.03532343263272546,-20.69850269864527,20.69850269864527,0.5063891714849404,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD42_1,BD42,472500.0892348051,6262499.638397401,-0.035573611487296306,-20.72404690434826,20.72404690434826,0.5108333296998879,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD43_1,BD43,472500.0750117887,6267499.724942416,-0.03588518065977998,-20.75391868785314,20.75391868785314,0.5157205689112065,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD44_1,BD44,472500.09313145553,6272499.736661749,-0.03626317443967077,-20.79171003793112,20.79171003793112,0.5211528031497282,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD45_1,BD45,472500.082515051,6277499.673930096,-0.0367036234239943,-20.83542328093673,20.83542328093673,0.52706218913264,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD46_1,BD46,472500.04509961524,6282499.759338391,-0.037211452414634416,-20.888733155231602,20.888733155231602,0.5334380786671543,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD47_1,BD47,472500.0410912281,6287499.769842108,-0.03778481340462439,-20.95222063150612,20.95222063150612,0.5402431654548977,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD48_1,BD48,472500.0707461879,6292499.705413405,-0.03843068421302284,-21.009695945257587,21.009695945257587,0.5472594077348425,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD49_1,BD49,472500.07474827545,6297499.789050161,-0.03914215414456525,-21.018059861634278,21.018059861634278,0.5539815205940726,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD50_1,BD50,477500.11881933274,6252499.615843311,-0.03439384131232395,-20.605351354362043,20.605351354362043,0.48615922763382696,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD51_1,BD51,477500.0634254692,6257499.690373675,-0.034620445213921006,-20.655575250233692,20.655575250233692,0.4909904477874004,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD55_1,BD55,477500.05691394093,6277499.685499792,-0.03609756488158869,-20.891610093098173,20.891610093098173,0.5145982161540875,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD56_1,BD56,477500.0801616678,6282499.719876353,-0.03662487990667802,-20.97120659375481,20.97120659375481,0.5217520811224505,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD57_1,BD57,477500.05835724296,6287499.679689139,-0.037218461296432206,-21.061467211721475,21.061467211721475,0.5293539904944634,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD58_1,BD58,477500.0542861005,6292499.787203539,-0.03787450520543603,-21.13678769461536,21.13678769461536,0.5370560596375072,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD59_1,BD59,477500.06639862224,6297499.708461465,-0.03858424013876095,-21.152801202492178,21.152801202492178,0.5443546968583429,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD60_1,BD60,482500.06846866757,6252499.64834874,-0.03360999382441046,-20.488330138610223,20.488330138610223,0.46936079214703347,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD61_1,BD61,482500.09796961857,6257499.682375004,-0.033873382872865135,-20.571460978680044,20.571460978680044,0.47505371459110374,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD64_1,BD64,482500.05279373936,6272499.67016245,-0.03497976960904352,-20.811345859438003,20.811345859438003,0.4945569781658636,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD66_1,BD66,482500.0376611929,6282499.732977217,-0.03601236515156299,-21.005201050734925,21.005201050734925,0.5100096043940576,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD67_1,BD67,482500.0596615541,6287499.763232267,-0.03663322677404064,-21.118587824544697,21.118587824544697,0.5184413402121645,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD68_1,BD68,482500.01980244165,6292499.718820099,-0.03730299593477732,-21.203371400753113,21.203371400753113,0.5267748397057449,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD69_1,BD69,482500.0410989809,6297499.710512316,-0.03800910178578086,-21.22119979978777,21.22119979978777,0.5345036095432417,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD70_1,BD70,487500.0817826781,6252499.672654292,-0.0327663302272284,-20.305076285234904,20.305076285234904,0.45170214049392504,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD71_1,BD71,487500.07274000347,6257499.676720983,-0.03307239741597737,-20.428053763864696,20.428053763864696,0.45842407478551883,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD72_1,BD72,487500.10657854204,6262499.717117674,-0.03342745401850933,-20.54133927170486,20.54133927170486,0.46552604899253563,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD73_1,BD73,487500.0600253826,6267499.6828794535,-0.03383158077795287,-20.646638045928103,20.646638045928103,0.4729874280171509,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
BD74_1,BD74,487500.05668077216,6272499.684921809,-0.034286665487347504,-20.75014096639171,20.75014096639171,0.4808611637573257,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
