trait_family,trait_value,base_site,survey_start,site_start,X_start,Y_start,value_start,survey_end,site_end,X,Y,value_end,delta,direction,delta_sd,standardized_change,abs_standardized_change,winner_label,signed_winner_change
Foraging guild,Terns,AF98,AF98_1,AF98,447500.13873657817,6192499.683587027,0.04785317631755416,AF98_3,AF98,447500.13873657817,6192499.683587027,0.01423604943242026,-0.0336171268851339,Decrease,0.0061841138867764186,-5.436045891233972,5.436045891233972,Foraging guild: Terns,-5.436045891233972
Foraging guild,Terns,AF99,AF99_1,AF99,447500.1235891788,6197499.754315107,0.0403436128092074,AF99_3,AF99,447500.1235891788,6197499.754315107,0.019436037342660265,-0.02090757546654714,Decrease,0.0061841138867764186,-3.380852269110715,3.380852269110715,Foraging guild: Terns,-3.380852269110715
Migration,sedentary,BC10,BC10_1,BC10,457500.06312543934,6302499.745828598,0.37387576884410184,BC10_3,BC10,457500.06312543934,6302499.745828598,0.22914087464053712,-0.14473489420356472,Decrease,0.031964532108813386,-4.527984132877636,4.527984132877636,Migration: sedentary,-4.527984132877636
Migration,sedentary,BC11,BC11_1,BC11,457500.0287272008,6307499.784091797,0.36228533946137276,BC11_3,BC11,457500.0287272008,6307499.784091797,0.20004670906579436,-0.1622386303955784,Decrease,0.031964532108813386,-5.075582831723832,5.075582831723832,Migration: sedentary,-5.075582831723832
Thermal,Thermal group: very warm,BC20,BC20_1,BC20,462500.0832758646,6302499.782276433,0.10689394574378698,BC20_3,BC20,462500.0832758646,6302499.782276433,0.14070731161355887,0.03381336586977189,Increase,0.012229177474484862,2.764974663285458,2.764974663285458,Thermal: Thermal group: very warm,2.764974663285458
Thermal,Thermal group: very warm,BC21,BC21_1,BC21,462500.08463837503,6307499.738256342,0.09516867709972204,BC21_3,BC21,462500.08463837503,6307499.738256342,0.12863687240174473,0.03346819530202269,Increase,0.012229177474484862,2.7367494970002055,2.7367494970002055,Thermal: Thermal group: very warm,2.7367494970002055
Foraging guild,Rails,BC30,BC30_1,BC30,467500.03225555073,6302499.688678854,0.03727752287358921,BC30_3,BC30,467500.03225555073,6302499.688678854,0.014220034783432572,-0.023057488090156637,Decrease,0.009207482708653023,-2.5042119349827976,2.5042119349827976,Foraging guild: Rails,-2.5042119349827976
Migration,short-and long-distance,BC31,BC31_1,BC31,467500.0700814336,6307499.683991895,0.0015446724419867005,BC31_3,BC31,467500.0700814336,6307499.683991895,0.015168637145945935,0.013623964703959233,Increase,0.005534462869832597,2.461659789646637,2.461659789646637,Migration: short-and long-distance,2.461659789646637
Foraging guild,Passerine seedeaters,BC32,BC32_1,BC32,467500.03942602925,6312499.716500132,0.08078191247376568,BC32_3,BC32,467500.03942602925,6312499.716500132,0.11574234805800347,0.034960435584237795,Increase,0.011614695957552051,3.0100172843100546,3.0100172843100546,Foraging guild: Passerine seedeaters,3.0100172843100546
Foraging guild,Rails,BC33,BC33_1,BC33,467500.06162332307,6317499.67391025,0.030102928281379244,BC33_3,BC33,467500.06162332307,6317499.67391025,0.011774594574851227,-0.01832833370652802,Decrease,0.009207482708653023,-1.99059116226234,1.99059116226234,Foraging guild: Rails,-1.99059116226234
Thermal,Thermal group: very warm,BC34,BC34_1,BC34,467500.01645873167,6322499.668462578,0.08951859626374849,BC34_3,BC34,467500.01645873167,6322499.668462578,0.1047380372908728,0.015219441027124317,Increase,0.012229177474484862,1.2445187796872181,1.2445187796872181,Thermal: Thermal group: very warm,1.2445187796872181
Thermal,Thermal group: cold,BC40,BC40_1,BC40,472500.05137193855,6302499.68679326,0.2922003151238871,BC40_3,BC40,472500.05137193855,6302499.68679326,0.2286472075519646,-0.063553107571922507,Decrease,0.018306465811002055,-3.4716208048048,3.4716208048048,Thermal: Thermal group: cold,-3.4716208048048
Foraging guild,Low flycatching feeders,BC41,BC41_1,BC41,472500.0641984955,6307499.732148187,0.054916357080484424,BC41_3,BC41,472500.0641984955,6307499.732148187,0.10969510262207638,0.054778745541591956,Increase,0.015897313823104414,3.445786259939027,3.445786259939027,Foraging guild: Low flycatching feeders,3.445786259939027
Foraging guild,Owls,BC43,BC43_1,BC43,472500.07431792136,6317499.709834675,0.02024432077535849,BC43_3,BC43,472500.07431792136,6317499.709834675,0.008897103805830078,-0.011347216969528411,Decrease,0.005596576930679483,-2.027528096205539,2.027528096205539,Foraging guild: Owls,-2.027528096205539
Foraging guild,Rails,BC44,BC44_1,BC44,472500.07316175365,6322499.753427244,0.03741238938497006,BC44_3,BC44,472500.07316175365,6322499.753427244,0.015575133544916363,-0.021837255840053697,Decrease,0.009207482708653023,-2.371685783295737,2.371685783295737,Foraging guild: Rails,-2.371685783295737
Foraging guild,Open-land insectivores,BC45,BC45_1,BC45,472500.04746136797,6327499.722303724,0.08052001755917788,BC45_3,BC45,472500.04746136797,6327499.722303724,0.13627685416043847,0.05575683660126059,Increase,0.0073465438531933455,7.589532944395968,7.589532944395968,Foraging guild: Open-land insectivores,7.589532944395968
Migration,short-and long-distance,BC50,BC50_1,BC50,477500.03517784266,6302499.666388486,0.00466718391769188,BC50_3,BC50,477500.03517784266,6302499.666388486,0.01819628262087687,0.01352909870318499,Increase,0.005534462869832597,2.444518830712511,2.444518830712511,Migration: short-and long-distance,2.444518830712511
Foraging guild,Marsh warblers,BC51,BC51_1,BC51,477500.0219923793,6307499.660629535,0.009913623828630333,BC51_3,BC51,477500.0219923793,6307499.660629535,0.04470274844467343,0.034789124616043096,Increase,0.01173011444912263,2.965795838304476,2.965795838304476,Foraging guild: Marsh warblers,2.965795838304476
Foraging guild,Owls,BC52,BC52_1,BC52,477500.0270955203,6312499.691159323,0.025560744320263843,BC52_3,BC52,477500.0270955203,6312499.691159323,0.00838162179116607,-0.01717912252909777,Decrease,0.005596576930679483,-3.0695767684215585,3.0695767684215585,Foraging guild: Owls,-3.0695767684215585
Foraging guild,Owls,BC53,BC53_1,BC53,477500.050134716,6317499.646637439,0.020347089742728287,BC53_3,BC53,477500.050134716,6317499.646637439,0.008115406473244515,-0.012231683269483772,Decrease,0.005596576930679483,-2.1855651089922064,2.1855651089922064,Foraging guild: Owls,-2.1855651089922064
Migration,short-and long-distance,BC54,BC54_1,BC54,477500.091967421,6322499.63835183,0.0018350027343992641,BC54_3,BC54,477500.091967421,6322499.63835183,0.012464973374030405,0.01062997063963114,Increase,0.005534462869832597,1.9206869554719173,1.9206869554719173,Migration: short-and long-distance,1.9206869554719173
Migration,short-and long-distance,BC55,BC55_1,BC55,477500.0922437846,6327499.666607962,0.0025267659499581298,BC55_3,BC55,477500.0922437846,6327499.666607962,0.019104435909293182,0.016577669959335052,Increase,0.005534462869832597,2.9953529997819794,2.9953529997819794,Migration: short-and long-distance,2.9953529997819794
Foraging guild,Scolopacids,BC60,BC60_1,BC60,482500.0626082632,6302499.738540966,0.0398532486961892,BC60_3,BC60,482500.0626082632,6302499.738540966,0.0017259164450003927,-0.038127332251188806,Decrease,0.011717888545512397,-3.2537715393948208,3.2537715393948208,Foraging guild: Scolopacids,-3.2537715393948208
Foraging guild,Gulls,BC62,BC62_1,BC62,482500.04548227973,6312499.681136523,0.0032629593038526654,BC62_3,BC62,482500.04548227973,6312499.681136523,0.03965306051967093,0.03639010121581826,Increase,0.007459478149266129,4.878370911160636,4.878370911160636,Foraging guild: Gulls,4.878370911160636
Migration,short-and long-distance,BC64,BC64_1,BC64,482500.09264614136,6322499.657199486,0.001589200453699015,BC64_3,BC64,482500.09264614136,6322499.657199486,0.020386706462813972,0.018797506009114957,Increase,0.005534462869832597,3.3964463130788936,3.3964463130788936,Migration: short-and long-distance,3.3964463130788936
Migration,short-and long-distance,BC65,BC65_1,BC65,482500.0574243303,6327499.644156614,0.002382907880689959,BC65_3,BC65,482500.0574243303,6327499.644156614,0.013146196628638895,0.010763288747948936,Increase,0.005534462869832597,1.944775672200778,1.944775672200778,Migration: short-and long-distance,1.944775672200778
Foraging guild,Scolopacids,BC70,BC70_1,BC70,487500.0281488765,6302499.681272506,0.06284824781156845,BC70_3,BC70,487500.0281488765,6302499.681272506,0.015946905608144244,-0.04690134220342421,Decrease,0.011717888545512397,-4.0025420980289175,4.0025420980289175,Foraging guild: Scolopacids,-4.0025420980289175
Foraging guild,Owls,BC71,BC71_1,BC71,487500.02372481115,6307499.714883644,0.018824558491835234,BC71_3,BC71,487500.02372481115,6307499.714883644,0.006036460185298769,-0.012788098306536464,Decrease,0.005596576930679483,-2.284985709109846,2.284985709109846,Foraging guild: Owls,-2.284985709109846
Foraging guild,Plovers,BC72,BC72_1,BC72,487500.06305016344,6312499.673261789,0.0654254306446063,BC72_3,BC72,487500.06305016344,6312499.673261789,0.0422994446856317,-0.023125985958974603,Decrease,0.011480832277377154,-2.0143126735283894,2.0143126735283894,Foraging guild: Plovers,-2.0143126735283894
Foraging guild,Scolopacids,BC73,BC73_1,BC73,487500.0249803983,6317499.668063927,0.05922912566065538,BC73_3,BC73,487500.0249803983,6317499.668063927,0.0209057236485584,-0.03832340201209698,Decrease,0.011717888545512397,-3.270504055679358,3.270504055679358,Foraging guild: Scolopacids,-3.270504055679358
Migration,short-and long-distance,BC74,BC74_1,BC74,487500.03132666176,6322499.698896714,0.0035937939793712448,BC74_3,BC74,487500.03132666176,6322499.698896714,0.021890897623082217,0.018297103643710972,Increase,0.005534462869832597,3.306030607494962,3.306030607494962,Migration: short-and long-distance,3.306030607494962
Thermal,Thermal group: very warm,BC75,BC75_1,BC75,487500.08176904864,6327499.654417714,0.0983263211750641,BC75_3,BC75,487500.08176904864,6327499.654417714,0.13614199802404886,0.037815676848984764,Increase,0.012229177474484862,3.092250229247548,3.092250229247548,Thermal: Thermal group: very warm,3.092250229247548
Thermal,CWM STI,BC81,BC81_1,BC81,492500.041047909,6307499.729905474,11.807547949025889,BC81_3,BC81,492500.041047909,6307499.729905474,12.055825464443261,0.24827751541737264,Increase,0.07804363974178909,3.181265202889179,3.181265202889179,Thermal: CWM STI,3.181265202889179
Migration,short-and long-distance,BC82,BC82_1,BC82,492500.03649829555,6312499.667744995,0.015648084979305147,BC82_3,BC82,492500.03649829555,6312499.667744995,0.028737857123691632,0.013089772144386485,Increase,0.005534462869832597,2.3651386687833025,2.3651386687833025,Migration: short-and long-distance,2.3651386687833025
Foraging guild,Terns,BC83,BC83_1,BC83,492499.997856006,6317499.641786334,0.03878889657933511,BC83_3,BC83,492499.997856006,6317499.641786334,0.017762295162172727,-0.021026601417162383,Decrease,0.0061841138867764186,-3.4000993193420763,3.4000993193420763,Foraging guild: Terns,-3.4000993193420763
Thermal,Thermal group: very warm,BC84,BC84_1,BC84,492500.0467049848,6322499.651782474,0.10989416404520597,BC84_3,BC84,492500.0467049848,6322499.651782474,0.1340892755246989,0.024195111479492937,Increase,0.012229177474484862,1.978474147584658,1.978474147584658,Thermal: Thermal group: very warm,1.978474147584658
Foraging guild,Passerine seedeaters,BC85,BC85_1,BC85,492500.0614262203,6327499.586613408,0.07588231291512085,BC85_3,BC85,492500.0614262203,6327499.586613408,0.10610746003057295,0.0302251471154521,Increase,0.011614695957552051,2.602319270854374,2.602319270854374,Foraging guild: Passerine seedeaters,2.602319270854374
Foraging guild,Terns,BC93,BC93_1,BC93,497500.0048648076,6317499.628014286,0.03631775475966549,BC93_3,BC93,497500.0048648076,6317499.628014286,0.0038527083857423624,-0.032465046373923126,Decrease,0.0061841138867764186,-5.249749110109956,5.249749110109956,Foraging guild: Terns,-5.249749110109956
Foraging guild,Scolopacids,BC94,BC94_1,BC94,497500.0354478817,6322499.62760691,0.07040086368513583,BC94_3,BC94,497500.0354478817,6322499.62760691,0.03747081569547983,-0.032930047989656,Decrease,0.011717888545512397,-2.8102373445314286,2.8102373445314286,Foraging guild: Scolopacids,-2.8102373445314286
Foraging guild,Passerine seedeaters,BC95,BC95_1,BC95,497500.0144291096,6327499.551978993,0.07095002900444268,BC95_3,BC95,497500.0144291096,6327499.551978993,0.10474025806501294,0.03379022906057026,Increase,0.011614695957552051,2.9092650538647415,2.9092650538647415,Foraging guild: Passerine seedeaters,2.9092650538647415
Foraging guild,Passerine seedeaters,BC96,BC96_1,BC96,497500.0027015511,6332499.623702109,0.08810277114879941,BC96_3,BC96,497500.0027015511,6332499.623702109,0.11563447939930832,0.027531708250508907,Increase,0.011614695957552051,2.3704200567219647,2.3704200567219647,Foraging guild: Passerine seedeaters,2.3704200567219647
Foraging guild,Low flycatching feeders,BD00,BD00_1,BD00,452500.055170292,6252499.551853021,0.04662806895165915,BD00_3,BD00,452500.055170292,6252499.551853021,0.09292533702592921,0.046297268074270065,Increase,0.015897313823104414,2.912269870837158,2.912269870837158,Foraging guild: Low flycatching feeders,2.912269870837158
Migration,short-and long-distance,BD01,BD01_1,BD01,452500.062128352,6257499.642154956,5.101650427292699e-4,BD01_3,BD01,452500.062128352,6257499.642154956,0.01191560925853056,0.01140544421580129,Increase,0.005534462869832597,2.0608041799269086,2.0608041799269086,Migration: short-and long-distance,2.0608041799269086
Foraging guild,Low flycatching feeders,BD02,BD02_1,BD02,452500.0451360465,6262499.658862274,0.056128439671722964,BD02_3,BD02,452500.0451360465,6262499.658862274,0.0983474152215487,0.04221897554982574,Increase,0.015897313823104414,2.655730145332267,2.655730145332267,Foraging guild: Low flycatching feeders,2.655730145332267
Migration,short-and long-distance,BD03,BD03_1,BD03,452500.00491227995,6267499.601946497,8.580403326680459e-4,BD03_3,BD03,452500.00491227995,6267499.601946497,0.018988855875272753,0.018130815542604706,Increase,0.005534462869832597,3.2759846743995076,3.2759846743995076,Migration: short-and long-distance,3.2759846743995076
Migration,short-and long-distance,BD04,BD04_1,BD04,452500.0060987118,6272499.69329495,0.00477890458700078,BD04_3,BD04,452500.0060987118,6272499.69329495,0.02446264459989143,0.019683740012890652,Increase,0.005534462869832597,3.556576396994788,3.556576396994788,Migration: short-and long-distance,3.556576396994788
Foraging guild,Scolopacids,BD05,BD05_1,BD05,452499.98535578116,6277499.71096541,0.10527839590496683,BD05_3,BD05,452499.98535578116,6277499.71096541,0.030975512478607026,-0.07430288342635981,Decrease,0.011717888545512397,-6.340978849369207,6.340978849369207,Foraging guild: Scolopacids,-6.340978849369207
Foraging guild,Terns,BD06,BD06_1,BD06,452500.00592764583,6282499.765541134,0.058874575639454425,BD06_3,BD06,452500.00592764583,6282499.765541134,0.026505109294444603,-0.032369466345009826,Decrease,0.0061841138867764186,-5.234293374548928,5.234293374548928,Foraging guild: Terns,-5.234293374548928
Foraging guild,Terns,BD07,BD07_1,BD07,452500.0058695333,6287499.746381921,0.05273776153674699,BD07_3,BD07,452500.0058695333,6287499.746381921,0.02777673967760421,-0.024961021859142778,Decrease,0.0061841138867764186,-4.036313417920278,4.036313417920278,Foraging guild: Terns,-4.036313417920278
Foraging guild,Terns,BD08,BD08_1,BD08,452499.9871680592,6292499.764766518,0.04141525795720261,BD08_3,BD08,452499.9871680592,6292499.764766518,0.028286214770636434,-0.01312904318656618,Decrease,0.0061841138867764186,-2.1230273935672828,2.1230273935672828,Foraging guild: Terns,-2.1230273935672828
Foraging guild,Low flycatching feeders,BD10,BD10_1,BD10,457500.0642796085,6252499.626853711,0.05897269048368256,BD10_3,BD10,457500.0642796085,6252499.626853711,0.10223197145236142,0.043259280968678857,Increase,0.015897313823104414,2.7211692145001147,2.7211692145001147,Foraging guild: Low flycatching feeders,2.7211692145001147
Foraging guild,Tit-like birds,BD11,BD11_1,BD11,457500.03424585843,6257499.62756949,0.09464811977622449,BD11_3,BD11,457500.03424585843,6257499.62756949,0.1284041903936366,0.03375607061741211,Increase,0.01740920155764868,1.9389786777775273,1.9389786777775273,Foraging guild: Tit-like birds,1.9389786777775273
Foraging guild,Passerine seedeaters,BD12,BD12_1,BD12,457500.0261392312,6262499.665304576,0.0975267306713682,BD12_3,BD12,457500.0261392312,6262499.665304576,0.11948864263312689,0.021961911961758687,Increase,0.011614695957552051,1.8908727393314777,1.8908727393314777,Foraging guild: Passerine seedeaters,1.8908727393314777
Migration,short-and long-distance,BD13,BD13_1,BD13,457500.03933642176,6267499.628727978,0.002025942404753503,BD13_3,BD13,457500.03933642176,6267499.628727978,0.023065002824801558,0.021039060420048054,Increase,0.005534462869832597,3.8014638303435633,3.8014638303435633,Migration: short-and long-distance,3.8014638303435633
Thermal,CWM STI,BD17,BD17_1,BD17,457500.0192793853,6287499.743606095,11.781325783327553,BD17_3,BD17,457500.0192793853,6287499.743606095,12.024581237448537,0.24325545412098393,Increase,0.07804363974178909,3.116915804104032,3.116915804104032,Thermal: CWM STI,3.116915804104032
Thermal,Thermal group: very cold,BD18,BD18_1,BD18,457500.0290933364,6292499.781524262,0.1893505399397713,BD18_3,BD18,457500.0290933364,6292499.781524262,0.09454047987971363,-0.09481006006005767,Decrease,0.021531022393597752,-4.403416536701454,4.403416536701454,Thermal: Thermal group: very cold,-4.403416536701454
Foraging guild,Dabbling ducks,BD19,BD19_1,BD19,457500.063487968,6297499.744964002,0.05342201256666646,BD19_3,BD19,457500.063487968,6297499.744964002,0.026714272020971947,-0.026707740545694515,Decrease,0.010532037429120672,-2.535856972160833,2.535856972160833,Foraging guild: Dabbling ducks,-2.535856972160833
Migration,short-and long-distance,BD20,BD20_1,BD20,462500.0521724849,6252499.692892568,6.602772328558497e-4,BD20_3,BD20,462500.0521724849,6252499.692892568,0.013578349986911403,0.012918072754055553,Increase,0.005534462869832597,2.3341149914420316,2.3341149914420316,Migration: short-and long-distance,2.3341149914420316
Foraging guild,Passerine seedeaters,BD21,BD21_1,BD21,462500.04652625887,6257499.613366459,0.10029262415387875,BD21_3,BD21,462500.04652625887,6257499.613366459,0.11914469837986114,0.018852074225982382,Increase,0.011614695957552051,1.623122490238281,1.623122490238281,Foraging guild: Passerine seedeaters,1.623122490238281
Thermal,Thermal group: warm,BD22,BD22_1,BD22,462500.04672205047,6262499.682150681,0.21491585401979746,BD22_3,BD22,462500.04672205047,6262499.682150681,0.2550454940748253,0.04012964005502784,Increase,0.017383027778384196,2.308552949845082,2.308552949845082,Thermal: Thermal group: warm,2.308552949845082
Thermal,CWM STI,BD26,BD26_1,BD26,462500.0396707308,6282499.770858137,11.775612012309395,BD26_3,BD26,462500.0396707308,6282499.770858137,11.961623079183532,0.18601106687413704,Increase,0.07804363974178909,2.3834237804587675,2.3834237804587675,Thermal: CWM STI,2.3834237804587675
Migration,short-and long-distance,BD27,BD27_1,BD27,462500.0084153306,6287499.80222181,8.596177823518671e-4,BD27_3,BD27,462500.0084153306,6287499.80222181,0.016538878290241046,0.01567926050788918,Increase,0.005534462869832597,2.833022982836171,2.833022982836171,Migration: short-and long-distance,2.833022982836171
Foraging guild,Owls,BD28,BD28_1,BD28,462500.04522956035,6292499.758577253,0.02496262764809599,BD28_3,BD28,462500.04522956035,6292499.758577253,0.009281846604246372,-0.01568078104384962,Decrease,0.005596576930679483,-2.8018521389191036,2.8018521389191036,Foraging guild: Owls,-2.8018521389191036
Foraging guild,Low flycatching feeders,BD29,BD29_1,BD29,462500.0292985126,6297499.752303558,0.06419077150413116,BD29_3,BD29,462500.0292985126,6297499.752303558,0.10016603484803525,0.03597526334390409,Increase,0.015897313823104414,2.262977490676401,2.262977490676401,Foraging guild: Low flycatching feeders,2.262977490676401
Foraging guild,Passerine seedeaters,BD31,BD31_1,BD31,467500.0543298067,6257499.600372754,0.10053360641541037,BD31_3,BD31,467500.0543298067,6257499.600372754,0.12435873942790943,0.023825133012499056,Increase,0.011614695957552051,2.051292009672246,2.051292009672246,Foraging guild: Passerine seedeaters,2.051292009672246
Thermal,Thermal group: warm,BD32,BD32_1,BD32,467500.06232946395,6262499.710226541,0.20170128822625924,BD32_3,BD32,467500.06232946395,6262499.710226541,0.25516909392525033,0.053467805698991094,Increase,0.017383027778384196,3.0758626391587742,3.0758626391587742,Thermal: Thermal group: warm,3.0758626391587742
Foraging guild,Terns,BD35,BD35_1,BD35,467500.0749060298,6277499.704398919,0.027517470682019613,BD35_3,BD35,467500.0749060298,6277499.704398919,0.004495279354645507,-0.023022191327374104,Decrease,0.0061841138867764186,-3.7227954964740855,3.7227954964740855,Foraging guild: Terns,-3.7227954964740855
Foraging guild,Passerine seedeaters,BD36,BD36_1,BD36,467500.0370856172,6282499.739297631,0.07932844901506919,BD36_3,BD36,467500.0370856172,6282499.739297631,0.10929061649551668,0.029962167480447485,Increase,0.011614695957552051,2.5796772976192828,2.5796772976192828,Foraging guild: Passerine seedeaters,2.5796772976192828
Foraging guild,Owls,BD37,BD37_1,BD37,467500.0506595336,6287499.810571126,0.02163906170634037,BD37_3,BD37,467500.0506595336,6287499.810571126,0.010822805905168903,-0.010816255801171466,Decrease,0.005596576930679483,-1.93265560987442,1.93265560987442,Foraging guild: Owls,-1.93265560987442
Foraging guild,Foliage gleaners,BD38,BD38_1,BD38,467500.0539126969,6292499.807359152,0.10131617896094472,BD38_3,BD38,467500.0539126969,6292499.807359152,0.17174823078720705,0.07043205182626233,Increase,0.023788136775533864,2.9608057365258555,2.9608057365258555,Foraging guild: Foliage gleaners,2.9608057365258555
Foraging guild,Dabbling ducks,BD39,BD39_1,BD39,467500.0473273079,6297499.729633846,0.061424059183721055,BD39_3,BD39,467500.0473273079,6297499.729633846,0.022386153836792214,-0.039037905346928845,Decrease,0.010532037429120672,-3.7065862716164073,3.7065862716164073,Foraging guild: Dabbling ducks,-3.7065862716164073
Thermal,Thermal group: cold,BD40,BD40_1,BD40,472500.0931846446,6252499.686959085,0.2615386140445934,BD40_3,BD40,472500.0931846446,6252499.686959085,0.21244701770126445,-0.049091596343328936,Decrease,0.018306465811002055,-2.681653403237737,2.681653403237737,Thermal: Thermal group: cold,-2.681653403237737
