atlas,atlas_num,chain,iteration,rho,draw_id
1970s,1,2,5,0.85,255
1970s,1,2,6,0.92,256
1970s,1,2,7,0.84,257
1970s,1,2,8,0.9,258
1970s,1,2,9,0.97,259
1970s,1,2,10,0.95,260
1970s,1,2,11,0.83,261
1970s,1,2,12,0.91,262
1970s,1,2,13,0.85,263
1970s,1,2,14,0.79,264
1970s,1,2,15,0.83,265
1970s,1,2,16,0.88,266
1970s,1,2,17,0.87,267
1970s,1,2,18,0.86,268
1970s,1,2,19,0.86,269
1970s,1,2,20,0.84,270
1970s,1,2,21,0.84,271
1970s,1,2,22,0.83,272
1970s,1,2,23,0.95,273
1970s,1,2,24,0.92,274
1970s,1,2,25,0.99,275
1970s,1,2,26,0.91,276
1970s,1,2,27,0.91,277
1970s,1,2,28,0.8,278
1970s,1,2,29,0.85,279
1970s,1,2,30,0.83,280
1970s,1,2,31,0.92,281
1970s,1,2,32,0.9,282
1970s,1,2,33,0.87,283
1970s,1,2,34,0.86,284
1970s,1,2,35,0.88,285
1970s,1,2,36,0.85,286
1970s,1,2,37,0.82,287
1970s,1,2,38,0.92,288
1970s,1,2,39,0.92,289
1970s,1,2,40,0.84,290
1970s,1,2,41,0.84,291
1970s,1,2,42,0.89,292
1970s,1,2,43,0.78,293
1970s,1,2,44,0.87,294
1970s,1,2,45,0.8,295
1970s,1,2,46,0.92,296
1970s,1,2,47,0.97,297
1970s,1,2,48,0.84,298
1970s,1,2,49,0.94,299
1970s,1,2,50,0.84,300
1970s,1,2,51,0.92,301
1970s,1,2,52,1,302
1970s,1,2,53,0.85,303
1970s,1,2,54,0.9,304
1970s,1,2,55,0.97,305
1970s,1,2,56,0.87,306
1970s,1,2,57,0.87,307
1970s,1,2,58,0.88,308
1970s,1,2,59,0.96,309
1970s,1,2,60,0.94,310
1970s,1,2,61,0.88,311
1970s,1,2,62,0.87,312
1970s,1,2,63,0.89,313
1970s,1,2,64,0.77,314
1970s,1,2,65,0.93,315
1970s,1,2,66,0.87,316
1970s,1,2,67,0.86,317
1970s,1,2,68,0.83,318
1970s,1,2,69,0.87,319
1970s,1,2,70,0.87,320
1970s,1,2,71,1,321
1970s,1,2,72,0.89,322
1970s,1,2,73,0.88,323
1970s,1,2,74,0.83,324
1970s,1,2,75,0.89,325
1970s,1,2,76,0.74,326
1970s,1,2,77,0.95,327
1970s,1,2,78,0.78,328
1970s,1,2,79,0.91,329
1970s,1,2,80,0.9,330
1970s,1,2,81,0.82,331
1970s,1,2,82,0.76,332
1970s,1,2,83,0.88,333
1970s,1,2,84,0.94,334
1970s,1,2,85,0.72,335
1970s,1,2,86,0.95,336
1970s,1,2,87,0.81,337
1970s,1,2,88,0.84,338
1970s,1,2,89,0.79,339
1970s,1,2,90,0.86,340
1970s,1,2,91,0.9,341
1970s,1,2,92,0.89,342
1970s,1,2,93,0.87,343
1970s,1,2,94,0.95,344
1970s,1,2,95,0.97,345
1970s,1,2,96,0.93,346
1970s,1,2,97,0.9,347
1970s,1,2,98,0.95,348
1970s,1,2,99,0.88,349
1970s,1,2,100,0.94,350
1970s,1,2,101,0.93,351
1970s,1,2,102,0.93,352
1970s,1,2,103,0.9,353
1970s,1,2,104,0.98,354
1970s,1,2,105,0.9,355
1970s,1,2,106,0.82,356
1970s,1,2,107,0.94,357
1970s,1,2,108,0.89,358
1970s,1,2,109,0.85,359
1970s,1,2,110,0.81,360
1970s,1,2,111,0.9,361
1970s,1,2,112,0.82,362
1970s,1,2,113,0.91,363
1970s,1,2,114,0.98,364
1970s,1,2,115,0.95,365
1970s,1,2,116,0.85,366
1970s,1,2,117,0.84,367
1970s,1,2,118,0.93,368
1970s,1,2,119,0.91,369
1970s,1,2,120,0.89,370
1970s,1,2,121,0.86,371
1970s,1,2,122,0.96,372
1970s,1,2,123,0.79,373
1970s,1,2,124,0.92,374
1970s,1,2,125,0.89,375
1970s,1,2,126,0.92,376
1970s,1,2,127,0.91,377
1970s,1,2,128,0.8,378
1970s,1,2,129,0.87,379
1970s,1,2,130,0.84,380
1970s,1,2,131,0.93,381
1970s,1,2,132,0.92,382
1970s,1,2,133,0.83,383
1970s,1,2,134,0.81,384
1970s,1,2,135,0.87,385
1970s,1,2,136,0.87,386
1970s,1,2,137,0.74,387
1970s,1,2,138,0.8,388
1970s,1,2,139,0.87,389
1970s,1,2,140,0.82,390
1970s,1,2,141,0.88,391
1970s,1,2,142,0.85,392
1970s,1,2,143,0.88,393
1970s,1,2,144,0.79,394
1970s,1,2,145,0.87,395
1970s,1,2,146,0.85,396
1970s,1,2,147,0.9,397
1970s,1,2,148,0.92,398
1970s,1,2,149,0.87,399
1970s,1,2,150,0.84,400
1970s,1,2,151,0.95,401
1970s,1,2,152,0.91,402
1970s,1,2,153,0.8,403
1970s,1,2,154,0.97,404
1970s,1,2,155,0.97,405
1970s,1,2,156,0.93,406
1970s,1,2,157,0.98,407
1970s,1,2,158,0.93,408
1970s,1,2,159,0.8,409
1970s,1,2,160,0.9,410
1970s,1,2,161,0.97,411
1970s,1,2,162,0.83,412
1970s,1,2,163,0.95,413
1970s,1,2,164,0.99,414
1970s,1,2,165,0.84,415
1970s,1,2,166,0.91,416
1970s,1,2,167,0.82,417
1970s,1,2,168,0.84,418
1970s,1,2,169,0.95,419
1970s,1,2,170,0.74,420
1970s,1,2,171,0.84,421
1970s,1,2,172,0.83,422
1970s,1,2,173,0.83,423
1970s,1,2,174,0.87,424
1970s,1,2,175,0.96,425
1970s,1,2,176,0.85,426
1970s,1,2,177,0.83,427
1970s,1,2,178,0.85,428
1970s,1,2,179,0.95,429
1970s,1,2,180,0.92,430
1970s,1,2,181,0.93,431
1970s,1,2,182,0.93,432
1970s,1,2,183,0.84,433
1970s,1,2,184,0.86,434
1970s,1,2,185,0.96,435
1970s,1,2,186,0.78,436
1970s,1,2,187,0.86,437
1970s,1,2,188,0.86,438
1970s,1,2,189,0.88,439
1970s,1,2,190,0.85,440
1970s,1,2,191,0.89,441
1970s,1,2,192,0.91,442
1970s,1,2,193,0.9,443
1970s,1,2,194,0.84,444
1970s,1,2,195,0.96,445
1970s,1,2,196,0.93,446
1970s,1,2,197,0.77,447
1970s,1,2,198,0.82,448
1970s,1,2,199,0.85,449
1970s,1,2,200,0.93,450
1970s,1,2,201,0.89,451
1970s,1,2,202,0.9,452
1970s,1,2,203,0.8,453
1970s,1,2,204,0.87,454
1970s,1,2,205,0.87,455
1970s,1,2,206,0.89,456
1970s,1,2,207,0.87,457
1970s,1,2,208,0.88,458
1970s,1,2,209,0.84,459
1970s,1,2,210,0.89,460
1970s,1,2,211,0.88,461
1970s,1,2,212,0.82,462
1970s,1,2,213,0.91,463
1970s,1,2,214,0.87,464
1970s,1,2,215,0.93,465
1970s,1,2,216,0.88,466
1970s,1,2,217,0.79,467
1970s,1,2,218,0.86,468
1970s,1,2,219,0.91,469
1970s,1,2,220,0.9,470
1970s,1,2,221,0.92,471
1970s,1,2,222,0.77,472
1970s,1,2,223,0.95,473
1970s,1,2,224,0.85,474
1970s,1,2,225,0.88,475
1970s,1,2,226,0.94,476
1970s,1,2,227,0.8,477
1970s,1,2,228,0.88,478
1970s,1,2,229,0.97,479
1970s,1,2,230,0.95,480
1970s,1,2,231,0.97,481
1970s,1,2,232,0.92,482
1970s,1,2,233,0.89,483
1970s,1,2,234,0.83,484
1970s,1,2,235,0.83,485
1970s,1,2,236,0.85,486
1970s,1,2,237,0.91,487
1970s,1,2,238,0.93,488
1970s,1,2,239,0.95,489
1970s,1,2,240,0.9,490
1970s,1,2,241,0.91,491
1970s,1,2,242,0.83,492
1970s,1,2,243,0.91,493
1970s,1,2,244,0.84,494
1970s,1,2,245,0.72,495
1970s,1,2,246,0.96,496
1970s,1,2,247,0.85,497
1970s,1,2,248,0.83,498
1970s,1,2,249,0.8,499
1970s,1,2,250,0.94,500
1970s,1,3,1,0.92,501
1970s,1,3,2,0.84,502
1970s,1,3,3,0.81,503
1970s,1,3,4,0.95,504
1970s,1,3,5,0.87,505
1970s,1,3,6,0.91,506
1970s,1,3,7,0.91,507
1970s,1,3,8,0.92,508
1970s,1,3,9,0.94,509
1970s,1,3,10,0.86,510
1970s,1,3,11,0.99,511
1970s,1,3,12,0.89,512
1970s,1,3,13,0.95,513
1970s,1,3,14,0.83,514
1970s,1,3,15,0.93,515
1970s,1,3,16,0.79,516
1970s,1,3,17,0.88,517
1970s,1,3,18,0.84,518
1970s,1,3,19,0.91,519
1970s,1,3,20,0.91,520
1970s,1,3,21,0.89,521
1970s,1,3,22,0.93,522
1970s,1,3,23,0.92,523
1970s,1,3,24,0.94,524
1970s,1,3,25,0.85,525
1970s,1,3,26,0.85,526
1970s,1,3,27,0.9,527
1970s,1,3,28,0.97,528
1970s,1,3,29,0.92,529
1970s,1,3,30,0.84,530
1970s,1,3,31,0.74,531
1970s,1,3,32,0.9,532
1970s,1,3,33,0.88,533
1970s,1,3,34,0.78,534
1970s,1,3,35,0.84,535
1970s,1,3,36,0.95,536
1970s,1,3,37,0.84,537
1970s,1,3,38,0.9,538
1970s,1,3,39,0.99,539
1970s,1,3,40,0.92,540
1970s,1,3,41,0.83,541
1970s,1,3,42,0.89,542
1970s,1,3,43,0.86,543
1970s,1,3,44,0.98,544
1970s,1,3,45,0.93,545
1970s,1,3,46,0.89,546
1970s,1,3,47,0.91,547
1970s,1,3,48,0.91,548
1970s,1,3,49,0.79,549
1970s,1,3,50,0.74,550
1970s,1,3,51,0.87,551
1970s,1,3,52,0.92,552
1970s,1,3,53,0.77,553
1970s,1,3,54,0.84,554
1970s,1,3,55,0.87,555
1970s,1,3,56,0.94,556
1970s,1,3,57,0.89,557
1970s,1,3,58,0.9,558
1970s,1,3,59,0.88,559
1970s,1,3,60,0.86,560
1970s,1,3,61,0.92,561
1970s,1,3,62,0.94,562
1970s,1,3,63,0.9,563
1970s,1,3,64,0.85,564
1970s,1,3,65,0.98,565
1970s,1,3,66,0.86,566
1970s,1,3,67,0.83,567
1970s,1,3,68,0.89,568
1970s,1,3,69,0.82,569
1970s,1,3,70,0.86,570
1970s,1,3,71,0.83,571
1970s,1,3,72,0.95,572
1970s,1,3,73,0.93,573
1970s,1,3,74,0.82,574
1970s,1,3,75,0.83,575
1970s,1,3,76,0.93,576
1970s,1,3,77,0.89,577
1970s,1,3,78,0.95,578
1970s,1,3,79,0.85,579
1970s,1,3,80,0.75,580
1970s,1,3,81,0.72,581
1970s,1,3,82,0.98,582
1970s,1,3,83,0.84,583
1970s,1,3,84,0.92,584
1970s,1,3,85,0.92,585
1970s,1,3,86,0.89,586
1970s,1,3,87,0.88,587
1970s,1,3,88,0.8,588
1970s,1,3,89,0.9,589
1970s,1,3,90,0.81,590
1970s,1,3,91,0.81,591
1970s,1,3,92,0.91,592
1970s,1,3,93,0.82,593
1970s,1,3,94,0.97,594
1970s,1,3,95,0.86,595
1970s,1,3,96,0.89,596
1970s,1,3,97,0.99,597
1970s,1,3,98,0.87,598
1970s,1,3,99,0.87,599
1970s,1,3,100,0.81,600
1970s,1,3,101,0.86,601
1970s,1,3,102,0.85,602
1970s,1,3,103,0.89,603
1970s,1,3,104,0.81,604
1970s,1,3,105,0.81,605
1970s,1,3,106,0.81,606
1970s,1,3,107,0.95,607
1970s,1,3,108,0.75,608
1970s,1,3,109,0.9,609
1970s,1,3,110,0.81,610
1970s,1,3,111,0.9,611
1970s,1,3,112,0.88,612
1970s,1,3,113,0.95,613
1970s,1,3,114,0.92,614
1970s,1,3,115,0.96,615
1970s,1,3,116,0.82,616
1970s,1,3,117,0.83,617
1970s,1,3,118,0.87,618
1970s,1,3,119,0.95,619
1970s,1,3,120,0.9,620
1970s,1,3,121,0.88,621
1970s,1,3,122,0.94,622
1970s,1,3,123,0.89,623
1970s,1,3,124,0.98,624
1970s,1,3,125,0.93,625
1970s,1,3,126,0.88,626
1970s,1,3,127,0.85,627
1970s,1,3,128,1,628
1970s,1,3,129,0.87,629
1970s,1,3,130,0.92,630
1970s,1,3,131,0.89,631
1970s,1,3,132,0.98,632
1970s,1,3,133,0.89,633
1970s,1,3,134,0.92,634
1970s,1,3,135,0.82,635
1970s,1,3,136,0.93,636
1970s,1,3,137,0.97,637
1970s,1,3,138,0.92,638
1970s,1,3,139,0.94,639
1970s,1,3,140,0.98,640
1970s,1,3,141,0.95,641
1970s,1,3,142,0.81,642
1970s,1,3,143,0.96,643
1970s,1,3,144,0.96,644
1970s,1,3,145,0.78,645
1970s,1,3,146,0.85,646
1970s,1,3,147,0.77,647
1970s,1,3,148,0.87,648
1970s,1,3,149,0.93,649
1970s,1,3,150,0.95,650
1970s,1,3,151,0.85,651
1970s,1,3,152,0.87,652
1970s,1,3,153,0.85,653
1970s,1,3,154,0.8,654
1970s,1,3,155,0.9,655
1970s,1,3,156,0.79,656
1970s,1,3,157,0.83,657
1970s,1,3,158,0.88,658
1970s,1,3,159,0.61,659
1970s,1,3,160,0.8,660
1970s,1,3,161,0.84,661
1970s,1,3,162,0.91,662
1970s,1,3,163,0.92,663
1970s,1,3,164,0.79,664
1970s,1,3,165,0.91,665
1970s,1,3,166,0.98,666
1970s,1,3,167,0.92,667
1970s,1,3,168,0.91,668
1970s,1,3,169,0.94,669
1970s,1,3,170,0.85,670
1970s,1,3,171,0.93,671
1970s,1,3,172,0.93,672
1970s,1,3,173,0.95,673
1970s,1,3,174,0.95,674
1970s,1,3,175,0.91,675
1970s,1,3,176,0.86,676
1970s,1,3,177,0.92,677
1970s,1,3,178,0.94,678
1970s,1,3,179,0.85,679
1970s,1,3,180,0.82,680
1970s,1,3,181,0.96,681
1970s,1,3,182,0.9,682
1970s,1,3,183,0.96,683
1970s,1,3,184,0.82,684
1970s,1,3,185,0.92,685
1970s,1,3,186,0.92,686
1970s,1,3,187,0.93,687
1970s,1,3,188,0.93,688
1970s,1,3,189,0.84,689
1970s,1,3,190,0.98,690
1970s,1,3,191,0.84,691
1970s,1,3,192,0.87,692
1970s,1,3,193,0.91,693
1970s,1,3,194,0.93,694
1970s,1,3,195,0.96,695
1970s,1,3,196,0.86,696
1970s,1,3,197,0.79,697
1970s,1,3,198,0.98,698
1970s,1,3,199,0.84,699
1970s,1,3,200,0.82,700
1970s,1,3,201,0.93,701
1970s,1,3,202,0.83,702
1970s,1,3,203,0.87,703
1970s,1,3,204,0.87,704
1970s,1,3,205,0.87,705
1970s,1,3,206,0.9,706
1970s,1,3,207,0.92,707
1970s,1,3,208,0.9,708
1970s,1,3,209,0.82,709
1970s,1,3,210,0.85,710
1970s,1,3,211,0.92,711
1970s,1,3,212,0.97,712
1970s,1,3,213,0.84,713
1970s,1,3,214,0.9,714
1970s,1,3,215,0.94,715
1970s,1,3,216,0.93,716
1970s,1,3,217,0.91,717
1970s,1,3,218,0.91,718
1970s,1,3,219,0.96,719
1970s,1,3,220,0.9,720
1970s,1,3,221,0.91,721
1970s,1,3,222,0.97,722
1970s,1,3,223,0.83,723
1970s,1,3,224,0.85,724
1970s,1,3,225,0.87,725
1970s,1,3,226,0.79,726
1970s,1,3,227,0.84,727
1970s,1,3,228,0.88,728
1970s,1,3,229,0.92,729
1970s,1,3,230,0.95,730
1970s,1,3,231,0.88,731
1970s,1,3,232,0.89,732
1970s,1,3,233,0.83,733
1970s,1,3,234,0.99,734
1970s,1,3,235,0.88,735
1970s,1,3,236,0.9,736
1970s,1,3,237,0.9,737
1970s,1,3,238,0.86,738
1970s,1,3,239,0.88,739
1970s,1,3,240,0.9,740
1970s,1,3,241,0.71,741
1970s,1,3,242,0.86,742
1970s,1,3,243,0.89,743
1970s,1,3,244,0.88,744
1970s,1,3,245,0.91,745
1970s,1,3,246,0.89,746
1970s,1,3,247,0.95,747
1970s,1,3,248,0.94,748
1970s,1,3,249,0.85,749
1970s,1,3,250,0.89,750
1970s,1,4,1,0.91,751
1970s,1,4,2,0.94,752
1970s,1,4,3,0.9,753
1970s,1,4,4,0.85,754
1970s,1,4,5,0.83,755
1970s,1,4,6,0.87,756
1970s,1,4,7,0.81,757
1970s,1,4,8,0.71,758
1970s,1,4,9,0.87,759
1970s,1,4,10,1,760
1970s,1,4,11,0.91,761
1970s,1,4,12,0.86,762
1970s,1,4,13,0.85,763
1970s,1,4,14,0.85,764
1970s,1,4,15,0.87,765
1970s,1,4,16,0.9,766
1970s,1,4,17,0.94,767
1970s,1,4,18,0.88,768
1970s,1,4,19,0.87,769
1970s,1,4,20,0.89,770
1970s,1,4,21,0.97,771
1970s,1,4,22,0.84,772
1970s,1,4,23,0.91,773
1970s,1,4,24,0.92,774
1970s,1,4,25,0.87,775
1970s,1,4,26,0.94,776
1970s,1,4,27,0.96,777
1970s,1,4,28,0.9,778
1970s,1,4,29,0.82,779
1970s,1,4,30,0.92,780
1970s,1,4,31,0.84,781
1970s,1,4,32,0.82,782
1970s,1,4,33,0.85,783
1970s,1,4,34,0.78,784
1970s,1,4,35,0.78,785
1970s,1,4,36,0.86,786
1970s,1,4,37,0.84,787
1970s,1,4,38,0.95,788
1970s,1,4,39,0.94,789
1970s,1,4,40,0.99,790
1970s,1,4,41,0.85,791
1970s,1,4,42,0.82,792
1970s,1,4,43,0.93,793
1970s,1,4,44,0.91,794
1970s,1,4,45,0.86,795
1970s,1,4,46,0.93,796
1970s,1,4,47,0.81,797
1970s,1,4,48,0.77,798
1970s,1,4,49,0.84,799
1970s,1,4,50,0.94,800
1970s,1,4,51,0.89,801
1970s,1,4,52,0.89,802
1970s,1,4,53,0.91,803
1970s,1,4,54,0.99,804
1970s,1,4,55,0.86,805
1970s,1,4,56,0.83,806
1970s,1,4,57,0.9,807
1970s,1,4,58,0.81,808
1970s,1,4,59,0.89,809
1970s,1,4,60,0.82,810
1970s,1,4,61,0.83,811
1970s,1,4,62,0.94,812
1970s,1,4,63,0.87,813
1970s,1,4,64,0.91,814
1970s,1,4,65,0.91,815
1970s,1,4,66,0.84,816
1970s,1,4,67,0.88,817
1970s,1,4,68,0.77,818
1970s,1,4,69,0.91,819
1970s,1,4,70,0.84,820
1970s,1,4,71,0.93,821
1970s,1,4,72,0.89,822
1970s,1,4,73,0.86,823
1970s,1,4,74,0.88,824
1970s,1,4,75,0.85,825
1970s,1,4,76,0.92,826
1970s,1,4,77,0.86,827
1970s,1,4,78,0.9,828
1970s,1,4,79,0.9,829
1970s,1,4,80,0.91,830
1970s,1,4,81,0.89,831
1970s,1,4,82,0.72,832
1970s,1,4,83,0.91,833
1970s,1,4,84,0.87,834
1970s,1,4,85,0.91,835
1970s,1,4,86,0.82,836
1970s,1,4,87,0.87,837
1970s,1,4,88,0.89,838
1970s,1,4,89,0.86,839
1970s,1,4,90,0.99,840
1970s,1,4,91,0.83,841
1970s,1,4,92,0.91,842
1970s,1,4,93,0.93,843
1970s,1,4,94,0.85,844
1970s,1,4,95,1,845
1970s,1,4,96,0.96,846
1970s,1,4,97,0.92,847
1970s,1,4,98,0.96,848
1970s,1,4,99,0.79,849
1970s,1,4,100,0.77,850
1970s,1,4,101,0.86,851
1970s,1,4,102,0.9,852
1970s,1,4,103,0.95,853
1970s,1,4,104,0.84,854
1970s,1,4,105,0.88,855
1970s,1,4,106,0.87,856
1970s,1,4,107,0.91,857
1970s,1,4,108,0.93,858
1970s,1,4,109,0.93,859
1970s,1,4,110,0.88,860
1970s,1,4,111,0.98,861
1970s,1,4,112,0.93,862
1970s,1,4,113,0.96,863
1970s,1,4,114,0.8,864
1970s,1,4,115,0.9,865
1970s,1,4,116,0.93,866
1970s,1,4,117,0.88,867
1970s,1,4,118,0.89,868
1970s,1,4,119,0.83,869
1970s,1,4,120,0.82,870
1970s,1,4,121,0.92,871
1970s,1,4,122,0.96,872
