atlas,permutation,variable_raw,variable,null_r2t_beta
1970s,6,hh,Land-use heterogeneity,0.009578417206580784
1970s,6,perc_urban,Urban,0.006466685017571907
1970s,6,perc_cropland,Cropland,0.01333131044034249
1970s,6,perc_pasture,Pasture,0.012585069756803676
1970s,6,perc_forest,Forest,0.004027987484447524
1970s,6,perc_grass_shrub,Grass/shrubland,0.007816139633006362
1970s,7,tmean_breeding,Temperature,0.008208411470276
1970s,7,prec_breeding,Precipitation,0.00468340507807116
1970s,7,hh,Land-use heterogeneity,0.013827352348865724
1970s,7,perc_urban,Urban,0.004127222686812964
1970s,7,perc_cropland,Cropland,0.008182193175977515
1970s,7,perc_pasture,Pasture,0.008487231555350763
1970s,7,perc_forest,Forest,0.0170776450356573
1970s,7,perc_grass_shrub,Grass/shrubland,0.006332719163534633
1970s,8,tmean_breeding,Temperature,0.005665535344117366
1970s,8,prec_breeding,Precipitation,0.0037716724003901457
1970s,8,hh,Land-use heterogeneity,0.0105257678405356
1970s,8,perc_urban,Urban,0.013743573635278497
1970s,8,perc_cropland,Cropland,0.0067485277446195004
1970s,8,perc_pasture,Pasture,0.007611520028326788
1970s,8,perc_forest,Forest,0.0034752609341191735
1970s,8,perc_grass_shrub,Grass/shrubland,0.0056580495944633
1970s,9,tmean_breeding,Temperature,0.004683606415964036
1970s,9,prec_breeding,Precipitation,0.006595974764462274
1970s,9,hh,Land-use heterogeneity,0.00675215677269008
1970s,9,perc_urban,Urban,0.009629428889885891
1970s,9,perc_cropland,Cropland,0.004635676102616393
1970s,9,perc_pasture,Pasture,0.006662950589297906
1970s,9,perc_forest,Forest,0.004713557625062384
1970s,9,perc_grass_shrub,Grass/shrubland,0.010224723479408296
1970s,10,tmean_breeding,Temperature,0.006476701749202302
1970s,10,prec_breeding,Precipitation,0.00448462286568376
1970s,10,hh,Land-use heterogeneity,0.013642594952372798
1970s,10,perc_urban,Urban,0.003332119369224238
1970s,10,perc_cropland,Cropland,0.0032607462553034066
1970s,10,perc_pasture,Pasture,0.004278735376475716
1970s,10,perc_forest,Forest,0.0018978843953980252
1970s,10,perc_grass_shrub,Grass/shrubland,0.00539963384304177
1970s,11,tmean_breeding,Temperature,0.005020330603312134
1970s,11,prec_breeding,Precipitation,0.005783183045954266
1970s,11,hh,Land-use heterogeneity,0.003831849055793124
1970s,11,perc_urban,Urban,0.00364640452623066
1970s,11,perc_cropland,Cropland,0.0031652336706446452
1970s,11,perc_pasture,Pasture,0.005741557642670627
1970s,11,perc_forest,Forest,0.005491335486771485
1970s,11,perc_grass_shrub,Grass/shrubland,0.004289219723215562
1970s,12,tmean_breeding,Temperature,0.012006952804205996
1970s,12,prec_breeding,Precipitation,0.004551991331132043
1970s,12,hh,Land-use heterogeneity,0.009282847275203801
1970s,12,perc_urban,Urban,0.0028602515703123497
1970s,12,perc_cropland,Cropland,0.006592196633316659
1970s,12,perc_pasture,Pasture,0.004759230235076991
1970s,12,perc_forest,Forest,0.00507409294073046
1970s,12,perc_grass_shrub,Grass/shrubland,0.006367722896080304
1970s,13,tmean_breeding,Temperature,0.003608245227241974
1970s,13,prec_breeding,Precipitation,0.007821663990274652
1970s,13,hh,Land-use heterogeneity,0.005559678442324063
1970s,13,perc_urban,Urban,0.014047591877453526
1970s,13,perc_cropland,Cropland,0.006138029742989299
1970s,13,perc_pasture,Pasture,0.006125021775700511
1970s,13,perc_forest,Forest,0.01093823098231281
1970s,13,perc_grass_shrub,Grass/shrubland,0.0034631130632268785
1970s,14,tmean_breeding,Temperature,0.0035872086770520656
1970s,14,prec_breeding,Precipitation,0.004182788973628755
1970s,14,hh,Land-use heterogeneity,0.00476689015399082
1970s,14,perc_urban,Urban,0.01212719258468569
1970s,14,perc_cropland,Cropland,0.008363423453245691
1970s,14,perc_pasture,Pasture,0.0079800411072421
1970s,14,perc_forest,Forest,0.005986044093637468
1970s,14,perc_grass_shrub,Grass/shrubland,0.005025152161762304
1970s,15,tmean_breeding,Temperature,0.006447809212589984
1970s,15,prec_breeding,Precipitation,0.004674511308214506
1970s,15,hh,Land-use heterogeneity,0.00516052263129671
1970s,15,perc_urban,Urban,0.004314250462111722
1970s,15,perc_cropland,Cropland,0.007260876272481009
1970s,15,perc_pasture,Pasture,0.007770918788491411
1970s,15,perc_forest,Forest,0.012169712975911065
1970s,15,perc_grass_shrub,Grass/shrubland,0.004205684814663691
1970s,16,tmean_breeding,Temperature,0.008420486768990319
1970s,16,prec_breeding,Precipitation,0.008287454236764408
1970s,16,hh,Land-use heterogeneity,0.006200412640496659
1970s,16,perc_urban,Urban,0.0038977621213886777
1970s,16,perc_cropland,Cropland,0.005065715681369939
1970s,16,perc_pasture,Pasture,0.006010101601611879
1970s,16,perc_forest,Forest,0.0047882832890074525
1970s,16,perc_grass_shrub,Grass/shrubland,0.0049734359704233745
1970s,17,tmean_breeding,Temperature,0.006224326460374557
1970s,17,prec_breeding,Precipitation,0.005558321865703356
1970s,17,hh,Land-use heterogeneity,0.0045499588154702
1970s,17,perc_urban,Urban,0.005840704737501205
1970s,17,perc_cropland,Cropland,0.00354516742125535
1970s,17,perc_pasture,Pasture,0.009764375233559316
1970s,17,perc_forest,Forest,0.00384230926755512
1970s,17,perc_grass_shrub,Grass/shrubland,0.007101370843104623
1970s,18,tmean_breeding,Temperature,0.007668687488166167
1970s,18,prec_breeding,Precipitation,0.01088110300038342
1970s,18,hh,Land-use heterogeneity,0.0036682858710744494
1970s,18,perc_urban,Urban,0.006765843393319875
1970s,18,perc_cropland,Cropland,0.0031655297886852346
1970s,18,perc_pasture,Pasture,0.012456538785629245
1970s,18,perc_forest,Forest,0.01094801875446859
1970s,18,perc_grass_shrub,Grass/shrubland,0.0061101834690621675
1970s,19,tmean_breeding,Temperature,0.007235269666940061
1970s,19,prec_breeding,Precipitation,0.004671079220663078
1970s,19,hh,Land-use heterogeneity,0.0067666538054788564
1970s,19,perc_urban,Urban,0.004321659235224488
1970s,19,perc_cropland,Cropland,0.004750952454254286
1970s,19,perc_pasture,Pasture,0.00628870797561771
1970s,19,perc_forest,Forest,0.004078127071414195
1970s,19,perc_grass_shrub,Grass/shrubland,0.004173946726915501
1970s,20,tmean_breeding,Temperature,0.011801101695527822
1970s,20,prec_breeding,Precipitation,0.011132024378125495
1970s,20,hh,Land-use heterogeneity,0.004967259294461761
1970s,20,perc_urban,Urban,0.005918565647504459
1970s,20,perc_cropland,Cropland,0.0037339061759839175
1970s,20,perc_pasture,Pasture,0.006600371677930418
1970s,20,perc_forest,Forest,0.005850390775290419
1970s,20,perc_grass_shrub,Grass/shrubland,0.006994831952362844
1970s,21,tmean_breeding,Temperature,0.0049315354198424324
1970s,21,prec_breeding,Precipitation,0.0030418039910871833
1970s,21,hh,Land-use heterogeneity,0.004528097290851075
1970s,21,perc_urban,Urban,0.013614409671926056
1970s,21,perc_cropland,Cropland,0.003598388156181265
1970s,21,perc_pasture,Pasture,0.007920275705473592
1970s,21,perc_forest,Forest,0.002578219136478029
1970s,21,perc_grass_shrub,Grass/shrubland,0.005472597557131371
1970s,22,tmean_breeding,Temperature,0.005389192922711912
1970s,22,prec_breeding,Precipitation,0.004549859539175848
1970s,22,hh,Land-use heterogeneity,0.01033678584509065
1970s,22,perc_urban,Urban,0.006266285584088528
1970s,22,perc_cropland,Cropland,0.017701699612177952
1970s,22,perc_pasture,Pasture,0.006812013712148317
1970s,22,perc_forest,Forest,0.00761970773173458
1970s,22,perc_grass_shrub,Grass/shrubland,0.006095802539020068
1970s,23,tmean_breeding,Temperature,0.0037791009168433366
1970s,23,prec_breeding,Precipitation,0.008091089976505823
1970s,23,hh,Land-use heterogeneity,0.004474645293963252
1970s,23,perc_urban,Urban,0.0035992885120939263
1970s,23,perc_cropland,Cropland,0.004178480791087798
1970s,23,perc_pasture,Pasture,0.009078828063822823
1970s,23,perc_forest,Forest,0.005659423413681968
1970s,23,perc_grass_shrub,Grass/shrubland,0.0069070267949589755
1970s,24,tmean_breeding,Temperature,0.010183975889392257
1970s,24,prec_breeding,Precipitation,0.004960670519345946
1970s,24,hh,Land-use heterogeneity,0.004517498961957983
1970s,24,perc_urban,Urban,0.003121381774925896
1970s,24,perc_cropland,Cropland,0.002887417900583445
1970s,24,perc_pasture,Pasture,0.0053397895767755815
1970s,24,perc_forest,Forest,0.004460994663539006
1970s,24,perc_grass_shrub,Grass/shrubland,0.005432390633880863
1970s,25,tmean_breeding,Temperature,0.0034865757847579934
1970s,25,prec_breeding,Precipitation,0.005652145490281954
1970s,25,hh,Land-use heterogeneity,0.0072548810300558765
1970s,25,perc_urban,Urban,0.007363667710905301
1970s,25,perc_cropland,Cropland,0.013756680712602566
1970s,25,perc_pasture,Pasture,0.005149629841631193
1970s,25,perc_forest,Forest,0.003297625745558957
1970s,25,perc_grass_shrub,Grass/shrubland,0.005790980365677055
1970s,26,tmean_breeding,Temperature,0.0037854772819896176
1970s,26,prec_breeding,Precipitation,0.006405463339557758
1970s,26,hh,Land-use heterogeneity,0.005203329702478349
1970s,26,perc_urban,Urban,0.004612761322137301
1970s,26,perc_cropland,Cropland,0.004544328302430417
1970s,26,perc_pasture,Pasture,0.005192258956404345
1970s,26,perc_forest,Forest,0.0042454940029495675
1970s,26,perc_grass_shrub,Grass/shrubland,0.005402478741867935
1970s,27,tmean_breeding,Temperature,0.004962653695221085
1970s,27,prec_breeding,Precipitation,0.005696864020437949
1970s,27,hh,Land-use heterogeneity,0.004622544171418116
1970s,27,perc_urban,Urban,0.011465845215675138
1970s,27,perc_cropland,Cropland,0.009645834108888755
1970s,27,perc_pasture,Pasture,0.006950793670507789
1970s,27,perc_forest,Forest,0.0042690316683066205
1970s,27,perc_grass_shrub,Grass/shrubland,0.005041283080335155
1970s,28,tmean_breeding,Temperature,0.008368770411966351
1970s,28,prec_breeding,Precipitation,0.0051626324073427024
1970s,28,hh,Land-use heterogeneity,0.006071815708130606
1970s,28,perc_urban,Urban,0.0036143476166570726
1970s,28,perc_cropland,Cropland,0.009274890061366465
1970s,28,perc_pasture,Pasture,0.008533067511928056
1970s,28,perc_forest,Forest,0.0035753856647214115
1970s,28,perc_grass_shrub,Grass/shrubland,0.0069679027286869534
1970s,29,tmean_breeding,Temperature,0.005189194089561342
1970s,29,prec_breeding,Precipitation,0.006379055396295564
1970s,29,hh,Land-use heterogeneity,0.004073759964110421
1970s,29,perc_urban,Urban,0.002554440160808909
1970s,29,perc_cropland,Cropland,0.004942873326806433
1970s,29,perc_pasture,Pasture,0.004603946556089304
1970s,29,perc_forest,Forest,0.006960066311605081
1970s,29,perc_grass_shrub,Grass/shrubland,0.004670517052561941
1970s,30,tmean_breeding,Temperature,0.006993658393317211
1970s,30,prec_breeding,Precipitation,0.0073655319430198955
1970s,30,hh,Land-use heterogeneity,0.009436713861330385
1970s,30,perc_urban,Urban,0.0061840038541701595
1970s,30,perc_cropland,Cropland,0.0052147273053385745
1970s,30,perc_pasture,Pasture,0.006966137173930168
1970s,30,perc_forest,Forest,0.005785813103542478
1970s,30,perc_grass_shrub,Grass/shrubland,0.009383082948889244
1970s,31,tmean_breeding,Temperature,0.005982643346504042
1970s,31,prec_breeding,Precipitation,0.00513864291760414
1970s,31,hh,Land-use heterogeneity,0.005669143492996841
1970s,31,perc_urban,Urban,0.0034236637489633843
1970s,31,perc_cropland,Cropland,0.004238893755119674
1970s,31,perc_pasture,Pasture,0.006566880020186681
1970s,31,perc_forest,Forest,0.004677148543598819
1970s,31,perc_grass_shrub,Grass/shrubland,0.0060611401636618085
1970s,32,tmean_breeding,Temperature,0.004204282095674717
1970s,32,prec_breeding,Precipitation,0.0067227848746024875
1970s,32,hh,Land-use heterogeneity,0.010491635649413921
1970s,32,perc_urban,Urban,0.005046772205600078
1970s,32,perc_cropland,Cropland,0.006589318570667298
1970s,32,perc_pasture,Pasture,0.010299432244344629
1970s,32,perc_forest,Forest,0.004952140276730529
1970s,32,perc_grass_shrub,Grass/shrubland,0.007153875519782927
1970s,33,tmean_breeding,Temperature,0.0038795182475694153
1970s,33,prec_breeding,Precipitation,0.004650725118609388
1970s,33,hh,Land-use heterogeneity,0.004100086760594963
1970s,33,perc_urban,Urban,0.005013940198306274
1970s,33,perc_cropland,Cropland,0.006231358441151722
1970s,33,perc_pasture,Pasture,0.005158747241421456
1970s,33,perc_forest,Forest,0.008359444536956508
1970s,33,perc_grass_shrub,Grass/shrubland,0.004918123096112525
1970s,34,tmean_breeding,Temperature,0.00410941481529586
1970s,34,prec_breeding,Precipitation,0.009382811705275156
1970s,34,hh,Land-use heterogeneity,0.004053274440538198
1970s,34,perc_urban,Urban,0.004510282081409383
1970s,34,perc_cropland,Cropland,0.004060849819144985
1970s,34,perc_pasture,Pasture,0.004756993089319706
1970s,34,perc_forest,Forest,0.0038599388964960972
1970s,34,perc_grass_shrub,Grass/shrubland,0.0047649339754404045
1970s,35,tmean_breeding,Temperature,0.010435661817218445
1970s,35,prec_breeding,Precipitation,0.007149388285563659
1970s,35,hh,Land-use heterogeneity,0.0041986126932999435
1970s,35,perc_urban,Urban,0.003484412227578573
1970s,35,perc_cropland,Cropland,0.0038587112864437684
1970s,35,perc_pasture,Pasture,0.007152533599902591
1970s,35,perc_forest,Forest,0.0038284579509508744
1970s,35,perc_grass_shrub,Grass/shrubland,0.004401095256745208
1970s,36,tmean_breeding,Temperature,0.00425867967137478
1970s,36,prec_breeding,Precipitation,0.0056047442929673215
1970s,36,hh,Land-use heterogeneity,0.003846500853004634
1970s,36,perc_urban,Urban,0.0031079606051919685
1970s,36,perc_cropland,Cropland,0.004365023640437761
1970s,36,perc_pasture,Pasture,0.005209763060884727
1970s,36,perc_forest,Forest,0.003283908768991425
1970s,36,perc_grass_shrub,Grass/shrubland,0.004547022322477367
1970s,37,tmean_breeding,Temperature,0.005097823608524836
1970s,37,prec_breeding,Precipitation,0.005778498061541804
1970s,37,hh,Land-use heterogeneity,0.009055175072856608
1970s,37,perc_urban,Urban,0.004216290273093013
1970s,37,perc_cropland,Cropland,0.01051141355731249
1970s,37,perc_pasture,Pasture,0.01021109542196473
1970s,37,perc_forest,Forest,0.011581901650194263
1970s,37,perc_grass_shrub,Grass/shrubland,0.008263546556300148
1970s,38,tmean_breeding,Temperature,0.007811112637956242
1970s,38,prec_breeding,Precipitation,0.0067094338880845416
1970s,38,hh,Land-use heterogeneity,0.005897742261858609
1970s,38,perc_urban,Urban,0.005079472948667269
1970s,38,perc_cropland,Cropland,0.004326562931616327
1970s,38,perc_pasture,Pasture,0.005697469365390105
1970s,38,perc_forest,Forest,0.004231269365010617
1970s,38,perc_grass_shrub,Grass/shrubland,0.006000504692521606
1970s,39,tmean_breeding,Temperature,0.011296822392214535
1970s,39,prec_breeding,Precipitation,0.0050969892113919765
1970s,39,hh,Land-use heterogeneity,0.005289467368017609
1970s,39,perc_urban,Urban,0.004490334894086393
1970s,39,perc_cropland,Cropland,0.008366816580163484
1970s,39,perc_pasture,Pasture,0.004968112757328316
1970s,39,perc_forest,Forest,0.005459927346753988
1970s,39,perc_grass_shrub,Grass/shrubland,0.004540966674678884
1970s,40,tmean_breeding,Temperature,0.005022942364151719
1970s,40,prec_breeding,Precipitation,0.005688266474353803
1970s,40,hh,Land-use heterogeneity,0.004954764888306649
1970s,40,perc_urban,Urban,0.005204163025567681
1970s,40,perc_cropland,Cropland,0.003257705425472081
1970s,40,perc_pasture,Pasture,0.0074658171656180935
1970s,40,perc_forest,Forest,0.004416592964802273
1970s,40,perc_grass_shrub,Grass/shrubland,0.005538945896764993
1970s,41,tmean_breeding,Temperature,0.005070042840046851
1970s,41,prec_breeding,Precipitation,0.005151372217647883
1970s,41,hh,Land-use heterogeneity,0.007308732715464415
1970s,41,perc_urban,Urban,0.010075365721850036
1970s,41,perc_cropland,Cropland,0.007810595226374292
1970s,41,perc_pasture,Pasture,0.005139551926149557
1970s,41,perc_forest,Forest,0.01599475003607622
1970s,41,perc_grass_shrub,Grass/shrubland,0.005110621982377316
1970s,42,tmean_breeding,Temperature,0.005870579097344319
1970s,42,prec_breeding,Precipitation,0.006445263700755049
1970s,42,hh,Land-use heterogeneity,0.005340081450576424
1970s,42,perc_urban,Urban,0.005395983037155923
1970s,42,perc_cropland,Cropland,0.004516891704843568
1970s,42,perc_pasture,Pasture,0.007152047546396871
1970s,42,perc_forest,Forest,0.012805361668064298
1970s,42,perc_grass_shrub,Grass/shrubland,0.004457439905024295
1970s,43,tmean_breeding,Temperature,0.004634088040992737
1970s,43,prec_breeding,Precipitation,0.004743208194009928
1970s,43,hh,Land-use heterogeneity,0.004677863320919054
1970s,43,perc_urban,Urban,0.006931505278016558
1970s,43,perc_cropland,Cropland,0.003361601675183797
1970s,43,perc_pasture,Pasture,0.005116062946450403
1970s,43,perc_forest,Forest,0.004243848206820423
1970s,43,perc_grass_shrub,Grass/shrubland,0.0044225683796505115
1970s,44,tmean_breeding,Temperature,0.004167484032383922
1970s,44,prec_breeding,Precipitation,0.004081534300047876
1970s,44,hh,Land-use heterogeneity,0.00515679165533535
1970s,44,perc_urban,Urban,0.004600842062376242
1970s,44,perc_cropland,Cropland,0.003941620810400286
1970s,44,perc_pasture,Pasture,0.011684499585563602
1970s,44,perc_forest,Forest,0.01041181452916106
1970s,44,perc_grass_shrub,Grass/shrubland,0.008269591680400774
1970s,45,tmean_breeding,Temperature,0.024214516736288442
1970s,45,prec_breeding,Precipitation,0.006003463225088806
1970s,45,hh,Land-use heterogeneity,0.009584899297721161
1970s,45,perc_urban,Urban,0.005906417429709795
1970s,45,perc_cropland,Cropland,0.012935261026814691
1970s,45,perc_pasture,Pasture,0.005828827660104506
1970s,45,perc_forest,Forest,0.007806103003787153
1970s,45,perc_grass_shrub,Grass/shrubland,0.010404489361083393
1970s,46,tmean_breeding,Temperature,0.006552870925731519
1970s,46,prec_breeding,Precipitation,0.005423065482730947
1970s,46,hh,Land-use heterogeneity,0.006860455680239484
1970s,46,perc_urban,Urban,0.0069772117843971155
1970s,46,perc_cropland,Cropland,0.004078588256603665
1970s,46,perc_pasture,Pasture,0.005988804939361083
1970s,46,perc_forest,Forest,0.012546023791569003
1970s,46,perc_grass_shrub,Grass/shrubland,0.009724325268288874
1970s,47,tmean_breeding,Temperature,0.003243346048570042
1970s,47,prec_breeding,Precipitation,0.006843501104682708
1970s,47,hh,Land-use heterogeneity,0.005390662596444159
1970s,47,perc_urban,Urban,0.0037875374746986113
1970s,47,perc_cropland,Cropland,0.006077909090904889
1970s,47,perc_pasture,Pasture,0.00759178121963065
1970s,47,perc_forest,Forest,0.005495637425902004
1970s,47,perc_grass_shrub,Grass/shrubland,0.006030099094133723
1970s,48,tmean_breeding,Temperature,0.0036010382337810084
1970s,48,prec_breeding,Precipitation,0.004918833530841954
1970s,48,hh,Land-use heterogeneity,0.0049454114596421276
1970s,48,perc_urban,Urban,0.007239675453807529
1970s,48,perc_cropland,Cropland,0.009717304074685067
1970s,48,perc_pasture,Pasture,0.004994036732391362
1970s,48,perc_forest,Forest,0.005265735426072642
1970s,48,perc_grass_shrub,Grass/shrubland,0.005294715023906328
1970s,49,tmean_breeding,Temperature,0.0040528482943879346
1970s,49,prec_breeding,Precipitation,0.013491832066162312
1970s,49,hh,Land-use heterogeneity,0.006384014999255311
1970s,49,perc_urban,Urban,0.006381459421118371
1970s,49,perc_cropland,Cropland,0.0033286239275764386
1970s,49,perc_pasture,Pasture,0.0067774411503169355
1970s,49,perc_forest,Forest,0.01621212988383284
1970s,49,perc_grass_shrub,Grass/shrubland,0.006066388892914524
1970s,50,tmean_breeding,Temperature,0.005239641761817943
1970s,50,prec_breeding,Precipitation,0.007375242464928095
1970s,50,hh,Land-use heterogeneity,0.004776497334213212
1970s,50,perc_urban,Urban,0.005550344067934706
1970s,50,perc_cropland,Cropland,0.003215651560079713
1970s,50,perc_pasture,Pasture,0.006533474129905494
1970s,50,perc_forest,Forest,0.0037963570548077137
1970s,50,perc_grass_shrub,Grass/shrubland,0.005557213736704224
1970s,51,tmean_breeding,Temperature,0.005233814353828381
1970s,51,prec_breeding,Precipitation,0.004755735371545782
1970s,51,hh,Land-use heterogeneity,0.007458525879403184
1970s,51,perc_urban,Urban,0.003647266770500392
1970s,51,perc_cropland,Cropland,0.0033596795577282867
1970s,51,perc_pasture,Pasture,0.005177275275027567
1970s,51,perc_forest,Forest,0.007042439968207715
1970s,51,perc_grass_shrub,Grass/shrubland,0.00380477632450186
1970s,52,tmean_breeding,Temperature,0.0036112308454674686
1970s,52,prec_breeding,Precipitation,0.0034840559468514677
1970s,52,hh,Land-use heterogeneity,0.004604033762931867
1970s,52,perc_urban,Urban,0.013431258699418015
1970s,52,perc_cropland,Cropland,0.003153364588057253
1970s,52,perc_pasture,Pasture,0.005829850103095623
1970s,52,perc_forest,Forest,0.0033999294627770215
1970s,52,perc_grass_shrub,Grass/shrubland,0.005576220156958756
1970s,53,tmean_breeding,Temperature,0.008482496493756405
1970s,53,prec_breeding,Precipitation,0.007179998262648202
1970s,53,hh,Land-use heterogeneity,0.006886217158008185
1970s,53,perc_urban,Urban,0.0033502868259871667
1970s,53,perc_cropland,Cropland,0.004499913181858358
1970s,53,perc_pasture,Pasture,0.005232004153753486
1970s,53,perc_forest,Forest,0.0031128660075463318
1970s,53,perc_grass_shrub,Grass/shrubland,0.00672201183638302
1970s,54,tmean_breeding,Temperature,0.00478976254051283
1970s,54,prec_breeding,Precipitation,0.004881926899049191
1970s,54,hh,Land-use heterogeneity,0.005538622088813804
1970s,54,perc_urban,Urban,0.0185892475163289
1970s,54,perc_cropland,Cropland,0.005932177931807731
1970s,54,perc_pasture,Pasture,0.003708280948104632
1970s,54,perc_forest,Forest,0.0035795015011910523
1970s,54,perc_grass_shrub,Grass/shrubland,0.0051503291717701835
1970s,55,tmean_breeding,Temperature,0.004439832453982059
1970s,55,prec_breeding,Precipitation,0.006373971207862929
1970s,55,hh,Land-use heterogeneity,0.007179486499183998
1970s,55,perc_urban,Urban,0.005657848817286682
1970s,55,perc_cropland,Cropland,0.01094422049401603
1970s,55,perc_pasture,Pasture,0.007221653792414976
1970s,55,perc_forest,Forest,0.00468869558556672
1970s,55,perc_grass_shrub,Grass/shrubland,0.01581480751235876
1970s,56,tmean_breeding,Temperature,0.011527384190172475
1970s,56,prec_breeding,Precipitation,0.004087179641450106
1970s,56,hh,Land-use heterogeneity,0.005305905763274526
1970s,56,perc_urban,Urban,0.004290529499430666
1970s,56,perc_cropland,Cropland,0.004120677396881305
1970s,56,perc_pasture,Pasture,0.0056582719818360945
1970s,56,perc_forest,Forest,0.00320577986187193
1970s,56,perc_grass_shrub,Grass/shrubland,0.004682551107012971
1970s,57,tmean_breeding,Temperature,0.006956622393080798
1970s,57,prec_breeding,Precipitation,0.003923866522001688
1970s,57,hh,Land-use heterogeneity,0.00433718478349365
1970s,57,perc_urban,Urban,0.003478067869671544
1970s,57,perc_cropland,Cropland,0.00493127007148181
1970s,57,perc_pasture,Pasture,0.005811553340149285
1970s,57,perc_forest,Forest,0.0036550712886242263
1970s,57,perc_grass_shrub,Grass/shrubland,0.009289199368002203
1970s,58,tmean_breeding,Temperature,0.0044475528238484266
1970s,58,prec_breeding,Precipitation,0.005911717874270138
1970s,58,hh,Land-use heterogeneity,0.004302126761597092
1970s,58,perc_urban,Urban,0.0032958870254961507
1970s,58,perc_cropland,Cropland,0.0065264350367444084
1970s,58,perc_pasture,Pasture,0.006295810600839767
1970s,58,perc_forest,Forest,0.006295925902888737
1970s,58,perc_grass_shrub,Grass/shrubland,0.00664001295383715
1970s,59,tmean_breeding,Temperature,0.008156654282974657
1970s,59,prec_breeding,Precipitation,0.01097088454654842
1970s,59,hh,Land-use heterogeneity,0.009384014470483457
1970s,59,perc_urban,Urban,0.006934132203711727
1970s,59,perc_cropland,Cropland,0.012405085227584196
1970s,59,perc_pasture,Pasture,0.006357717468145774
1970s,59,perc_forest,Forest,0.00430517044095472
1970s,59,perc_grass_shrub,Grass/shrubland,0.006819935645480224
1970s,60,tmean_breeding,Temperature,0.006565208482932546
1970s,60,prec_breeding,Precipitation,0.010029488759830667
1970s,60,hh,Land-use heterogeneity,0.005564327096696423
1970s,60,perc_urban,Urban,0.0038550207447067514
1970s,60,perc_cropland,Cropland,0.004204074817775184
1970s,60,perc_pasture,Pasture,0.006085262248035971
1970s,60,perc_forest,Forest,0.007420466965428143
1970s,60,perc_grass_shrub,Grass/shrubland,0.007766998044902698
1970s,61,tmean_breeding,Temperature,0.0031644297376399785
1970s,61,prec_breeding,Precipitation,0.005473979170475978
1970s,61,hh,Land-use heterogeneity,0.006969566213700474
1970s,61,perc_urban,Urban,0.005317765068465253
1970s,61,perc_cropland,Cropland,0.006706366022385409
1970s,61,perc_pasture,Pasture,0.008261419538738532
1970s,61,perc_forest,Forest,0.005076320517736142
1970s,61,perc_grass_shrub,Grass/shrubland,0.004969426480923746
1970s,62,tmean_breeding,Temperature,0.010572482403038437
1970s,62,prec_breeding,Precipitation,0.00478673437617208
1970s,62,hh,Land-use heterogeneity,0.007813992204631668
1970s,62,perc_urban,Urban,0.0044348508539873484
1970s,62,perc_cropland,Cropland,0.008488081725865104
1970s,62,perc_pasture,Pasture,0.0052953991682312225
1970s,62,perc_forest,Forest,0.004128988579536436
1970s,62,perc_grass_shrub,Grass/shrubland,0.007483453884741264
1970s,63,tmean_breeding,Temperature,0.011054381491170703
