atlas,draw,variable_raw,variable,trait_family,full_r2t_beta,drop_r2t_beta,contribution
1970s,2,perc_cropland,Cropland,Migratory strategy,0.2727966015691697,0.23347108439782396,0.03932551717134572
1970s,2,perc_cropland,Cropland,Foraging guild,0.2727966015691697,0.11258386514675411,0.16021273642241557
1970s,2,perc_pasture,Pasture,Species thermal index,0.1137159338388933,0.11418470423328095,-4.687703943876548e-4
1970s,2,perc_pasture,Pasture,Migratory strategy,0.1137159338388933,0.10624644247580495,0.007469491363088346
1970s,2,perc_pasture,Pasture,Foraging guild,0.1137159338388933,0.017414257343300595,0.0963016764955927
1970s,2,perc_forest,Forest,Species thermal index,0.3421406476573264,0.34182301468851034,3.1763296881603953e-4
1970s,2,perc_forest,Forest,Migratory strategy,0.3421406476573264,0.21536209025708694,0.12677855740023944
1970s,2,perc_forest,Forest,Foraging guild,0.3421406476573264,0.13939590613638667,0.20274474152093971
1970s,2,perc_grass_shrub,Grass/shrubland,Species thermal index,0.14151418717323247,0.14172151832298147,-2.0733114974899602e-4
1970s,2,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.14151418717323247,0.14494507338207002,-0.0034308862088375525
1970s,2,perc_grass_shrub,Grass/shrubland,Foraging guild,0.14151418717323247,4.087211515837074e-5,0.1414733150580741
1970s,3,tmean_breeding,Temperature,Species thermal index,0.0891997373689664,0.08620723956149422,0.002992497807472183
1970s,3,tmean_breeding,Temperature,Migratory strategy,0.0891997373689664,0.08952810293679149,-3.2836556782508963e-4
1970s,3,tmean_breeding,Temperature,Foraging guild,0.0891997373689664,0.007617971175665316,0.08158176619330108
1970s,3,prec_breeding,Precipitation,Species thermal index,0.13319747429918657,0.12317965803918648,0.01001781626000009
1970s,3,prec_breeding,Precipitation,Migratory strategy,0.13319747429918657,0.08086165447456861,0.05233581982461796
1970s,3,prec_breeding,Precipitation,Foraging guild,0.13319747429918657,0.07880601149277028,0.054391462806416296
1970s,3,hh,Land-use heterogeneity,Species thermal index,0.35906993723355435,0.31377335612009805,0.0452965811134563
1970s,3,hh,Land-use heterogeneity,Migratory strategy,0.35906993723355435,0.3617557644724903,-0.002685827238935956
1970s,3,hh,Land-use heterogeneity,Foraging guild,0.35906993723355435,1.0593073043714472e-5,0.3590593441605106
1970s,3,perc_urban,Urban,Species thermal index,0.2392956575219479,0.10686036267687735,0.13243529484507055
1970s,3,perc_urban,Urban,Migratory strategy,0.2392956575219479,0.1878427698332003,0.05145288768874759
1970s,3,perc_urban,Urban,Foraging guild,0.2392956575219479,0.2430804001744524,-0.0037847426525045025
1970s,3,perc_cropland,Cropland,Species thermal index,0.24104015560657774,0.14232942899559894,0.0987107266109788
1970s,3,perc_cropland,Cropland,Migratory strategy,0.24104015560657774,0.12580643745790707,0.11523371814867067
1970s,3,perc_cropland,Cropland,Foraging guild,0.24104015560657774,0.17715059874128386,0.06388955686529388
1970s,3,perc_pasture,Pasture,Species thermal index,0.18474927061689497,0.17459133149358858,0.010157939123306398
1970s,3,perc_pasture,Pasture,Migratory strategy,0.18474927061689497,0.16147729286967324,0.023271977747221728
1970s,3,perc_pasture,Pasture,Foraging guild,0.18474927061689497,0.0174239266690926,0.16732534394780238
1970s,3,perc_forest,Forest,Species thermal index,0.2081711801099417,0.19572686441405668,0.012444315695885028
1970s,3,perc_forest,Forest,Migratory strategy,0.2081711801099417,0.10063317407177498,0.10753800603816673
1970s,3,perc_forest,Forest,Foraging guild,0.2081711801099417,0.09911641745216228,0.10905476265777943
1970s,3,perc_grass_shrub,Grass/shrubland,Species thermal index,0.2573207225090293,0.22718765369843338,0.030133068810595937
1970s,3,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.2573207225090293,0.25329187109388057,0.004028851415148749
1970s,3,perc_grass_shrub,Grass/shrubland,Foraging guild,0.2573207225090293,0.029151469646354667,0.22816925286267464
1970s,4,tmean_breeding,Temperature,Species thermal index,0.029635889042478974,0.027837145304415476,0.0017987437380634977
1970s,4,tmean_breeding,Temperature,Migratory strategy,0.029635889042478974,0.009306615491573947,0.020329273550905025
1970s,4,tmean_breeding,Temperature,Foraging guild,0.029635889042478974,0.02338462089338288,0.006251268149096094
1970s,4,prec_breeding,Precipitation,Species thermal index,0.024068505026798487,0.02209060458198109,0.001977900444817396
1970s,4,prec_breeding,Precipitation,Migratory strategy,0.024068505026798487,0.00998824724888508,0.014080257777913408
1970s,4,prec_breeding,Precipitation,Foraging guild,0.024068505026798487,0.052221366694085815,-0.028152861667287327
1970s,4,hh,Land-use heterogeneity,Species thermal index,0.2948615983321932,0.1827620811435642,0.11209951718862901
1970s,4,hh,Land-use heterogeneity,Migratory strategy,0.2948615983321932,0.24454530497735402,0.0503162933548392
1970s,4,hh,Land-use heterogeneity,Foraging guild,0.2948615983321932,0.19859356787719473,0.09626803045499849
1970s,4,perc_urban,Urban,Species thermal index,0.08314911052266784,0.020840889757993294,0.06230822076467454
1970s,4,perc_urban,Urban,Migratory strategy,0.08314911052266784,0.03842457726552076,0.04472453325714708
1970s,4,perc_urban,Urban,Foraging guild,0.08314911052266784,0.20212827764997252,-0.11897916712730468
1970s,4,perc_cropland,Cropland,Species thermal index,0.18079552175034902,0.08819945867537297,0.09259606307497605
1970s,4,perc_cropland,Cropland,Migratory strategy,0.18079552175034902,0.0813632651972791,0.09943225655306992
1970s,4,perc_cropland,Cropland,Foraging guild,0.18079552175034902,0.20352647509002963,-0.022730953339680615
1970s,4,perc_pasture,Pasture,Species thermal index,0.03054132764290671,0.030343731322423084,1.9759632048362702e-4
1970s,4,perc_pasture,Pasture,Migratory strategy,0.03054132764290671,0.0255875042889404,0.004953823353966311
1970s,4,perc_pasture,Pasture,Foraging guild,0.03054132764290671,0.011340387283993641,0.01920094035891307
1970s,4,perc_forest,Forest,Species thermal index,0.3482859788413029,0.2733130530292677,0.07497292581203518
1970s,4,perc_forest,Forest,Migratory strategy,0.3482859788413029,0.22815513954172928,0.12013083929957363
1970s,4,perc_forest,Forest,Foraging guild,0.3482859788413029,0.1661702232002506,0.1821157556410523
1970s,4,perc_grass_shrub,Grass/shrubland,Species thermal index,0.1421877406532498,0.10197757046067939,0.04021017019257041
1970s,4,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.1421877406532498,0.1389573733334136,0.003230367319836197
1970s,4,perc_grass_shrub,Grass/shrubland,Foraging guild,0.1421877406532498,0.031847614711619676,0.11034012594163012
1970s,5,tmean_breeding,Temperature,Species thermal index,0.11830258862569715,0.13259179802877621,-0.014289209403079067
1970s,5,tmean_breeding,Temperature,Migratory strategy,0.11830258862569715,0.13649108074332644,-0.018188492117629296
1970s,5,tmean_breeding,Temperature,Foraging guild,0.11830258862569715,9.308660117638013e-6,0.1182932799655795
1970s,5,prec_breeding,Precipitation,Species thermal index,0.20441421632854037,0.1927288876271095,0.01168532870143088
1970s,5,prec_breeding,Precipitation,Migratory strategy,0.20441421632854037,0.1948756243463173,0.009538591982223066
1970s,5,prec_breeding,Precipitation,Foraging guild,0.20441421632854037,0.02483983885133665,0.17957437747720373
1970s,5,hh,Land-use heterogeneity,Species thermal index,0.08126176854417753,0.05200284115666418,0.029258927387513352
1970s,5,hh,Land-use heterogeneity,Migratory strategy,0.08126176854417753,0.06542212045437848,0.015839648089799055
1970s,5,hh,Land-use heterogeneity,Foraging guild,0.08126176854417753,0.05966083279197472,0.021600935752202816
1970s,5,perc_urban,Urban,Species thermal index,0.4999711513129761,0.30339197319730704,0.19657917811566905
1970s,5,perc_urban,Urban,Migratory strategy,0.4999711513129761,0.4823058038576734,0.017665347455302682
1970s,5,perc_urban,Urban,Foraging guild,0.4999711513129761,0.21221030209818736,0.2877608492147887
1970s,5,perc_cropland,Cropland,Species thermal index,0.17138848473535823,0.03204642996087614,0.13934205477448208
1970s,5,perc_cropland,Cropland,Migratory strategy,0.17138848473535823,0.14510977803020655,0.026278706705151672
1970s,5,perc_cropland,Cropland,Foraging guild,0.17138848473535823,0.2085837012655459,-0.037195216530187675
1970s,5,perc_pasture,Pasture,Species thermal index,0.11924302788598394,0.11081353642130043,0.008429491464683511
1970s,5,perc_pasture,Pasture,Migratory strategy,0.11924302788598394,0.09246000725947086,0.026783020626513082
1970s,5,perc_pasture,Pasture,Foraging guild,0.11924302788598394,0.022253269520506835,0.0969897583654771
1970s,5,perc_forest,Forest,Species thermal index,0.33147837536736807,0.2807752909605643,0.05070308440680377
1970s,5,perc_forest,Forest,Migratory strategy,0.33147837536736807,0.25194311566177535,0.07953525970559272
1970s,5,perc_forest,Forest,Foraging guild,0.33147837536736807,0.16129989832174482,0.17017847704562325
1970s,5,perc_grass_shrub,Grass/shrubland,Species thermal index,0.14277449856525362,0.13225332016513106,0.010521178400122566
1970s,5,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.14277449856525362,0.14481536323217437,-0.002040864666920744
1970s,5,perc_grass_shrub,Grass/shrubland,Foraging guild,0.14277449856525362,0.0055112356070172565,0.13726326295823638
1970s,6,tmean_breeding,Temperature,Species thermal index,0.30153753115927434,0.28195615299193844,0.019581378167335906
1970s,6,tmean_breeding,Temperature,Migratory strategy,0.30153753115927434,0.27844297669051016,0.023094554468764183
1970s,6,tmean_breeding,Temperature,Foraging guild,0.30153753115927434,0.002548539967187149,0.2989889911920872
1970s,6,prec_breeding,Precipitation,Species thermal index,0.08439478044824437,0.08922846741676158,-0.004833686968517201
1970s,6,prec_breeding,Precipitation,Migratory strategy,0.08439478044824437,0.06161434303909733,0.022780437409147043
1970s,6,prec_breeding,Precipitation,Foraging guild,0.08439478044824437,0.04573807847152697,0.0386567019767174
1970s,6,hh,Land-use heterogeneity,Species thermal index,0.10752943472251437,0.08975859491287141,0.01777083980964296
1970s,6,hh,Land-use heterogeneity,Migratory strategy,0.10752943472251437,0.08256437655929562,0.024965058163218756
1970s,6,hh,Land-use heterogeneity,Foraging guild,0.10752943472251437,0.09812622041259006,0.009403214309924315
1970s,6,perc_urban,Urban,Species thermal index,0.18238233257885494,0.10404036133055368,0.07834197124830126
1970s,6,perc_urban,Urban,Migratory strategy,0.18238233257885494,0.09461569459066753,0.08776663798818742
1970s,6,perc_urban,Urban,Foraging guild,0.18238233257885494,0.1522572479471276,0.030125084631727334
1970s,6,perc_cropland,Cropland,Species thermal index,0.30607470453304797,0.17482263381284657,0.1312520707202014
1970s,6,perc_cropland,Cropland,Migratory strategy,0.30607470453304797,0.21186266223956196,0.09421204229348601
1970s,6,perc_cropland,Cropland,Foraging guild,0.30607470453304797,0.17788696584159416,0.1281877386914538
1970s,6,perc_pasture,Pasture,Species thermal index,0.13842313339865814,0.13090860322269196,0.0075145301759661776
1970s,6,perc_pasture,Pasture,Migratory strategy,0.13842313339865814,0.09076578656021912,0.047657346838439016
1970s,6,perc_pasture,Pasture,Foraging guild,0.13842313339865814,0.04033757248632435,0.09808556091233378
1970s,6,perc_forest,Forest,Species thermal index,0.2674787824707348,0.2430670764715507,0.024411705999184102
1970s,6,perc_forest,Forest,Migratory strategy,0.2674787824707348,0.21896811675881425,0.04851066571192056
1970s,6,perc_forest,Forest,Foraging guild,0.2674787824707348,0.1211345567489082,0.1463442257218266
1970s,6,perc_grass_shrub,Grass/shrubland,Species thermal index,0.24384009691405756,0.2416962158331108,0.0021438810809467634
1970s,6,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.24384009691405756,0.24361527681399894,2.2482010005861475e-4
1970s,6,perc_grass_shrub,Grass/shrubland,Foraging guild,0.24384009691405756,0.0025972109972086004,0.24124288591684895
1970s,7,tmean_breeding,Temperature,Species thermal index,0.18825720846103206,0.1828009342172239,0.005456274243808151
1970s,7,tmean_breeding,Temperature,Migratory strategy,0.18825720846103206,0.182712524798269,0.005544683662763061
1970s,7,tmean_breeding,Temperature,Foraging guild,0.18825720846103206,0.009294679630956185,0.17896252883007588
1970s,7,prec_breeding,Precipitation,Species thermal index,0.16864850402446452,0.1643625097602903,0.0042859942641742255
1970s,7,prec_breeding,Precipitation,Migratory strategy,0.16864850402446452,0.10812646697625387,0.060522037048210645
1970s,7,prec_breeding,Precipitation,Foraging guild,0.16864850402446452,0.11144093795909221,0.057207566065372306
1970s,7,hh,Land-use heterogeneity,Species thermal index,0.23039076575594347,0.18749068034300023,0.04290008541294324
1970s,7,hh,Land-use heterogeneity,Migratory strategy,0.23039076575594347,0.1414849769800821,0.08890578877586136
1970s,7,hh,Land-use heterogeneity,Foraging guild,0.23039076575594347,0.11304969357753093,0.11734107217841254
1970s,7,perc_urban,Urban,Species thermal index,0.16822179229738868,0.08365481601589239,0.08456697628149629
1970s,7,perc_urban,Urban,Migratory strategy,0.16822179229738868,0.128385017082354,0.039836775215034675
1970s,7,perc_urban,Urban,Foraging guild,0.16822179229738868,0.18052623741447074,-0.012304445117082063
1970s,7,perc_cropland,Cropland,Species thermal index,0.31806554106523,0.20277610308418217,0.11528943798104782
1970s,7,perc_cropland,Cropland,Migratory strategy,0.31806554106523,0.2981586378136627,0.0199069032515673
1970s,7,perc_cropland,Cropland,Foraging guild,0.31806554106523,0.2046422275882812,0.11342331347694878
1970s,7,perc_pasture,Pasture,Species thermal index,0.18489346320166392,0.18654556509469117,-0.0016521018930272524
1970s,7,perc_pasture,Pasture,Migratory strategy,0.18489346320166392,0.18542441743009253,-5.309542284286095e-4
1970s,7,perc_pasture,Pasture,Foraging guild,0.18489346320166392,0.014965506181081473,0.16992795702058244
1970s,7,perc_forest,Forest,Species thermal index,0.31342474185422364,0.2854817086474129,0.02794303320681074
1970s,7,perc_forest,Forest,Migratory strategy,0.31342474185422364,0.2509679539197872,0.06245678793443643
1970s,7,perc_forest,Forest,Foraging guild,0.31342474185422364,0.1358430567700046,0.17758168508421904
1970s,7,perc_grass_shrub,Grass/shrubland,Species thermal index,0.22190606792906514,0.1371428179119437,0.08476325001712146
1970s,7,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.22190606792906514,0.18424278152747703,0.037663286401588114
1970s,7,perc_grass_shrub,Grass/shrubland,Foraging guild,0.22190606792906514,0.09786768315694931,0.12403838477211583
1970s,8,tmean_breeding,Temperature,Species thermal index,0.2959689297590363,0.28358577443114985,0.012383155327886475
1970s,8,tmean_breeding,Temperature,Migratory strategy,0.2959689297590363,0.27586718701221596,0.02010174274682036
1970s,8,tmean_breeding,Temperature,Foraging guild,0.2959689297590363,0.0012186966030207657,0.29475023315601556
1970s,8,prec_breeding,Precipitation,Species thermal index,0.04185787804901982,0.024799599979449756,0.01705827806957006
1970s,8,prec_breeding,Precipitation,Migratory strategy,0.04185787804901982,0.024474222456078762,0.017383655592941055
1970s,8,prec_breeding,Precipitation,Foraging guild,0.04185787804901982,0.059885117010718504,-0.018027238961698687
1970s,8,hh,Land-use heterogeneity,Species thermal index,0.1684051862370112,0.1145696805212433,0.053835505715767895
1970s,8,hh,Land-use heterogeneity,Migratory strategy,0.1684051862370112,0.12448438907011496,0.043920797166896244
1970s,8,hh,Land-use heterogeneity,Foraging guild,0.1684051862370112,0.17530067729662988,-0.006895491059618675
1970s,8,perc_urban,Urban,Species thermal index,0.43179860170107814,0.27728051413809074,0.1545180875629874
1970s,8,perc_urban,Urban,Migratory strategy,0.43179860170107814,0.37886091057149535,0.0529376911295828
1970s,8,perc_urban,Urban,Foraging guild,0.43179860170107814,0.23511426819205408,0.19668433350902406
1970s,8,perc_cropland,Cropland,Species thermal index,0.15397446549374957,0.07786264745805267,0.0761118180356969
1970s,8,perc_cropland,Cropland,Migratory strategy,0.15397446549374957,0.10090335091766031,0.05307111457608926
1970s,8,perc_cropland,Cropland,Foraging guild,0.15397446549374957,0.1744504335707616,-0.02047596807701202
1970s,8,perc_pasture,Pasture,Species thermal index,0.13269948676586527,0.13278012603032197,-8.06392644567e-5
1970s,8,perc_pasture,Pasture,Migratory strategy,0.13269948676586527,0.13117823605002307,0.0015212507158421928
1970s,8,perc_pasture,Pasture,Foraging guild,0.13269948676586527,2.593096076976544e-4,0.1324401771581676
1970s,8,perc_forest,Forest,Species thermal index,0.10207808024635043,0.0779119378909878,0.02416614235536263
1970s,8,perc_forest,Forest,Migratory strategy,0.10207808024635043,0.03889123040658486,0.06318684983976557
1970s,8,perc_forest,Forest,Foraging guild,0.10207808024635043,0.16066700068322864,-0.05858892043687822
1970s,8,perc_grass_shrub,Grass/shrubland,Species thermal index,0.144819465657169,0.1356773215060504,0.00914214415111858
1970s,8,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.144819465657169,0.14367199345168863,0.0011474722054803654
1970s,8,perc_grass_shrub,Grass/shrubland,Foraging guild,0.144819465657169,0.006289136453142624,0.13853032920402636
1970s,9,tmean_breeding,Temperature,Species thermal index,0.1805401747870353,0.18012773697399986,4.1243781303543225e-4
1970s,9,tmean_breeding,Temperature,Migratory strategy,0.1805401747870353,0.178829198301092,0.0017109764859432885
1970s,9,tmean_breeding,Temperature,Foraging guild,0.1805401747870353,0.00481502668658691,0.1757251481004484
1970s,9,prec_breeding,Precipitation,Species thermal index,0.12455498870233325,0.12327358285813789,0.0012814058441953657
1970s,9,prec_breeding,Precipitation,Migratory strategy,0.12455498870233325,0.08672987846384222,0.03782511023849103
1970s,9,prec_breeding,Precipitation,Foraging guild,0.12455498870233325,0.07126719134779133,0.05328779735454192
1970s,9,hh,Land-use heterogeneity,Species thermal index,0.11365032111265809,0.1238099236000118,-0.010159602487353717
1970s,9,hh,Land-use heterogeneity,Migratory strategy,0.11365032111265809,0.1268008349965856,-0.013150513883927503
1970s,9,hh,Land-use heterogeneity,Foraging guild,0.11365032111265809,0.03800599555639783,0.07564432555626026
1970s,9,perc_urban,Urban,Species thermal index,0.2962717844214115,0.22359434863707056,0.07267743578434094
1970s,9,perc_urban,Urban,Migratory strategy,0.2962717844214115,0.1715706159142421,0.12470116850716939
1970s,9,perc_urban,Urban,Foraging guild,0.2962717844214115,0.13940892677698138,0.15686285764443011
1970s,9,perc_cropland,Cropland,Species thermal index,0.33162892853769266,0.2522814071137612,0.07934752142393148
1970s,9,perc_cropland,Cropland,Migratory strategy,0.33162892853769266,0.23399636364375934,0.09763256489393332
1970s,9,perc_cropland,Cropland,Foraging guild,0.33162892853769266,0.21799807098440638,0.11363085755328628
1970s,9,perc_pasture,Pasture,Species thermal index,0.20739109253200416,0.20680031875125635,5.907737807478164e-4
1970s,9,perc_pasture,Pasture,Migratory strategy,0.20739109253200416,0.179168685174292,0.02822240735771217
1970s,9,perc_pasture,Pasture,Foraging guild,0.20739109253200416,0.018040837836728083,0.18935025469527608
1970s,9,perc_forest,Forest,Species thermal index,0.17302286396200078,0.17815652397463508,-0.005133660012634295
1970s,9,perc_forest,Forest,Migratory strategy,0.17302286396200078,0.08408512504721322,0.08893773891478757
1970s,9,perc_forest,Forest,Foraging guild,0.17302286396200078,0.12983971332711222,0.04318315063488856
1970s,9,perc_grass_shrub,Grass/shrubland,Species thermal index,0.2974186225032164,0.314916489526246,-0.017497867023029634
1970s,9,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.2974186225032164,0.24150792692910955,0.05591069557410683
1970s,9,perc_grass_shrub,Grass/shrubland,Foraging guild,0.2974186225032164,0.012382215572990747,0.28503640693022564
1970s,10,tmean_breeding,Temperature,Species thermal index,0.3065834540283485,0.3030377741601691,0.003545679868179441
1970s,10,tmean_breeding,Temperature,Migratory strategy,0.3065834540283485,0.29094910693419146,0.015634347094157064
1970s,10,tmean_breeding,Temperature,Foraging guild,0.3065834540283485,0.0017177782439870032,0.3048656757843615
1970s,10,prec_breeding,Precipitation,Species thermal index,0.05921799539062084,0.05288238275644655,0.006335612634174287
1970s,10,prec_breeding,Precipitation,Migratory strategy,0.05921799539062084,0.04074825290490754,0.018469742485713293
1970s,10,prec_breeding,Precipitation,Foraging guild,0.05921799539062084,0.03572261250791951,0.023495382882701324
1970s,10,hh,Land-use heterogeneity,Species thermal index,0.26344829403580694,0.22744547089840025,0.036002823137406686
1970s,10,hh,Land-use heterogeneity,Migratory strategy,0.26344829403580694,0.25336401951150866,0.010084274524298276
1970s,10,hh,Land-use heterogeneity,Foraging guild,0.26344829403580694,0.01735422689874826,0.24609406713705867
1970s,10,perc_urban,Urban,Species thermal index,0.23250991766964263,0.115131015992361,0.11737890167728163
1970s,10,perc_urban,Urban,Migratory strategy,0.23250991766964263,0.18210419926978588,0.05040571839985675
1970s,10,perc_urban,Urban,Foraging guild,0.23250991766964263,0.22855069381874846,0.003959223850894172
1970s,10,perc_cropland,Cropland,Species thermal index,0.40338026126300125,0.37362784717074066,0.029752414092260593
1970s,10,perc_cropland,Cropland,Migratory strategy,0.40338026126300125,0.2888568888308626,0.11452337243213867
1970s,10,perc_cropland,Cropland,Foraging guild,0.40338026126300125,0.25737914537906137,0.14600111588393988
1970s,10,perc_pasture,Pasture,Species thermal index,0.06870174582944455,0.06661430530802036,0.0020874405214241915
1970s,10,perc_pasture,Pasture,Migratory strategy,0.06870174582944455,0.050258372080473804,0.018443373748970746
1970s,10,perc_pasture,Pasture,Foraging guild,0.06870174582944455,0.014642942244414724,0.054058803585029826
1970s,10,perc_forest,Forest,Species thermal index,0.20144181043499945,0.19478658694442122,0.006655223490578233
1970s,10,perc_forest,Forest,Migratory strategy,0.20144181043499945,0.1322475451311663,0.06919426530383316
1970s,10,perc_forest,Forest,Foraging guild,0.20144181043499945,0.13487952168601808,0.06656228874898137
1970s,10,perc_grass_shrub,Grass/shrubland,Species thermal index,0.12731266387437748,0.12100603646659866,0.00630662740777882
1970s,10,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.12731266387437748,0.12840747367141528,-0.001094809797037799
1970s,10,perc_grass_shrub,Grass/shrubland,Foraging guild,0.12731266387437748,0.003946051103789996,0.12336661277058748
1970s,11,tmean_breeding,Temperature,Species thermal index,0.12075685101036272,0.11919874642348223,0.0015581045868804932
1970s,11,tmean_breeding,Temperature,Migratory strategy,0.12075685101036272,0.10568157492758234,0.015075276082780378
1970s,11,tmean_breeding,Temperature,Foraging guild,0.12075685101036272,0.003051144888149379,0.11770570612221334
1970s,11,prec_breeding,Precipitation,Species thermal index,0.016429748037796156,0.01539512261825297,0.0010346254195431857
1970s,11,prec_breeding,Precipitation,Migratory strategy,0.016429748037796156,0.012245808561087418,0.004183939476708738
1970s,11,prec_breeding,Precipitation,Foraging guild,0.016429748037796156,0.024869088401308328,-0.008439340363512172
1970s,11,hh,Land-use heterogeneity,Species thermal index,0.31033516648900156,0.2642346565982089,0.046100509890792674
1970s,11,hh,Land-use heterogeneity,Migratory strategy,0.31033516648900156,0.26953963671555176,0.0407955297734498
1970s,11,hh,Land-use heterogeneity,Foraging guild,0.31033516648900156,0.1517445138392157,0.15859065264978586
1970s,11,perc_urban,Urban,Species thermal index,0.3325447143886118,0.19235877956064726,0.14018593482796451
1970s,11,perc_urban,Urban,Migratory strategy,0.3325447143886118,0.25300162755501143,0.07954308683360034
1970s,11,perc_urban,Urban,Foraging guild,0.3325447143886118,0.2706460992983889,0.061898615090222875
1970s,11,perc_cropland,Cropland,Species thermal index,0.1724850927614636,0.10378750989332237,0.06869758286814122
1970s,11,perc_cropland,Cropland,Migratory strategy,0.1724850927614636,0.14661652046394494,0.025868572297518655
1970s,11,perc_cropland,Cropland,Foraging guild,0.1724850927614636,0.194314990807992,-0.021829898046528406
1970s,11,perc_pasture,Pasture,Species thermal index,0.1458341864615359,0.13738489734836185,0.008449289113174052
1970s,11,perc_pasture,Pasture,Migratory strategy,0.1458341864615359,0.13423428169814416,0.011599904763391733
1970s,11,perc_pasture,Pasture,Foraging guild,0.1458341864615359,0.011575317867213733,0.13425886859432218
1970s,11,perc_forest,Forest,Species thermal index,0.0053780624279553555,6.554755040428094e-4,0.004722586923912546
1970s,11,perc_forest,Forest,Migratory strategy,0.0053780624279553555,6.620268998663661e-4,0.00471603552808899
