atlas,trait_clean,variable,trait_category,n_species,effect_size,support_pos,gamma_support,trait_label
1970s,short-distance,Cropland,Migration,39,-0.2944908132249241,0.109,No supported effect,Short-Distance (n = 39)
1970s,short-distance,Pasture,Migration,39,-0.2862293888874169,0.246,No supported effect,Short-Distance (n = 39)
1970s,short-distance,Forest,Migration,39,0.1771538684175406,0.653,No supported effect,Short-Distance (n = 39)
1970s,short-distance,Grass/Shrubland,Migration,39,-0.2213848166277743,0.336,No supported effect,Short-Distance (n = 39)
1970s,sedentary and short-distance,Temperature,Migration,31,-0.5062546264023091,0.092,No supported effect,Sedentary and Short-Distance (n = 31)
1970s,sedentary and short-distance,Precipitation,Migration,31,0.002903552005782369,0.696,No supported effect,Sedentary and Short-Distance (n = 31)
1970s,sedentary and short-distance,Land-Use Heterogeneity,Migration,31,-0.04048854449453779,0.43,No supported effect,Sedentary and Short-Distance (n = 31)
1970s,sedentary and short-distance,Urban,Migration,31,0.736319665225058,0.96,Positive,Sedentary and Short-Distance (n = 31)
1970s,sedentary and short-distance,Cropland,Migration,31,0.1504495523411138,0.718,No supported effect,Sedentary and Short-Distance (n = 31)
1970s,sedentary and short-distance,Pasture,Migration,31,-0.4651960534775412,0.142,No supported effect,Sedentary and Short-Distance (n = 31)
1970s,sedentary and short-distance,Forest,Migration,31,1.01366749784769,0.989,Positive,Sedentary and Short-Distance (n = 31)
1970s,sedentary and short-distance,Grass/Shrubland,Migration,31,-0.01529509255873336,0.482,No supported effect,Sedentary and Short-Distance (n = 31)
1970s,sedentary,Temperature,Migration,35,-0.2792085005466265,0.267,No supported effect,Sedentary (n = 35)
1970s,sedentary,Precipitation,Migration,35,0.007982049886445994,0.874,No supported effect,Sedentary (n = 35)
1970s,sedentary,Land-Use Heterogeneity,Migration,35,0.1200503809116082,0.671,No supported effect,Sedentary (n = 35)
1970s,sedentary,Urban,Migration,35,0.8122206446303984,0.949,No supported effect,Sedentary (n = 35)
1970s,sedentary,Cropland,Migration,35,0.4211710101990705,0.932,No supported effect,Sedentary (n = 35)
1970s,sedentary,Pasture,Migration,35,-0.1511298119015328,0.398,No supported effect,Sedentary (n = 35)
1970s,sedentary,Forest,Migration,35,1.241855704909396,0.989,Positive,Sedentary (n = 35)
1970s,sedentary,Grass/Shrubland,Migration,35,-0.409189355381204,0.275,No supported effect,Sedentary (n = 35)
1970s,Tit-like birds,Temperature,Foraging guild,12,-0.4681615452728668,0.299,No supported effect,Tit-like birds (n = 12)
1970s,Tit-like birds,Precipitation,Foraging guild,12,-0.006833822830499606,0.3,No supported effect,Tit-like birds (n = 12)
1970s,Tit-like birds,Land-Use Heterogeneity,Foraging guild,12,0.4241112767649015,0.78,No supported effect,Tit-like birds (n = 12)
1970s,Tit-like birds,Urban,Foraging guild,12,-0.6406801661645043,0.239,No supported effect,Tit-like birds (n = 12)
1970s,Tit-like birds,Cropland,Foraging guild,12,-0.06705188361979406,0.447,No supported effect,Tit-like birds (n = 12)
1970s,Tit-like birds,Pasture,Foraging guild,12,0.4784534559075754,0.704,No supported effect,Tit-like birds (n = 12)
1970s,Tit-like birds,Forest,Foraging guild,12,0.3532375095637347,0.636,No supported effect,Tit-like birds (n = 12)
1970s,Tit-like birds,Grass/Shrubland,Foraging guild,12,-0.4896890193651453,0.352,No supported effect,Tit-like birds (n = 12)
1970s,Low flycatching feeders,Temperature,Foraging guild,9,-0.4439753125769121,0.315,No supported effect,Low flycatching feeders (n = 9)
1970s,Low flycatching feeders,Precipitation,Foraging guild,9,-0.002642431164351021,0.415,No supported effect,Low flycatching feeders (n = 9)
1970s,Low flycatching feeders,Land-Use Heterogeneity,Foraging guild,9,0.01184908191782618,0.507,No supported effect,Low flycatching feeders (n = 9)
1970s,Low flycatching feeders,Urban,Foraging guild,9,-0.3473439898946419,0.342,No supported effect,Low flycatching feeders (n = 9)
1970s,Low flycatching feeders,Cropland,Foraging guild,9,-0.0409150031531812,0.462,No supported effect,Low flycatching feeders (n = 9)
1970s,Low flycatching feeders,Pasture,Foraging guild,9,0.8147020695356294,0.791,No supported effect,Low flycatching feeders (n = 9)
1970s,Low flycatching feeders,Forest,Foraging guild,9,0.704394324519327,0.757,No supported effect,Low flycatching feeders (n = 9)
1970s,Low flycatching feeders,Grass/Shrubland,Foraging guild,9,-0.298510684139262,0.408,No supported effect,Low flycatching feeders (n = 9)
1970s,Scolopacids,Temperature,Foraging guild,9,0.9038573822948541,0.772,No supported effect,Scolopacids (n = 9)
1970s,Scolopacids,Precipitation,Foraging guild,9,6.635559946773175e-4,0.502,No supported effect,Scolopacids (n = 9)
1970s,Scolopacids,Land-Use Heterogeneity,Foraging guild,9,0.2115818571887426,0.607,No supported effect,Scolopacids (n = 9)
1970s,Scolopacids,Urban,Foraging guild,9,-1.151595175405789,0.191,No supported effect,Scolopacids (n = 9)
1970s,Scolopacids,Cropland,Foraging guild,9,0.4892965203004106,0.752,No supported effect,Scolopacids (n = 9)
1970s,Scolopacids,Pasture,Foraging guild,9,2.160590949460889,0.935,No supported effect,Scolopacids (n = 9)
1970s,Scolopacids,Forest,Foraging guild,9,0.3658638536904119,0.604,No supported effect,Scolopacids (n = 9)
1970s,Scolopacids,Grass/Shrubland,Foraging guild,9,1.194891163791829,0.755,No supported effect,Scolopacids (n = 9)
1970s,Dabbling ducks,Temperature,Foraging guild,7,0.2247800054800126,0.575,No supported effect,Dabbling ducks (n = 7)
1970s,Dabbling ducks,Precipitation,Foraging guild,7,-0.00993892923986107,0.308,No supported effect,Dabbling ducks (n = 7)
1970s,Dabbling ducks,Land-Use Heterogeneity,Foraging guild,7,-0.09084665701342112,0.465,No supported effect,Dabbling ducks (n = 7)
1970s,Dabbling ducks,Urban,Foraging guild,7,-0.90684829716209725,0.214,No supported effect,Dabbling ducks (n = 7)
1970s,Dabbling ducks,Cropland,Foraging guild,7,-0.02926890473883344,0.481,No supported effect,Dabbling ducks (n = 7)
1970s,Dabbling ducks,Pasture,Foraging guild,7,1.257876457728895,0.826,No supported effect,Dabbling ducks (n = 7)
1970s,Dabbling ducks,Forest,Foraging guild,7,-0.1064609868755299,0.466,No supported effect,Dabbling ducks (n = 7)
1970s,Dabbling ducks,Grass/Shrubland,Foraging guild,7,1.428361693096832,0.795,No supported effect,Dabbling ducks (n = 7)
1970s,Plovers,Temperature,Foraging guild,6,2.105880112666282,0.964,Positive,Plovers (n = 6)
1970s,Plovers,Precipitation,Foraging guild,6,-0.01951375982572132,0.168,No supported effect,Plovers (n = 6)
1970s,Plovers,Land-Use Heterogeneity,Foraging guild,6,1.73225398839777,0.991,Positive,Plovers (n = 6)
1970s,Plovers,Urban,Foraging guild,6,-2.181166888181117,0.043,Negative,Plovers (n = 6)
1970s,Plovers,Cropland,Foraging guild,6,-0.8811474340280985,0.092,No supported effect,Plovers (n = 6)
1970s,Plovers,Pasture,Foraging guild,6,0.1303345122479554,0.531,No supported effect,Plovers (n = 6)
1970s,Plovers,Forest,Foraging guild,6,-2.334101154541661,0.042,Negative,Plovers (n = 6)
1970s,Plovers,Grass/Shrubland,Foraging guild,6,-2.698766489741527,0.061,No supported effect,Plovers (n = 6)
1970s,Diving ducks,Temperature,Foraging guild,3,-0.739533627613934,0.285,No supported effect,Diving ducks (n = 3)
1970s,Diving ducks,Precipitation,Foraging guild,3,-0.0321758579981451,0.071,No supported effect,Diving ducks (n = 3)
1970s,Diving ducks,Land-Use Heterogeneity,Foraging guild,3,0.2156250226232861,0.617,No supported effect,Diving ducks (n = 3)
1970s,Diving ducks,Urban,Foraging guild,3,0.5697034149059476,0.654,No supported effect,Diving ducks (n = 3)
1970s,Diving ducks,Cropland,Foraging guild,3,0.7188511064106868,0.832,No supported effect,Diving ducks (n = 3)
1970s,Diving ducks,Pasture,Foraging guild,3,2.299624573657046,0.94,No supported effect,Diving ducks (n = 3)
1970s,Diving ducks,Forest,Foraging guild,3,0.2483659839192836,0.56,No supported effect,Diving ducks (n = 3)
1970s,Diving ducks,Grass/Shrubland,Foraging guild,3,2.796420348052295,0.913,No supported effect,Diving ducks (n = 3)
1970s,Grazing waterfowl,Temperature,Foraging guild,2,0.2427434203462175,0.577,No supported effect,Grazing waterfowl (n = 2)
1970s,Grazing waterfowl,Precipitation,Foraging guild,2,-0.01965951971115245,0.179,No supported effect,Grazing waterfowl (n = 2)
1970s,Grazing waterfowl,Land-Use Heterogeneity,Foraging guild,2,0.4048273630111591,0.707,No supported effect,Grazing waterfowl (n = 2)
1970s,Grazing waterfowl,Urban,Foraging guild,2,-0.4617081992847597,0.365,No supported effect,Grazing waterfowl (n = 2)
1970s,Grazing waterfowl,Cropland,Foraging guild,2,0.3964883010745658,0.694,No supported effect,Grazing waterfowl (n = 2)
1970s,Grazing waterfowl,Pasture,Foraging guild,2,2.175133942960465,0.92,No supported effect,Grazing waterfowl (n = 2)
1970s,Grazing waterfowl,Forest,Foraging guild,2,0.035199983783319413,0.529,No supported effect,Grazing waterfowl (n = 2)
1970s,Grazing waterfowl,Grass/Shrubland,Foraging guild,2,1.123916395914931,0.709,No supported effect,Grazing waterfowl (n = 2)
1990s,Species thermal index,Temperature,Species thermal index,157,0.156948667388291,0.963,Positive,Species thermal index (n = 157)
1990s,Species thermal index,Precipitation,Species thermal index,157,0.001028249989659487,0.864,No supported effect,Species thermal index (n = 157)
1990s,Species thermal index,Land-Use Heterogeneity,Species thermal index,157,-0.04469691941835841,0.236,No supported effect,Species thermal index (n = 157)
1990s,Species thermal index,Urban,Species thermal index,157,0.2544555468147846,0.995,Positive,Species thermal index (n = 157)
1990s,Species thermal index,Cropland,Species thermal index,157,0.2402171193765673,1,Positive,Species thermal index (n = 157)
1990s,Species thermal index,Pasture,Species thermal index,157,0.1376318817080283,0.901,No supported effect,Species thermal index (n = 157)
1990s,Species thermal index,Forest,Species thermal index,157,0.1520360109156104,0.937,No supported effect,Species thermal index (n = 157)
1990s,Species thermal index,Grass/Shrubland,Species thermal index,157,0.1517772622717334,0.899,No supported effect,Species thermal index (n = 157)
1990s,short-and long-distance,Temperature,Migration,8,-0.8871887999545517,0.066,No supported effect,Short- and Long-Distance (n = 8)
1990s,short-and long-distance,Precipitation,Migration,8,-0.004110814353291876,0.269,No supported effect,Short- and Long-Distance (n = 8)
1990s,short-and long-distance,Land-Use Heterogeneity,Migration,8,-0.1912154839443423,0.309,No supported effect,Short- and Long-Distance (n = 8)
1990s,short-and long-distance,Urban,Migration,8,0.3129902022342992,0.676,No supported effect,Short- and Long-Distance (n = 8)
1990s,short-and long-distance,Cropland,Migration,8,-0.6307126626367762,0.06,No supported effect,Short- and Long-Distance (n = 8)
1990s,short-and long-distance,Pasture,Migration,8,-0.3234150036801233,0.315,No supported effect,Short- and Long-Distance (n = 8)
1990s,short-and long-distance,Forest,Migration,8,0.03910856414785355,0.532,No supported effect,Short- and Long-Distance (n = 8)
1990s,short-and long-distance,Grass/Shrubland,Migration,8,0.509529263917607,0.718,No supported effect,Short- and Long-Distance (n = 8)
1990s,short-distance,Temperature,Migration,39,0.1742743290361998,0.663,No supported effect,Short-Distance (n = 39)
1990s,short-distance,Precipitation,Migration,39,0.002146243213315012,0.718,No supported effect,Short-Distance (n = 39)
1990s,short-distance,Land-Use Heterogeneity,Migration,39,-0.1674391899588327,0.266,No supported effect,Short-Distance (n = 39)
1990s,short-distance,Urban,Migration,39,0.04510659372616418,0.542,No supported effect,Short-Distance (n = 39)
1990s,short-distance,Cropland,Migration,39,-0.4999384434817387,0.024,Negative,Short-Distance (n = 39)
1990s,short-distance,Pasture,Migration,39,-0.2208279494270733,0.301,No supported effect,Short-Distance (n = 39)
1990s,short-distance,Forest,Migration,39,-0.1288649391371883,0.404,No supported effect,Short-Distance (n = 39)
1990s,short-distance,Grass/Shrubland,Migration,39,0.3245811506056893,0.734,No supported effect,Short-Distance (n = 39)
1990s,sedentary and short-distance,Temperature,Migration,31,-0.2721318330644931,0.224,No supported effect,Sedentary and Short-Distance (n = 31)
1990s,sedentary and short-distance,Precipitation,Migration,31,-0.001691402194319843,0.338,No supported effect,Sedentary and Short-Distance (n = 31)
1990s,sedentary and short-distance,Land-Use Heterogeneity,Migration,31,-0.1211305703060214,0.324,No supported effect,Sedentary and Short-Distance (n = 31)
1990s,sedentary and short-distance,Urban,Migration,31,1.048506490992555,0.993,Positive,Sedentary and Short-Distance (n = 31)
1990s,sedentary and short-distance,Cropland,Migration,31,-0.1636653885932127,0.257,No supported effect,Sedentary and Short-Distance (n = 31)
1990s,sedentary and short-distance,Pasture,Migration,31,-0.8572733839305976,0.037,Negative,Sedentary and Short-Distance (n = 31)
1990s,sedentary and short-distance,Forest,Migration,31,0.4373515538253087,0.826,No supported effect,Sedentary and Short-Distance (n = 31)
1990s,sedentary and short-distance,Grass/Shrubland,Migration,31,0.5515211127766012,0.842,No supported effect,Sedentary and Short-Distance (n = 31)
1990s,sedentary,Temperature,Migration,35,-0.8129047896031435,0.041,Negative,Sedentary (n = 35)
1990s,sedentary,Precipitation,Migration,35,-0.001272151779988037,0.389,No supported effect,Sedentary (n = 35)
1990s,sedentary,Land-Use Heterogeneity,Migration,35,-0.05262693341331998,0.431,No supported effect,Sedentary (n = 35)
1990s,sedentary,Urban,Migration,35,0.6035338976781474,0.874,No supported effect,Sedentary (n = 35)
1990s,sedentary,Cropland,Migration,35,-0.2402947602938852,0.211,No supported effect,Sedentary (n = 35)
1990s,sedentary,Pasture,Migration,35,-0.8325569054893613,0.072,No supported effect,Sedentary (n = 35)
1990s,sedentary,Forest,Migration,35,0.6470042331866664,0.876,No supported effect,Sedentary (n = 35)
1990s,sedentary,Grass/Shrubland,Migration,35,0.183048628332581,0.622,No supported effect,Sedentary (n = 35)
1990s,Tit-like birds,Temperature,Foraging guild,12,0.5123488011099467,0.729,No supported effect,Tit-like birds (n = 12)
1990s,Tit-like birds,Precipitation,Foraging guild,12,-0.004996040045997582,0.277,No supported effect,Tit-like birds (n = 12)
1990s,Tit-like birds,Land-Use Heterogeneity,Foraging guild,12,0.5533143222565038,0.828,No supported effect,Tit-like birds (n = 12)
1990s,Tit-like birds,Urban,Foraging guild,12,-0.3329468922414717,0.377,No supported effect,Tit-like birds (n = 12)
1990s,Tit-like birds,Cropland,Foraging guild,12,0.3651265685258411,0.742,No supported effect,Tit-like birds (n = 12)
1990s,Tit-like birds,Pasture,Foraging guild,12,-0.1705862692318482,0.445,No supported effect,Tit-like birds (n = 12)
1990s,Tit-like birds,Forest,Foraging guild,12,1.385600029154058,0.906,No supported effect,Tit-like birds (n = 12)
1990s,Tit-like birds,Grass/Shrubland,Foraging guild,12,0.1552713682612062,0.543,No supported effect,Tit-like birds (n = 12)
1990s,Low flycatching feeders,Temperature,Foraging guild,9,0.4151979321405223,0.685,No supported effect,Low flycatching feeders (n = 9)
1990s,Low flycatching feeders,Precipitation,Foraging guild,9,8.64284170946764e-4,0.543,No supported effect,Low flycatching feeders (n = 9)
1990s,Low flycatching feeders,Land-Use Heterogeneity,Foraging guild,9,-0.4010648822842968,0.249,No supported effect,Low flycatching feeders (n = 9)
1990s,Low flycatching feeders,Urban,Foraging guild,9,-0.3367500406764858,0.366,No supported effect,Low flycatching feeders (n = 9)
1990s,Low flycatching feeders,Cropland,Foraging guild,9,0.104180553531686,0.571,No supported effect,Low flycatching feeders (n = 9)
1990s,Low flycatching feeders,Pasture,Foraging guild,9,0.4176926396042237,0.639,No supported effect,Low flycatching feeders (n = 9)
1990s,Low flycatching feeders,Forest,Foraging guild,9,1.253145746297752,0.882,No supported effect,Low flycatching feeders (n = 9)
1990s,Low flycatching feeders,Grass/Shrubland,Foraging guild,9,0.9229087347178753,0.779,No supported effect,Low flycatching feeders (n = 9)
1990s,Scolopacids,Temperature,Foraging guild,9,0.5070075568596468,0.654,No supported effect,Scolopacids (n = 9)
1990s,Scolopacids,Precipitation,Foraging guild,9,0.002644613726891433,0.586,No supported effect,Scolopacids (n = 9)
1990s,Scolopacids,Land-Use Heterogeneity,Foraging guild,9,-0.2144035362667157,0.397,No supported effect,Scolopacids (n = 9)
1990s,Scolopacids,Urban,Foraging guild,9,-1.862252009313628,0.088,No supported effect,Scolopacids (n = 9)
1990s,Scolopacids,Cropland,Foraging guild,9,0.2356881480698443,0.623,No supported effect,Scolopacids (n = 9)
1990s,Scolopacids,Pasture,Foraging guild,9,1.847927490470768,0.878,No supported effect,Scolopacids (n = 9)
1990s,Scolopacids,Forest,Foraging guild,9,0.3900713992961168,0.597,No supported effect,Scolopacids (n = 9)
1990s,Scolopacids,Grass/Shrubland,Foraging guild,9,1.3222506846483,0.756,No supported effect,Scolopacids (n = 9)
1990s,Dabbling ducks,Temperature,Foraging guild,7,0.4953105100653385,0.676,No supported effect,Dabbling ducks (n = 7)
1990s,Dabbling ducks,Precipitation,Foraging guild,7,-0.01108292997588733,0.187,No supported effect,Dabbling ducks (n = 7)
1990s,Dabbling ducks,Land-Use Heterogeneity,Foraging guild,7,-0.3517026150569605,0.338,No supported effect,Dabbling ducks (n = 7)
1990s,Dabbling ducks,Urban,Foraging guild,7,-1.045128803461342,0.198,No supported effect,Dabbling ducks (n = 7)
1990s,Dabbling ducks,Cropland,Foraging guild,7,-0.04268760977486509,0.495,No supported effect,Dabbling ducks (n = 7)
1990s,Dabbling ducks,Pasture,Foraging guild,7,2.362893329229343,0.942,No supported effect,Dabbling ducks (n = 7)
1990s,Dabbling ducks,Forest,Foraging guild,7,0.6337570615523681,0.684,No supported effect,Dabbling ducks (n = 7)
1990s,Dabbling ducks,Grass/Shrubland,Foraging guild,7,1.140472973666892,0.73,No supported effect,Dabbling ducks (n = 7)
1990s,Plovers,Temperature,Foraging guild,6,1.425955750191402,0.877,No supported effect,Plovers (n = 6)
1990s,Plovers,Precipitation,Foraging guild,6,-0.009446630746235116,0.207,No supported effect,Plovers (n = 6)
1990s,Plovers,Land-Use Heterogeneity,Foraging guild,6,1.114738985922485,0.919,No supported effect,Plovers (n = 6)
1990s,Plovers,Urban,Foraging guild,6,-1.988005202166679,0.069,No supported effect,Plovers (n = 6)
1990s,Plovers,Cropland,Foraging guild,6,-0.4957183920887518,0.257,No supported effect,Plovers (n = 6)
1990s,Plovers,Pasture,Foraging guild,6,-0.5718779142303093,0.34,No supported effect,Plovers (n = 6)
1990s,Plovers,Forest,Foraging guild,6,-2.013349655140446,0.069,No supported effect,Plovers (n = 6)
1990s,Plovers,Grass/Shrubland,Foraging guild,6,-1.613667759232112,0.192,No supported effect,Plovers (n = 6)
1990s,Diving ducks,Temperature,Foraging guild,3,-0.6082844222976334,0.321,No supported effect,Diving ducks (n = 3)
1990s,Diving ducks,Precipitation,Foraging guild,3,-0.01749739708096071,0.092,No supported effect,Diving ducks (n = 3)
1990s,Diving ducks,Land-Use Heterogeneity,Foraging guild,3,-0.3222213438864544,0.367,No supported effect,Diving ducks (n = 3)
1990s,Diving ducks,Urban,Foraging guild,3,-0.01121327253243442,0.489,No supported effect,Diving ducks (n = 3)
1990s,Diving ducks,Cropland,Foraging guild,3,-0.06891552525023208,0.471,No supported effect,Diving ducks (n = 3)
1990s,Diving ducks,Pasture,Foraging guild,3,1.678243103311271,0.852,No supported effect,Diving ducks (n = 3)
1990s,Diving ducks,Forest,Foraging guild,3,0.7853877675162999,0.701,No supported effect,Diving ducks (n = 3)
1990s,Diving ducks,Grass/Shrubland,Foraging guild,3,-0.2917088819436937,0.435,No supported effect,Diving ducks (n = 3)
1990s,Grazing waterfowl,Temperature,Foraging guild,2,0.2635193023275441,0.585,No supported effect,Grazing waterfowl (n = 2)
1990s,Grazing waterfowl,Precipitation,Foraging guild,2,-0.006740578878294814,0.312,No supported effect,Grazing waterfowl (n = 2)
1990s,Grazing waterfowl,Land-Use Heterogeneity,Foraging guild,2,-0.4384623729173793,0.318,No supported effect,Grazing waterfowl (n = 2)
1990s,Grazing waterfowl,Urban,Foraging guild,2,-0.6455727800708678,0.323,No supported effect,Grazing waterfowl (n = 2)
1990s,Grazing waterfowl,Cropland,Foraging guild,2,0.02384863546949047,0.516,No supported effect,Grazing waterfowl (n = 2)
1990s,Grazing waterfowl,Pasture,Foraging guild,2,2.853397661511734,0.955,Positive,Grazing waterfowl (n = 2)
1990s,Grazing waterfowl,Forest,Foraging guild,2,0.5528571129393395,0.629,No supported effect,Grazing waterfowl (n = 2)
1990s,Grazing waterfowl,Grass/Shrubland,Foraging guild,2,1.690452236630018,0.791,No supported effect,Grazing waterfowl (n = 2)
2010s,Species thermal index,Temperature,Species thermal index,157,0.09705313409645909,0.893,No supported effect,Species thermal index (n = 157)
2010s,Species thermal index,Precipitation,Species thermal index,157,0.001327818919865587,0.94,No supported effect,Species thermal index (n = 157)
2010s,Species thermal index,Land-Use Heterogeneity,Species thermal index,157,-0.1027150260194808,0.054,No supported effect,Species thermal index (n = 157)
2010s,Species thermal index,Urban,Species thermal index,157,0.1823440854119942,0.951,Positive,Species thermal index (n = 157)
2010s,Species thermal index,Cropland,Species thermal index,157,0.1998988285459866,0.999,Positive,Species thermal index (n = 157)
2010s,Species thermal index,Pasture,Species thermal index,157,0.09269861256322591,0.788,No supported effect,Species thermal index (n = 157)
2010s,Species thermal index,Forest,Species thermal index,157,0.07845404847101627,0.742,No supported effect,Species thermal index (n = 157)
2010s,Species thermal index,Grass/Shrubland,Species thermal index,157,0.01600166905613564,0.542,No supported effect,Species thermal index (n = 157)
2010s,short-and long-distance,Temperature,Migration,8,-1.009153712771548,0.026,Negative,Short- and Long-Distance (n = 8)
2010s,short-and long-distance,Precipitation,Migration,8,0.004098547109673656,0.757,No supported effect,Short- and Long-Distance (n = 8)
2010s,short-and long-distance,Land-Use Heterogeneity,Migration,8,0.4044616621136834,0.819,No supported effect,Short- and Long-Distance (n = 8)
2010s,short-and long-distance,Urban,Migration,8,0.622717982509692,0.815,No supported effect,Short- and Long-Distance (n = 8)
2010s,short-and long-distance,Cropland,Migration,8,-0.595608527054102,0.071,No supported effect,Short- and Long-Distance (n = 8)
2010s,short-and long-distance,Pasture,Migration,8,-0.1780409462027835,0.413,No supported effect,Short- and Long-Distance (n = 8)
2010s,short-and long-distance,Forest,Migration,8,-0.02610153004314564,0.483,No supported effect,Short- and Long-Distance (n = 8)
2010s,short-and long-distance,Grass/Shrubland,Migration,8,-0.310287178395353,0.382,No supported effect,Short- and Long-Distance (n = 8)
2010s,short-distance,Temperature,Migration,39,-0.5858907709953194,0.046,Negative,Short-Distance (n = 39)
2010s,short-distance,Precipitation,Migration,39,0.001892705795730748,0.711,No supported effect,Short-Distance (n = 39)
2010s,short-distance,Land-Use Heterogeneity,Migration,39,0.1939327906730194,0.745,No supported effect,Short-Distance (n = 39)
2010s,short-distance,Urban,Migration,39,-0.1480231059853504,0.389,No supported effect,Short-Distance (n = 39)
2010s,short-distance,Cropland,Migration,39,-0.4047670842563768,0.048,Negative,Short-Distance (n = 39)
2010s,short-distance,Pasture,Migration,39,0.08826980098724335,0.568,No supported effect,Short-Distance (n = 39)
2010s,short-distance,Forest,Migration,39,-0.07678514474268258,0.444,No supported effect,Short-Distance (n = 39)
2010s,short-distance,Grass/Shrubland,Migration,39,-0.743329163601653,0.145,No supported effect,Short-Distance (n = 39)
2010s,sedentary and short-distance,Temperature,Migration,31,-0.9060578262661426,0.007,Negative,Sedentary and Short-Distance (n = 31)
2010s,sedentary and short-distance,Precipitation,Migration,31,-4.768414214480123e-5,0.493,No supported effect,Sedentary and Short-Distance (n = 31)
2010s,sedentary and short-distance,Land-Use Heterogeneity,Migration,31,-0.05028407261312844,0.424,No supported effect,Sedentary and Short-Distance (n = 31)
2010s,sedentary and short-distance,Urban,Migration,31,0.9104701510995122,0.972,Positive,Sedentary and Short-Distance (n = 31)
2010s,sedentary and short-distance,Cropland,Migration,31,-0.1848834347486527,0.237,No supported effect,Sedentary and Short-Distance (n = 31)
2010s,sedentary and short-distance,Pasture,Migration,31,-0.5219023371953242,0.172,No supported effect,Sedentary and Short-Distance (n = 31)
2010s,sedentary and short-distance,Forest,Migration,31,0.4559113764143529,0.831,No supported effect,Sedentary and Short-Distance (n = 31)
2010s,sedentary and short-distance,Grass/Shrubland,Migration,31,-0.09074677293037424,0.451,No supported effect,Sedentary and Short-Distance (n = 31)
2010s,sedentary,Temperature,Migration,35,-1.174414968549333,0.004,Negative,Sedentary (n = 35)
2010s,sedentary,Precipitation,Migration,35,0.001575070251755315,0.628,No supported effect,Sedentary (n = 35)
2010s,sedentary,Land-Use Heterogeneity,Migration,35,0.1438140937497378,0.646,No supported effect,Sedentary (n = 35)
2010s,sedentary,Urban,Migration,35,1.261564026839197,0.989,Positive,Sedentary (n = 35)
2010s,sedentary,Cropland,Migration,35,0.2700949726448951,0.806,No supported effect,Sedentary (n = 35)
2010s,sedentary,Pasture,Migration,35,-1.048451613753377,0.053,No supported effect,Sedentary (n = 35)
2010s,sedentary,Forest,Migration,35,0.7686909431115614,0.908,No supported effect,Sedentary (n = 35)
2010s,sedentary,Grass/Shrubland,Migration,35,-0.08272973635564912,0.45,No supported effect,Sedentary (n = 35)
2010s,Tit-like birds,Temperature,Foraging guild,12,0.9326874737242236,0.88,No supported effect,Tit-like birds (n = 12)
2010s,Tit-like birds,Precipitation,Foraging guild,12,-0.002359897655890605,0.376,No supported effect,Tit-like birds (n = 12)
