pair_id,species_a,species_b,guild_a,guild_b,guild_1,guild_2,guild_pair,guild_pair_type,omega_mean_1970s,omega_mean_1990s,omega_mean_2010s,pr_positive_1970s,pr_positive_1990s,pr_positive_2010s,pr_negative_1970s,pr_negative_1990s,pr_negative_2010s,support_class_1970s,support_class_1990s,support_class_2010s,delta_1990s_minus_1970s,delta_2010s_minus_1970s,abs_delta_2010s_minus_1970s,raw_sign_flip_1970s_to_2010s,support_transition_1970s_to_2010s,newly_supported_2010s,lost_supported_2010s,supported_positive_to_negative_2010s,supported_negative_to_positive_2010s
Lanius_excubitor__Regulus_regulus,Lanius_excubitor,Regulus_regulus,Shrikes,Tit-like birds,Shrikes,Tit-like birds,Shrikes | Tit-like birds,Between guild,0.7968300446751031,-0.02982824151856483,-0.4338041322443985,0.999,0.487,0.121,0.001,0.513,0.879,Supported positive,Unsupported,Unsupported,-0.8266582861936679,-1.2306341769195015,1.2306341769195015,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Corvus_corone__Tyto_alba,Corvus_corone,Tyto_alba,Omnivorous corvids,Owls,Omnivorous corvids,Owls,Omnivorous corvids | Owls,Between guild,0.8470560503234599,0.3200155772734234,-0.3743216333597358,1,0.857,0.072,0,0.143,0.928,Supported positive,Unsupported,Unsupported,-0.5270404730500364,-1.2213776836831958,1.2213776836831958,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Tringa_glareola__Fulica_atra,Tringa_glareola,Fulica_atra,Scolopacids,Rails,Rails,Scolopacids,Rails | Scolopacids,Between guild,0.6704684916510706,0.2708333921309977,-0.5481022965403887,0.994,0.861,0.002,0.006,0.139,0.998,Supported positive,Unsupported,Supported negative,-0.39963509952007287,-1.2185707881914594,1.2185707881914594,TRUE,Supported positive -> Supported negative,FALSE,FALSE,TRUE,FALSE
Streptopelia_turtur__Podiceps_grisegena,Streptopelia_turtur,Podiceps_grisegena,Columbids,Aquatic pursuers,Aquatic pursuers,Columbids,Aquatic pursuers | Columbids,Between guild,0.4998133171379341,-0.583737876914352,-0.68942960228082,0.929,0.012,0.001,0.071,0.988,0.999,Unsupported,Supported negative,Supported negative,-1.0835511940522862,-1.1892429194187542,1.1892429194187542,TRUE,Unsupported -> Supported negative,TRUE,FALSE,FALSE,FALSE
Lanius_excubitor__Pica_pica,Lanius_excubitor,Pica_pica,Shrikes,Omnivorous corvids,Omnivorous corvids,Shrikes,Omnivorous corvids | Shrikes,Between guild,0.6905368795806933,0.1096274009904267,-0.4944884939472484,0.995,0.67,0.095,0.005,0.33,0.905,Supported positive,Unsupported,Unsupported,-0.5809094785902666,-1.1850253735279417,1.1850253735279417,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Lanius_excubitor__Muscicapa_striata,Lanius_excubitor,Muscicapa_striata,Shrikes,Flycatchers,Flycatchers,Shrikes,Flycatchers | Shrikes,Between guild,0.7202140812672961,0.1177983939184826,-0.4640750677079842,0.998,0.703,0.111,0.002,0.297,0.889,Supported positive,Unsupported,Unsupported,-0.6024156873488136,-1.1842891489752803,1.1842891489752803,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Carduelis_carduelis__Lanius_excubitor,Carduelis_carduelis,Lanius_excubitor,Passerine seedeaters,Shrikes,Passerine seedeaters,Shrikes,Passerine seedeaters | Shrikes,Between guild,0.5855105261680412,-0.03171053087648952,-0.5986543848973291,0.949,0.451,0.043,0.051,0.549,0.957,Unsupported,Unsupported,Supported negative,-0.6172210570445308,-1.1841649110653703,1.1841649110653703,TRUE,Unsupported -> Supported negative,TRUE,FALSE,FALSE,FALSE
Mergus_merganser__Tyto_alba,Mergus_merganser,Tyto_alba,Aquatic pursuers,Owls,Aquatic pursuers,Owls,Aquatic pursuers | Owls,Between guild,0.4673203968672586,-0.239177783949589,-0.7106797753841824,0.97,0.243,0.004,0.03,0.757,0.996,Supported positive,Unsupported,Supported negative,-0.7064981808168476,-1.178000172251441,1.178000172251441,TRUE,Supported positive -> Supported negative,FALSE,FALSE,TRUE,FALSE
Lanius_excubitor__Turdus_pilaris,Lanius_excubitor,Turdus_pilaris,Shrikes,Thrushes,Shrikes,Thrushes,Shrikes | Thrushes,Between guild,0.8035201978160421,0.2458625878619443,-0.372674851663668,0.999,0.722,0.133,0.001,0.278,0.867,Supported positive,Unsupported,Unsupported,-0.5576576099540979,-1.17619504947971,1.17619504947971,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Regulus_ignicapilla__Tyto_alba,Regulus_ignicapilla,Tyto_alba,Tit-like birds,Owls,Owls,Tit-like birds,Owls | Tit-like birds,Between guild,0.6026867325781791,0.4628674069520203,-0.5667357031944663,0.994,0.954,0.009,0.006,0.046,0.991,Supported positive,Supported positive,Supported negative,-0.13981932562615879,-1.1694224357726455,1.1694224357726455,TRUE,Supported positive -> Supported negative,FALSE,FALSE,TRUE,FALSE
Lanius_excubitor__Troglodytes_troglodytes,Lanius_excubitor,Troglodytes_troglodytes,Shrikes,Low flycatching feeders,Low flycatching feeders,Shrikes,Low flycatching feeders | Shrikes,Between guild,0.6363219723837364,-0.0897243180006566,-0.5288681134808341,0.988,0.381,0.074,0.012,0.619,0.926,Supported positive,Unsupported,Unsupported,-0.7260462903843931,-1.1651900858645705,1.1651900858645705,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Tringa_glareola__Gallinula_chloropus,Tringa_glareola,Gallinula_chloropus,Scolopacids,Rails,Rails,Scolopacids,Rails | Scolopacids,Between guild,0.6532715099452719,0.4419689152775274,-0.5092920531395244,0.998,0.975,0,0.002,0.025,1,Supported positive,Supported positive,Supported negative,-0.21130259466774454,-1.1625635630847964,1.1625635630847964,TRUE,Supported positive -> Supported negative,FALSE,FALSE,TRUE,FALSE
Lanius_excubitor__Prunella_modularis,Lanius_excubitor,Prunella_modularis,Shrikes,Low flycatching feeders,Low flycatching feeders,Shrikes,Low flycatching feeders | Shrikes,Between guild,0.5654535748871715,0.03199017306145994,-0.5894024001250405,0.968,0.556,0.055,0.032,0.444,0.945,Supported positive,Unsupported,Unsupported,-0.5334634018257116,-1.154855975012212,1.154855975012212,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Lanius_excubitor__Motacilla_alba,Lanius_excubitor,Motacilla_alba,Shrikes,Open-land insectivores,Open-land insectivores,Shrikes,Open-land insectivores | Shrikes,Between guild,0.6466716545224811,0.02899727441487391,-0.4993796716276268,0.997,0.571,0.088,0.003,0.429,0.912,Supported positive,Unsupported,Unsupported,-0.6176743801076072,-1.146051326150108,1.146051326150108,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Columba_palumbus__Lanius_excubitor,Columba_palumbus,Lanius_excubitor,Columbids,Shrikes,Columbids,Shrikes,Columbids | Shrikes,Between guild,0.6994113956702567,9.776704045869112e-4,-0.446357512933971,0.999,0.521,0.13,0.001,0.479,0.87,Supported positive,Unsupported,Unsupported,-0.6984337252656697,-1.1457689086042278,1.1457689086042278,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Curruca_curruca__Lanius_excubitor,Curruca_curruca,Lanius_excubitor,Foliage gleaners,Shrikes,Foliage gleaners,Shrikes,Foliage gleaners | Shrikes,Between guild,0.6412346684122566,0.1581415983131812,-0.500617471094252,0.997,0.691,0.093,0.003,0.309,0.907,Supported positive,Unsupported,Unsupported,-0.48309307009907543,-1.1418521395065087,1.1418521395065087,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Scolopax_rusticola__Tyto_alba,Scolopax_rusticola,Tyto_alba,Scolopacids,Owls,Owls,Scolopacids,Owls | Scolopacids,Between guild,0.7486166479965508,-0.008663374344861221,-0.3918469534277997,1,0.489,0.124,0,0.511,0.876,Supported positive,Unsupported,Unsupported,-0.757280022341412,-1.1404636014243505,1.1404636014243505,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Corvus_cornix__Athene_noctua,Corvus_cornix,Athene_noctua,Omnivorous corvids,Owls,Omnivorous corvids,Owls,Omnivorous corvids | Owls,Between guild,0.8158974655036036,0.1809047225206533,-0.3202558890813256,1,0.932,0.137,0,0.068,0.863,Supported positive,Unsupported,Unsupported,-0.6349927429829504,-1.1361533545849292,1.1361533545849292,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Cyanistes_caeruleus__Lanius_excubitor,Cyanistes_caeruleus,Lanius_excubitor,Tit-like birds,Shrikes,Shrikes,Tit-like birds,Shrikes | Tit-like birds,Between guild,0.5453410439075019,-0.1355758132449677,-0.5882766204531761,0.948,0.309,0.055,0.052,0.691,0.945,Unsupported,Unsupported,Unsupported,-0.6809168571524696,-1.1336176643606781,1.1336176643606781,TRUE,Unsupported -> Unsupported,FALSE,FALSE,FALSE,FALSE
Accipiter_nisus__Athene_noctua,Accipiter_nisus,Athene_noctua,Diurnal raptors,Owls,Diurnal raptors,Owls,Diurnal raptors | Owls,Between guild,0.746803494215099,0.2436000213319293,-0.3838502043399241,1,0.995,0.082,0,0.005,0.918,Supported positive,Supported positive,Unsupported,-0.5032034728831697,-1.130653698555023,1.130653698555023,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Lanius_excubitor__Turdus_merula,Lanius_excubitor,Turdus_merula,Shrikes,Thrushes,Shrikes,Thrushes,Shrikes | Thrushes,Between guild,0.555299239577985,-0.1579461126896524,-0.5735679054604831,0.948,0.311,0.056,0.052,0.689,0.944,Unsupported,Unsupported,Unsupported,-0.7132453522676374,-1.128867145038468,1.128867145038468,TRUE,Unsupported -> Unsupported,FALSE,FALSE,FALSE,FALSE
Ficedula_parva__Tyto_alba,Ficedula_parva,Tyto_alba,Flycatchers,Owls,Flycatchers,Owls,Flycatchers | Owls,Between guild,0.6673321599458797,0.4378163006055878,-0.4609710154850336,0.988,0.917,0.139,0.012,0.083,0.861,Supported positive,Unsupported,Unsupported,-0.2295158593402919,-1.1283031754309132,1.1283031754309132,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Lanius_excubitor__Sylvia_borin,Lanius_excubitor,Sylvia_borin,Shrikes,Foliage gleaners,Foliage gleaners,Shrikes,Foliage gleaners | Shrikes,Between guild,0.5382376966266388,-0.1084306562859086,-0.5899870718803731,0.935,0.345,0.052,0.065,0.655,0.948,Unsupported,Unsupported,Unsupported,-0.6466683529125474,-1.128224768507012,1.128224768507012,TRUE,Unsupported -> Unsupported,FALSE,FALSE,FALSE,FALSE
Hippolais_icterina__Lanius_excubitor,Hippolais_icterina,Lanius_excubitor,Foliage gleaners,Shrikes,Foliage gleaners,Shrikes,Foliage gleaners | Shrikes,Between guild,0.6218347056069834,0.1500106690897518,-0.506173181509488,0.998,0.702,0.085,0.002,0.298,0.915,Supported positive,Unsupported,Unsupported,-0.4718240365172316,-1.1280078871164714,1.1280078871164714,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Circus_aeruginosus__Streptopelia_turtur,Circus_aeruginosus,Streptopelia_turtur,Diurnal raptors,Columbids,Columbids,Diurnal raptors,Columbids | Diurnal raptors,Between guild,0.5193587537729736,-0.6478702865402778,-0.6045621796348013,0.923,0.007,0.003,0.077,0.993,0.997,Unsupported,Supported negative,Supported negative,-1.1672290403132513,-1.1239209334077749,1.1239209334077749,TRUE,Unsupported -> Supported negative,TRUE,FALSE,FALSE,FALSE
Gallinula_chloropus__Lanius_excubitor,Gallinula_chloropus,Lanius_excubitor,Rails,Shrikes,Rails,Shrikes,Rails | Shrikes,Between guild,0.5252745834792186,-0.1550023801242928,-0.5984053333643704,0.986,0.267,0.046,0.014,0.733,0.954,Supported positive,Unsupported,Supported negative,-0.6802769636035114,-1.1236799168435891,1.1236799168435891,TRUE,Supported positive -> Supported negative,FALSE,FALSE,TRUE,FALSE
Certhia_brachydactyla__Tyto_alba,Certhia_brachydactyla,Tyto_alba,Tit-like birds,Owls,Owls,Tit-like birds,Owls | Tit-like birds,Between guild,0.7065815360789294,-0.4690446153487084,-0.4121575215297991,0.997,0.037,0.037,0.003,0.963,0.963,Supported positive,Supported negative,Supported negative,-1.1756261514276378,-1.1187390576087286,1.1187390576087286,TRUE,Supported positive -> Supported negative,FALSE,FALSE,TRUE,FALSE
Emberiza_citrinella__Lanius_excubitor,Emberiza_citrinella,Lanius_excubitor,Buntings,Shrikes,Buntings,Shrikes,Buntings | Shrikes,Between guild,0.7105440192615008,0.06176998201275487,-0.4077550601785165,0.998,0.591,0.144,0.002,0.409,0.856,Supported positive,Unsupported,Unsupported,-0.6487740372487459,-1.1182990794400172,1.1182990794400172,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Lanius_excubitor__Parus_major,Lanius_excubitor,Parus_major,Shrikes,Tit-like birds,Shrikes,Tit-like birds,Shrikes | Tit-like birds,Between guild,0.6352836735793935,-0.2063961789449775,-0.4814195044680269,0.991,0.225,0.099,0.009,0.775,0.901,Supported positive,Unsupported,Unsupported,-0.841679852524371,-1.1167031780474204,1.1167031780474204,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Oriolus_oriolus__Tyto_alba,Oriolus_oriolus,Tyto_alba,Orioles,Owls,Orioles,Owls,Orioles | Owls,Between guild,0.817706284279239,0.119581609582639,-0.2983040992232997,1,0.671,0.167,0,0.329,0.833,Supported positive,Unsupported,Unsupported,-0.6981246746966,-1.1160103835025388,1.1160103835025388,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Calidris_pugnax__Asio_flammeus,Calidris_pugnax,Asio_flammeus,Scolopacids,Owls,Owls,Scolopacids,Owls | Scolopacids,Between guild,0.8233807454692034,0.6448620948295382,-0.2919692865804586,1,0.99,0.201,0,0.01,0.799,Supported positive,Supported positive,Unsupported,-0.1785186506396652,-1.1153500320496619,1.1153500320496619,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Dryobates_minor__Tyto_alba,Dryobates_minor,Tyto_alba,Woodpeckers,Owls,Owls,Woodpeckers,Owls | Woodpeckers,Between guild,0.7349159961899897,0.2425122506444523,-0.3772782306929368,0.995,0.826,0.169,0.005,0.174,0.831,Supported positive,Unsupported,Unsupported,-0.4924037455455374,-1.1121942268829266,1.1121942268829266,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Aythya_fuligula__Tringa_glareola,Aythya_fuligula,Tringa_glareola,Diving ducks,Scolopacids,Diving ducks,Scolopacids,Diving ducks | Scolopacids,Between guild,0.746457791732373,0.23918558964329,-0.3578130365675496,1,0.845,0.017,0,0.155,0.983,Supported positive,Unsupported,Supported negative,-0.507272202089083,-1.1042708282999225,1.1042708282999225,TRUE,Supported positive -> Supported negative,FALSE,FALSE,TRUE,FALSE
Ficedula_hypoleuca__Tyto_alba,Ficedula_hypoleuca,Tyto_alba,Flycatchers,Owls,Flycatchers,Owls,Flycatchers | Owls,Between guild,0.8913275609596799,0.1380644807950359,-0.2116717203290467,1,0.711,0.198,0,0.289,0.802,Supported positive,Unsupported,Unsupported,-0.753263080164644,-1.1029992812887266,1.1029992812887266,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Streptopelia_turtur__Locustella_luscinioides,Streptopelia_turtur,Locustella_luscinioides,Columbids,Marsh warblers,Columbids,Marsh warblers,Columbids | Marsh warblers,Between guild,0.7147506545055745,-0.3575501929999598,-0.3873370468997407,0.985,0.091,0.053,0.015,0.909,0.947,Supported positive,Unsupported,Unsupported,-1.0723008475055344,-1.1020877014053152,1.1020877014053152,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Pernis_apivorus__Tyto_alba,Pernis_apivorus,Tyto_alba,Diurnal raptors,Owls,Diurnal raptors,Owls,Diurnal raptors | Owls,Between guild,0.7509189596570949,-0.1509688702847643,-0.3501002003107629,1,0.261,0.034,0,0.739,0.966,Supported positive,Unsupported,Supported negative,-0.9018878299418591,-1.1010191599678578,1.1010191599678578,TRUE,Supported positive -> Supported negative,FALSE,FALSE,TRUE,FALSE
Ficedula_hypoleuca__Lanius_excubitor,Ficedula_hypoleuca,Lanius_excubitor,Flycatchers,Shrikes,Flycatchers,Shrikes,Flycatchers | Shrikes,Between guild,0.5128346861722973,-0.3658182673253564,-0.5855573572581383,0.902,0.082,0.064,0.098,0.918,0.936,Unsupported,Unsupported,Unsupported,-0.8786529534976537,-1.0983920434304357,1.0983920434304357,TRUE,Unsupported -> Unsupported,FALSE,FALSE,FALSE,FALSE
Lanius_excubitor__Phylloscopus_trochilus,Lanius_excubitor,Phylloscopus_trochilus,Shrikes,Foliage gleaners,Foliage gleaners,Shrikes,Foliage gleaners | Shrikes,Between guild,0.5597113097879182,0.0368313900857485,-0.5386560950197227,0.981,0.552,0.076,0.019,0.448,0.924,Supported positive,Unsupported,Unsupported,-0.5228799197021696,-1.0983674048076408,1.0983674048076408,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Lanius_excubitor__Turdus_viscivorus,Lanius_excubitor,Turdus_viscivorus,Shrikes,Thrushes,Shrikes,Thrushes,Shrikes | Thrushes,Between guild,0.8329910488169509,0.3466523457212652,-0.2596618462087574,0.998,0.887,0.219,0.002,0.113,0.781,Supported positive,Unsupported,Unsupported,-0.48633870309568566,-1.0926528950257082,1.0926528950257082,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Turdus_pilaris__Picus_viridis,Turdus_pilaris,Picus_viridis,Thrushes,Woodpeckers,Thrushes,Woodpeckers,Thrushes | Woodpeckers,Between guild,0.727474425458633,-0.493780904684402,-0.3622697148748377,1,0,0.052,0,1,0.948,Supported positive,Supported negative,Unsupported,-1.221255330143035,-1.0897441403334707,1.0897441403334707,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Dryocopus_martius__Picus_viridis,Dryocopus_martius,Picus_viridis,Woodpeckers,Woodpeckers,Woodpeckers,Woodpeckers,Woodpeckers,Within guild,-0.4874790795185925,0.360788556830248,0.6016866582170846,0.036,0.906,1,0.964,0.094,0,Supported negative,Unsupported,Supported positive,0.8482676363488405,1.089165737735677,1.089165737735677,TRUE,Supported negative -> Supported positive,FALSE,FALSE,FALSE,TRUE
Streptopelia_turtur__Fulica_atra,Streptopelia_turtur,Fulica_atra,Columbids,Rails,Columbids,Rails,Columbids | Rails,Between guild,0.4789111042701882,-0.5082350459404376,-0.6089685651086277,0.989,0.017,0.001,0.011,0.983,0.999,Supported positive,Supported negative,Supported negative,-0.9871461502106258,-1.087879669378816,1.087879669378816,TRUE,Supported positive -> Supported negative,FALSE,FALSE,TRUE,FALSE
Falco_tinnunculus__Athene_noctua,Falco_tinnunculus,Athene_noctua,Diurnal raptors,Owls,Diurnal raptors,Owls,Diurnal raptors | Owls,Between guild,0.8573104515569068,0.08002773646881418,-0.2253750207545744,1,0.717,0.212,0,0.283,0.788,Supported positive,Unsupported,Unsupported,-0.7772827150880925,-1.0826854723114812,1.0826854723114812,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Garrulus_glandarius__Lanius_excubitor,Garrulus_glandarius,Lanius_excubitor,Omnivorous corvids,Shrikes,Omnivorous corvids,Shrikes,Omnivorous corvids | Shrikes,Between guild,0.6812029068086229,-0.09388842523943534,-0.3937645340681335,0.995,0.4,0.146,0.005,0.6,0.854,Supported positive,Unsupported,Unsupported,-0.7750913320480582,-1.0749674408767564,1.0749674408767564,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Streptopelia_turtur__Botaurus_stellaris,Streptopelia_turtur,Botaurus_stellaris,Columbids,Wading birds,Columbids,Wading birds,Columbids | Wading birds,Between guild,0.6655662619456701,-0.4320667807218538,-0.4085839028102566,0.988,0.05,0.033,0.012,0.95,0.967,Supported positive,Unsupported,Supported negative,-1.0976330426675238,-1.0741501647559266,1.0741501647559266,TRUE,Supported positive -> Supported negative,FALSE,FALSE,TRUE,FALSE
Scolopax_rusticola__Turdus_pilaris,Scolopax_rusticola,Turdus_pilaris,Scolopacids,Thrushes,Scolopacids,Thrushes,Scolopacids | Thrushes,Between guild,-0.1736773649813591,0.3087932790881918,0.8971483813053648,0.475,0.987,1,0.525,0.013,0,Unsupported,Supported positive,Supported positive,0.4824706440695509,1.070825746286724,1.070825746286724,TRUE,Unsupported -> Supported positive,TRUE,FALSE,FALSE,FALSE
Streptopelia_turtur__Podiceps_cristatus,Streptopelia_turtur,Podiceps_cristatus,Columbids,Aquatic pursuers,Aquatic pursuers,Columbids,Aquatic pursuers | Columbids,Between guild,0.4294623402427303,-0.5539687068344404,-0.6382798019615294,0.98,0.016,0.001,0.02,0.984,0.999,Supported positive,Supported negative,Supported negative,-0.9834310470771708,-1.0677421422042597,1.0677421422042597,TRUE,Supported positive -> Supported negative,FALSE,FALSE,TRUE,FALSE
Lanius_excubitor__Loxia_curvirostra,Lanius_excubitor,Loxia_curvirostra,Shrikes,Passerine seedeaters,Passerine seedeaters,Shrikes,Passerine seedeaters | Shrikes,Between guild,0.8513573720495144,0.2305024272360415,-0.2139024364274161,0.999,0.822,0.263,0.001,0.178,0.737,Supported positive,Unsupported,Unsupported,-0.6208549448134729,-1.0652598084769305,1.0652598084769305,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Acanthis_flammea__Corvus_corax,Acanthis_flammea,Corvus_corax,Passerine seedeaters,Omnivorous corvids,Omnivorous corvids,Passerine seedeaters,Omnivorous corvids | Passerine seedeaters,Between guild,-0.5209172930123641,0.3341843769358238,0.5417082499205759,0.003,0.994,1,0.997,0.006,0,Supported negative,Supported positive,Supported positive,0.8551016699481879,1.06262554293294,1.06262554293294,TRUE,Supported negative -> Supported positive,FALSE,FALSE,FALSE,TRUE
