trait_family,trait_value,variable_clean,mean_vp,median_vp,total_mean_vp,relative_vp,n_species,eligible_for_main_plot
Foraging guild,Dabbling ducks,Temperature,0.019257526732467854,0.013369936700657482,0.085620206359116,0.22491801353171464,7,TRUE
Foraging guild,Dabbling ducks,Precipitation,0.011530822691353578,0.008784566612855252,0.085620206359116,0.13467408199169667,7,TRUE
Foraging guild,Dabbling ducks,Land-use heterogeneity,0.009449132524094064,0.00716881264852688,0.085620206359116,0.11036101086303925,7,TRUE
Foraging guild,Dabbling ducks,Urban,0.010670709531697792,0.004645664202474063,0.085620206359116,0.12462840240003321,7,TRUE
Foraging guild,Dabbling ducks,Cropland,0.009818852536364683,0.0048937049429997204,0.085620206359116,0.11467915056384663,7,TRUE
Foraging guild,Dabbling ducks,Pasture,0.012465467948340149,0.005311595173620287,0.085620206359116,0.14559025816939003,7,TRUE
Foraging guild,Dabbling ducks,Forest,0.007042385163150501,0.0052370114401631505,0.085620206359116,0.08225143879720043,7,TRUE
Foraging guild,Dabbling ducks,Grass/Shrubland,0.005385309231647388,0.004218452603791004,0.085620206359116,0.06289764368307918,7,TRUE
Foraging guild,Dippers,Temperature,0.0026586337263982385,0.0026586337263982385,0.016696070255495153,0.15923709505973158,1,FALSE
Foraging guild,Dippers,Precipitation,8.659806823926345e-4,8.659806823926345e-4,0.016696070255495153,0.051867335794637995,1,FALSE
Foraging guild,Dippers,Land-use heterogeneity,0.002664324101323922,0.002664324101323922,0.016696070255495153,0.15957791627326298,1,FALSE
Foraging guild,Dippers,Urban,0.0022917420979898526,0.0022917420979898526,0.016696070255495153,0.13726236550996632,1,FALSE
Foraging guild,Dippers,Cropland,0.003918895814227221,0.003918895814227221,0.016696070255495153,0.234719652843902,1,FALSE
Foraging guild,Dippers,Pasture,0.0010106525051267487,0.0010106525051267487,0.016696070255495153,0.06053235819333679,1,FALSE
Foraging guild,Dippers,Forest,0.0015584165890661764,0.0015584165890661764,0.016696070255495153,0.09334032291540323,1,FALSE
Foraging guild,Dippers,Grass/Shrubland,0.0017274247389703606,0.0017274247389703606,0.016696070255495153,0.10346295340975915,1,FALSE
Foraging guild,Diurnal raptors,Temperature,0.022502478908660743,0.003566587327834875,0.10191696909469633,0.22079226951649755,7,TRUE
Foraging guild,Diurnal raptors,Precipitation,0.011147785799855887,0.0019866775798705856,0.10191696909469633,0.1093810569415374,7,TRUE
Foraging guild,Diurnal raptors,Land-use heterogeneity,0.006013030969055086,0.005193310425799187,0.10191696909469633,0.05899931113010305,7,TRUE
Foraging guild,Diurnal raptors,Urban,0.006749017525792163,0.0022554584894251906,0.10191696909469633,0.06622074406001321,7,TRUE
Foraging guild,Diurnal raptors,Cropland,0.012124184959109174,0.008637307517020446,0.10191696909469633,0.11896139638771995,7,TRUE
Foraging guild,Diurnal raptors,Pasture,0.0031163967988074226,0.002431005675006156,0.10191696909469633,0.030577800993196895,7,TRUE
Foraging guild,Diurnal raptors,Forest,0.03727422350497109,0.01680961236160609,0.10191696909469633,0.3657312794529602,7,TRUE
Foraging guild,Diurnal raptors,Grass/Shrubland,0.0029898506284447624,0.0025127133201841598,0.10191696909469633,0.029336141517971728,7,TRUE
Foraging guild,Diving ducks,Temperature,0.0036907100765775644,0.0020174669735362584,0.10801690607760142,0.03416789288452761,3,FALSE
Foraging guild,Diving ducks,Precipitation,0.03411707453230764,0.020704202074914545,0.10801690607760142,0.31584939590657485,3,FALSE
Foraging guild,Diving ducks,Land-use heterogeneity,0.011919075604070392,0.0027237640546948685,0.10801690607760142,0.11034453806247237,3,FALSE
Foraging guild,Diving ducks,Urban,0.010725686616628498,0.009814270644775205,0.10801690607760142,0.09929636948611506,3,FALSE
Foraging guild,Diving ducks,Cropland,0.016257464927026587,0.007569401817869995,0.10801690607760142,0.15050852239136447,3,FALSE
Foraging guild,Diving ducks,Pasture,0.0053051725310490775,0.006144964419022994,0.10801690607760142,0.04911427964098268,3,FALSE
Foraging guild,Diving ducks,Forest,0.019146794287696643,0.010664889076570172,0.10801690607760142,0.17725738482030967,3,FALSE
Foraging guild,Diving ducks,Grass/Shrubland,0.006854927502245015,0.003327277148264917,0.10801690607760142,0.06346161680765328,3,FALSE
Foraging guild,Flycatchers,Temperature,0.0057682536658189235,0.0035330079919871768,0.05623468128362867,0.10257466627623987,3,FALSE
Foraging guild,Flycatchers,Precipitation,0.010686279925474277,0.004402030709681882,0.05623468128362867,0.19003006119259933,3,FALSE
Foraging guild,Flycatchers,Land-use heterogeneity,0.002578021844588976,0.0019921233386888822,0.05623468128362867,0.0458439842770035,3,FALSE
Foraging guild,Flycatchers,Urban,0.00512587722999693,0.00518786463382566,0.05623468128362867,0.0911515298565265,3,FALSE
Foraging guild,Flycatchers,Cropland,0.00548934480916954,0.004795664350934401,0.05623468128362867,0.0976149359055339,3,FALSE
Foraging guild,Flycatchers,Pasture,0.0014428767985360756,0.001313057741257581,0.05623468128362867,0.02565813063398891,3,FALSE
Foraging guild,Flycatchers,Forest,0.02216153671546086,0.012467186421090036,0.05623468128362867,0.39409019860334193,3,FALSE
Foraging guild,Flycatchers,Grass/Shrubland,0.002982490294583081,0.0018356385588218604,0.05623468128362867,0.05303649325476588,3,FALSE
Foraging guild,Foliage gleaners,Temperature,0.003356470419915433,0.00202030764686528,0.05053824082525314,0.06641446882809303,9,TRUE
Foraging guild,Foliage gleaners,Precipitation,0.007235858261288536,0.004307354147251346,0.05053824082525314,0.14317590290307247,9,TRUE
Foraging guild,Foliage gleaners,Land-use heterogeneity,0.003431440899942951,0.0024328379570340334,0.05053824082525314,0.0678979094624187,9,TRUE
Foraging guild,Foliage gleaners,Urban,0.0053660144025210015,0.0037580648796649114,0.05053824082525314,0.10617730880414204,9,TRUE
Foraging guild,Foliage gleaners,Cropland,0.008940465321806956,0.006255973069513997,0.05053824082525314,0.17690495703482323,9,TRUE
Foraging guild,Foliage gleaners,Pasture,0.002595293806886035,0.002036673752098799,0.05053824082525314,0.05135306976473167,9,TRUE
Foraging guild,Foliage gleaners,Forest,0.017117014814691207,0.008131924517441389,0.05053824082525314,0.3386943141506839,9,TRUE
Foraging guild,Foliage gleaners,Grass/Shrubland,0.002495682898201028,0.0013557539390864016,0.05053824082525314,0.04938206905203506,9,TRUE
Foraging guild,Gallinaceous birds,Temperature,0.00393303060909607,9.69092200849801e-4,0.0407571950236089,0.09649905021230812,2,FALSE
Foraging guild,Gallinaceous birds,Precipitation,0.0035598719778496463,0.0030659047689926147,0.0407571950236089,0.08734339975524726,2,FALSE
Foraging guild,Gallinaceous birds,Land-use heterogeneity,0.00245598216658251,0.002199930309619296,0.0407571950236089,0.060258861414772644,2,FALSE
Foraging guild,Gallinaceous birds,Urban,9.958422338899539e-4,9.253875630988122e-4,0.0407571950236089,0.02443353212391346,2,FALSE
Foraging guild,Gallinaceous birds,Cropland,0.024972238865758993,0.022862662914622512,0.0407571950236089,0.6127074949906057,2,FALSE
Foraging guild,Gallinaceous birds,Pasture,0.00272270119002773,0.0016129267276405307,0.0407571950236089,0.06680295806545533,2,FALSE
Foraging guild,Gallinaceous birds,Forest,0.0011265092459557928,0.001160817958355354,0.0407571950236089,0.027639518502273135,2,FALSE
Foraging guild,Gallinaceous birds,Grass/Shrubland,9.91018734448203e-4,6.762568424167755e-4,0.0407571950236089,0.024315184935424238,2,FALSE
Foraging guild,Grazing waterfowl,Temperature,0.006528336118024397,0.0026591939461424684,0.05679865883306533,0.11493820896742596,2,FALSE
Foraging guild,Grazing waterfowl,Precipitation,0.009704614686551982,0.008158546217820853,0.05679865883306533,0.1708599267295101,2,FALSE
Foraging guild,Grazing waterfowl,Land-use heterogeneity,0.012330314348455343,0.010789646511545268,0.05679865883306533,0.21708812499772007,2,FALSE
Foraging guild,Grazing waterfowl,Urban,0.0036939460421126697,0.0014031935394174236,0.05679865883306533,0.06503579693614596,2,FALSE
Foraging guild,Grazing waterfowl,Cropland,0.00431814305049669,0.0037530128801643806,0.05679865883306533,0.07602544037506188,2,FALSE
Foraging guild,Grazing waterfowl,Pasture,0.011828413964498375,0.006428228135614097,0.05679865883306533,0.20825164198441365,2,FALSE
Foraging guild,Grazing waterfowl,Forest,0.0058274873444516566,0.0014550369936148797,0.05679865883306533,0.1025990307549161,2,FALSE
Foraging guild,Grazing waterfowl,Grass/Shrubland,0.0025674032784742157,0.0016519625930430685,0.05679865883306533,0.04520182925480632,2,FALSE
Foraging guild,Gulls,Temperature,0.004036021883940866,0.003105078185644247,0.11919879510828907,0.03385958625063486,5,TRUE
Foraging guild,Gulls,Precipitation,0.005631534587625778,0.0035431911485585338,0.11919879510828907,0.04724489524000366,5,TRUE
Foraging guild,Gulls,Land-use heterogeneity,0.01625556023605021,0.015258455866795773,0.11919879510828907,0.13637352811563613,5,TRUE
Foraging guild,Gulls,Urban,0.014365238228365964,0.015677789633356053,0.11919879510828907,0.12051496171010379,5,TRUE
Foraging guild,Gulls,Cropland,0.051814196814605654,0.05528918850163703,0.11919879510828907,0.4346872530677326,5,TRUE
Foraging guild,Gulls,Pasture,0.0026109431317371964,0.0010559784022365296,0.11919879510828907,0.021904106743404754,5,TRUE
Foraging guild,Gulls,Forest,0.019500812075550388,0.018008916386314106,0.11919879510828907,0.1635990704254552,5,TRUE
Foraging guild,Gulls,Grass/Shrubland,0.004984488150413015,0.0031597276975858304,0.11919879510828907,0.041816598447029056,5,TRUE
Foraging guild,Kingfishers,Temperature,0.0036530842638815815,0.0036530842638815815,0.08866863035013782,0.041199286032232066,1,FALSE
Foraging guild,Kingfishers,Precipitation,0.011056472373529424,0.011056472373529424,0.08866863035013782,0.12469429526394211,1,FALSE
Foraging guild,Kingfishers,Land-use heterogeneity,0.002485179110563012,0.002485179110563012,0.08866863035013782,0.028027715109046447,1,FALSE
Foraging guild,Kingfishers,Urban,0.01455642444740474,0.01455642444740474,0.08866863035013782,0.1641665647695675,1,FALSE
Foraging guild,Kingfishers,Cropland,0.014013673106737685,0.014013673106737685,0.08866863035013782,0.1580454446110197,1,FALSE
Foraging guild,Kingfishers,Pasture,0.004906450816143932,0.004906450816143932,0.08866863035013782,0.05533468597371094,1,FALSE
Foraging guild,Kingfishers,Forest,0.029596267916907615,0.029596267916907615,0.08866863035013782,0.33378510302952497,1,FALSE
Foraging guild,Kingfishers,Grass/Shrubland,0.008401078314969838,0.008401078314969838,0.08866863035013782,0.09474690521095637,1,FALSE
Foraging guild,Low flycatching feeders,Temperature,0.003816584828606819,0.002281717915627854,0.08048143990613096,0.04742192526697173,9,TRUE
Foraging guild,Low flycatching feeders,Precipitation,0.010634959989977457,0.0039756327697326975,0.08048143990613096,0.13214177085277645,9,TRUE
Foraging guild,Low flycatching feeders,Land-use heterogeneity,0.002249780014671326,0.0016665265352198897,0.08048143990613096,0.027954022906341428,9,TRUE
Foraging guild,Low flycatching feeders,Urban,0.014053932047603508,0.007724981288120744,0.08048143990613096,0.17462326797327715,9,TRUE
Foraging guild,Low flycatching feeders,Cropland,0.012576381494224836,0.008471743515369258,0.08048143990613096,0.15626436988320813,9,TRUE
Foraging guild,Low flycatching feeders,Pasture,0.003972562212887482,0.002574184524484956,0.08048143990613096,0.04935997936320294,9,TRUE
Foraging guild,Low flycatching feeders,Forest,0.027182083680004618,0.014290252844121425,0.08048143990613096,0.33774350597738156,9,TRUE
Foraging guild,Low flycatching feeders,Grass/Shrubland,0.005995155638154922,0.003030215090186403,0.08048143990613096,0.07449115777684066,9,TRUE
Foraging guild,Marsh warblers,Temperature,0.015972262421700224,0.013782422656746415,0.0653666777235626,0.24434869535893108,6,TRUE
Foraging guild,Marsh warblers,Precipitation,0.022570890936610875,0.017693279387527093,0.0653666777235626,0.34529659029121484,6,TRUE
Foraging guild,Marsh warblers,Land-use heterogeneity,0.0071373724372222344,0.0053829278061238335,0.0653666777235626,0.10918976894322778,6,TRUE
Foraging guild,Marsh warblers,Urban,0.00357162829279991,0.0018450840249672705,0.0653666777235626,0.05463989324812285,6,TRUE
Foraging guild,Marsh warblers,Cropland,0.006407509199790733,0.002890502071106682,0.0653666777235626,0.09802409152394524,6,TRUE
Foraging guild,Marsh warblers,Pasture,0.004377980129193383,0.0023394101713997357,0.0653666777235626,0.06697571731743773,6,TRUE
Foraging guild,Marsh warblers,Forest,0.002646724205519575,0.0023624544826383147,0.0653666777235626,0.040490419548514324,6,TRUE
Foraging guild,Marsh warblers,Grass/Shrubland,0.002682310100725667,0.00209103815097558,0.0653666777235626,0.04103482376860619,6,TRUE
Foraging guild,Nigthjars,Temperature,0.00446387714589536,0.00446387714589536,0.2029053477130955,0.021999800380851475,1,FALSE
Foraging guild,Nigthjars,Precipitation,0.011320918242366872,0.011320918242366872,0.2029053477130955,0.05579408512374177,1,FALSE
Foraging guild,Nigthjars,Land-use heterogeneity,0.015652408092176863,0.015652408092176863,0.2029053477130955,0.07714142711659372,1,FALSE
Foraging guild,Nigthjars,Urban,0.033505249914454124,0.033505249914454124,0.2029053477130955,0.1651274857567083,1,FALSE
Foraging guild,Nigthjars,Cropland,0.03369090681133955,0.03369090681133955,0.2029053477130955,0.16604247838247163,1,FALSE
Foraging guild,Nigthjars,Pasture,0.005661900695089172,0.005661900695089172,0.2029053477130955,0.027904147223832648,1,FALSE
Foraging guild,Nigthjars,Forest,0.09663129575022611,0.09663129575022611,0.2029053477130955,0.4762382896229084,1,FALSE
Foraging guild,Nigthjars,Grass/Shrubland,0.00197879106154746,0.00197879106154746,0.2029053477130955,0.009752286392892093,1,FALSE
Foraging guild,Omnivorous corvids,Temperature,0.02591742001322024,0.00827492069810451,0.11637586476571204,0.22270442471381163,7,TRUE
Foraging guild,Omnivorous corvids,Precipitation,0.02190931806440567,0.009282961423207977,0.11637586476571204,0.18826341792186482,7,TRUE
Foraging guild,Omnivorous corvids,Land-use heterogeneity,0.0036120370890274363,0.0018001297619994732,0.11637586476571204,0.031037682051164056,7,TRUE
Foraging guild,Omnivorous corvids,Urban,0.03432920942111027,0.013575517365029887,0.11637586476571204,0.29498564406135114,7,TRUE
Foraging guild,Omnivorous corvids,Cropland,0.014057293137581103,0.01075511976794477,0.11637586476571204,0.1207921691141136,7,TRUE
Foraging guild,Omnivorous corvids,Pasture,0.001953521905109361,0.0015045080242875337,0.11637586476571204,0.01678631483462823,7,TRUE
Foraging guild,Omnivorous corvids,Forest,0.013223100813608727,0.006597244691319084,0.11637586476571204,0.11362408210868706,7,TRUE
Foraging guild,Omnivorous corvids,Grass/Shrubland,0.0013739643216492423,0.0012769594511273879,0.11637586476571204,0.011806265194379505,7,TRUE
Foraging guild,Open-land insectivores,Temperature,0.016904263264090072,0.003749945204694267,0.08655629291701615,0.19529791184907427,6,TRUE
Foraging guild,Open-land insectivores,Precipitation,0.015559883677501652,0.010744358240560635,0.08655629291701615,0.17976605920980618,6,TRUE
Foraging guild,Open-land insectivores,Land-use heterogeneity,0.004639162515788563,0.0025817785835317154,0.08655629291701615,0.05359705642934886,6,TRUE
Foraging guild,Open-land insectivores,Urban,0.005498498426095363,0.002700041660340118,0.08655629291701615,0.06352511459065052,6,TRUE
Foraging guild,Open-land insectivores,Cropland,0.009406258147919913,0.006111822285788214,0.08655629291701615,0.10867214654095625,6,TRUE
Foraging guild,Open-land insectivores,Pasture,0.0036571419204396946,0.0012043036091653485,0.08655629291701615,0.04225160063111639,6,TRUE
Foraging guild,Open-land insectivores,Forest,0.028330813083563812,0.013656160004934921,0.08655629291701615,0.3273108416360359,6,TRUE
Foraging guild,Open-land insectivores,Grass/Shrubland,0.002560271881617074,0.0012228599972875346,0.08655629291701615,0.029579269113011522,6,TRUE
Foraging guild,Orioles,Temperature,0.02204893101662697,0.02204893101662697,0.05651844460448932,0.39011921101019825,1,FALSE
Foraging guild,Orioles,Precipitation,0.006776005121920831,0.006776005121920831,0.05651844460448932,0.11989015567110291,1,FALSE
Foraging guild,Orioles,Land-use heterogeneity,0.004930329812779691,0.004930329812779691,0.05651844460448932,0.08723399674710917,1,FALSE
Foraging guild,Orioles,Urban,0.0143703854294187,0.0143703854294187,0.05651844460448932,0.2542601009277818,1,FALSE
Foraging guild,Orioles,Cropland,0.0035038927562766847,0.0035038927562766847,0.05651844460448932,0.061995562347771455,1,FALSE
Foraging guild,Orioles,Pasture,0.0020152974182380745,0.0020152974182380745,0.05651844460448932,0.03565734040172077,1,FALSE
Foraging guild,Orioles,Forest,0.0016094751062827291,0.0016094751062827291,0.05651844460448932,0.028476988663535988,1,FALSE
Foraging guild,Orioles,Grass/Shrubland,0.0012641279429456385,0.0012641279429456385,0.05651844460448932,0.02236664423077962,1,FALSE
Foraging guild,Owls,Temperature,0.005978804321447741,0.0026808717391143353,0.05011114102457473,0.11931087976056479,5,TRUE
Foraging guild,Owls,Precipitation,0.00928067028282667,0.003201997622977223,0.05011114102457473,0.18520173544392826,5,TRUE
Foraging guild,Owls,Land-use heterogeneity,0.0031991408396885505,0.001883181890574005,0.05011114102457473,0.06384090991102512,5,TRUE
Foraging guild,Owls,Urban,0.005098393225080556,0.004155096738403989,0.05011114102457473,0.10174171094169022,5,TRUE
Foraging guild,Owls,Cropland,0.010360361280010298,0.011275515444344839,0.05011114102457473,0.20674766265907876,5,TRUE
Foraging guild,Owls,Pasture,0.001452345904381327,0.0011735850201179201,0.05011114102457473,0.028982495203393795,5,TRUE
Foraging guild,Owls,Forest,0.011852315412820419,0.008281336995859007,0.05011114102457473,0.23652056549676229,5,TRUE
Foraging guild,Owls,Grass/Shrubland,0.002889109758319162,0.0016447717679619676,0.05011114102457473,0.05765404058355665,5,TRUE
Foraging guild,Passerine seedeaters,Temperature,0.004055198329582484,0.002625967958484804,0.06216349957302011,0.06523439570545833,12,TRUE
Foraging guild,Passerine seedeaters,Precipitation,0.0056729111142931506,0.003158678963534978,0.06216349957302011,0.09125791104520246,12,TRUE
Foraging guild,Passerine seedeaters,Land-use heterogeneity,0.004584506972588205,0.0029799052032731476,0.06216349957302011,0.073749177637643007,12,TRUE
Foraging guild,Passerine seedeaters,Urban,0.010337198239740062,0.006636827461842305,0.06216349957302011,0.1662904809211636,12,TRUE
Foraging guild,Passerine seedeaters,Cropland,0.011506447145519507,0.009954726985210114,0.06216349957302011,0.18509973255291887,12,TRUE
Foraging guild,Passerine seedeaters,Pasture,0.0015553288392523088,0.0010487910405044113,0.06216349957302011,0.025019969112667927,12,TRUE
Foraging guild,Passerine seedeaters,Forest,0.022419818176321618,0.006843489908583345,0.06216349957302011,0.3606588806987333,12,TRUE
Foraging guild,Passerine seedeaters,Grass/Shrubland,0.002032090755722768,0.001161674250557924,0.06216349957302011,0.03268945232621244,12,TRUE
Foraging guild,Plovers,Temperature,0.03011595791175062,0.02362902189584009,0.17201188459352934,0.17508068109895883,6,TRUE
Foraging guild,Plovers,Precipitation,0.020771576600526247,0.02291228890578976,0.17201188459352934,0.12075663637783096,6,TRUE
Foraging guild,Plovers,Land-use heterogeneity,0.022983297884378674,0.020829095584514033,0.17201188459352934,0.13361459261195285,6,TRUE
Foraging guild,Plovers,Urban,0.01340689592672956,0.012237490854902666,0.17201188459352934,0.07794168384591894,6,TRUE
Foraging guild,Plovers,Cropland,0.04255841290315514,0.030788015751598112,0.17201188459352934,0.24741553761661467,6,TRUE
Foraging guild,Plovers,Pasture,0.0034710479852348,0.0019726124204764075,0.17201188459352934,0.020179117236213177,6,TRUE
Foraging guild,Plovers,Forest,0.029067271134337637,0.03453438279982342,0.17201188459352934,0.1689840862044196,6,TRUE
Foraging guild,Plovers,Grass/Shrubland,0.009637424247416662,0.006112670177042296,0.17201188459352934,0.05602766500809095,6,TRUE
Foraging guild,Rails,Temperature,0.00476411614381684,0.002110577917208812,0.04409851313214284,0.10803348696907282,5,TRUE
Foraging guild,Rails,Precipitation,0.01054576860088058,0.008976716123848223,0.04409851313214284,0.23914113769051107,5,TRUE
Foraging guild,Rails,Land-use heterogeneity,0.004735748896567156,0.0030526083506541074,0.04409851313214284,0.10739021704374269,5,TRUE
Foraging guild,Rails,Urban,0.006816344596766053,0.0031593810483646284,0.04409851313214284,0.15457084859846912,5,TRUE
Foraging guild,Rails,Cropland,0.007676961889059222,0.0060633720081395386,0.04409851313214284,0.17408663793391219,5,TRUE
Foraging guild,Rails,Pasture,0.004557303411825801,0.003285056112314677,0.04409851313214284,0.10334369773805462,5,TRUE
Foraging guild,Rails,Forest,0.003059040179401047,0.0029509614523106137,0.04409851313214284,0.06936832927301922,5,TRUE
Foraging guild,Rails,Grass/Shrubland,0.001943229413826137,0.0016952203037503498,0.04409851313214284,0.044065644753218274,5,TRUE
Foraging guild,Reedlings,Temperature,0.06224965567956793,0.06224965567956793,0.13627296085963583,0.4568012266474965,1,FALSE
Foraging guild,Reedlings,Precipitation,0.025187609815709333,0.025187609815709333,0.13627296085963583,0.1848320433989332,1,FALSE
Foraging guild,Reedlings,Land-use heterogeneity,0.015571564454085293,0.015571564454085293,0.13627296085963583,0.11426745522998029,1,FALSE
Foraging guild,Reedlings,Urban,0.0026633119249807723,0.0026633119249807723,0.13627296085963583,0.019543949938271632,1,FALSE
Foraging guild,Reedlings,Cropland,0.006375287660795923,0.006375287660795923,0.13627296085963583,0.046783218186347404,1,FALSE
Foraging guild,Reedlings,Pasture,0.010438875070685201,0.010438875070685201,0.13627296085963583,0.07660268775870713,1,FALSE
Foraging guild,Reedlings,Forest,0.010502717815718729,0.010502717815718729,0.13627296085963583,0.07707117941421086,1,FALSE
Foraging guild,Reedlings,Grass/Shrubland,0.0032839384380926443,0.0032839384380926443,0.13627296085963583,0.024098239426052933,1,FALSE
Foraging guild,Scolopacids,Temperature,0.033612788596812965,0.018128458854198004,0.167989275043907,0.20008889607998878,9,TRUE
Foraging guild,Scolopacids,Precipitation,0.023361222137222824,0.01500798644993959,0.167989275043907,0.13906377136943385,9,TRUE
Foraging guild,Scolopacids,Land-use heterogeneity,0.007940684645552662,0.00532559572669145,0.167989275043907,0.047268997639743494,9,TRUE
Foraging guild,Scolopacids,Urban,0.019463577728367872,0.016453492612897726,0.167989275043907,0.1158620258542143,9,TRUE
Foraging guild,Scolopacids,Cropland,0.026187429392889393,0.01569754109393131,0.167989275043907,0.15588750761645254,9,TRUE
Foraging guild,Scolopacids,Pasture,0.017777830860936223,0.011044948728663627,0.167989275043907,0.10582717769506218,9,TRUE
Foraging guild,Scolopacids,Forest,0.03279265246721067,0.019124269826964573,0.167989275043907,0.19520682173692175,9,TRUE
Foraging guild,Scolopacids,Grass/Shrubland,0.006853089214914407,0.004582884543677947,0.167989275043907,0.04079480200818314,9,TRUE
