trait_family,trait_value,n_species,n_sites,mean_probability_from,mean_probability_to,mean_probability_delta,median_probability_delta,q10_probability_delta,q25_probability_delta,q75_probability_delta,q90_probability_delta,sd_probability_delta,prop_sites_increase,mean_group_richness_delta,rank_by_change,direction,eligible_for_main_plot
Foraging guild,Gulls,5,1776,0.00909589034660692,0.006943565869413913,-0.0021523244771930084,-0.002464694363331829,-0.010321546525043744,-0.005996540239932854,2.8338751355990615e-4,0.006386898453888554,0.007459478149266129,0.2702702702702703,-0.035033865280013905,23,Decrease,TRUE
Foraging guild,Kingfishers,1,1776,0.0010460442623871978,0.002447285136723569,0.001401240874336371,0.0011935152158277069,-3.764063426375873e-5,3.7700522634056773e-4,0.0023958086665723565,0.0037383363969738575,0.0018622481776087389,0.8947072072072072,0.108689860544071,10,Increase,FALSE
Foraging guild,Low flycatching feeders,9,1776,0.09353642558801482,0.09216094134224238,-0.001375484245772444,-0.0032046670556617127,-0.019323111319765142,-0.011538815088365774,0.006988567655187555,0.018650665892735938,0.015897313823104414,0.40765765765765766,0.7297557067245244,20,Decrease,TRUE
Foraging guild,Marsh warblers,6,1776,0.0313244503348915,0.0314936871070101,1.6923677211860334e-4,-4.608923068742804e-4,-0.014164805839907146,-0.007953788476464394,0.007835006733487521,0.01523875957528938,0.01173011444912263,0.48704954954954954,0.2844689014185197,15,Increase,TRUE
Foraging guild,Nigthjars,1,1776,0.0014633098514169102,0.0019632541775794253,4.999443261625147e-4,-1.3513821377498147e-4,-0.0012584743398983572,-5.195028278519677e-4,2.400413803773488e-4,0.003967965754820602,0.002612284097669043,0.28885135135135137,0.04270781619448054,14,Increase,FALSE
Foraging guild,Omnivorous corvids,7,1776,0.05740669390921573,0.06591154654916813,0.008504852639952404,0.007753303691643433,-0.006313509384056306,4.098669480968667e-4,0.016300358466804946,0.024916281481806878,0.01281616434375531,0.7635135135135135,1.0767286581524886,4,Increase,TRUE
Foraging guild,Open-land insectivores,6,1776,0.05332376543648641,0.04900619807880781,-0.004317567357678604,-0.003903557085153761,-0.01306805368237278,-0.008380590871284887,3.2800294361332374e-4,0.004024949462401586,0.0073465438531933455,0.27533783783783783,0.2413868852849356,30,Decrease,TRUE
Foraging guild,Orioles,1,1776,0.0016669604868408446,1.6395796339225194e-4,-0.0015030025234485922,-5.194775733301186e-4,-0.004554343885886989,-0.0024607777846871815,-4.81203662293746e-5,-4.142302980853724e-6,0.0020155704716187115,0.06981981981981981,-0.08986914365170492,21,Decrease,FALSE
Foraging guild,Owls,5,1776,0.016002943747289125,0.014375129098101076,-0.0016278146491880503,-0.0012694126140160846,-0.009057973097492164,-0.0052303430103927346,0.0022282431089601044,0.005027488746684086,0.005596576930679483,0.40202702702702703,0.03019311566392987,22,Decrease,TRUE
Foraging guild,Passerine seedeaters,12,1776,0.08984290220886239,0.09949909298123633,0.00965619077237393,0.00926133090673268,-0.004767059240781968,0.0022145519576393935,0.016966268222579368,0.024167300144638873,0.011614695957552051,0.8096846846846847,1.4666525201487428,3,Increase,TRUE
Foraging guild,Plovers,6,1776,0.030732048182734915,0.0273505813230781,-0.0033814668596568137,-9.727765441880556e-4,-0.017912690751251098,-0.007873168556539098,0.003793858845651194,0.00773601637594782,0.011480832277377154,0.4543918918918919,0.11770480367652797,27,Decrease,TRUE
Foraging guild,Rails,5,1776,0.028748550065876656,0.02617470117577888,-0.0025738488900977777,-0.0018106792001209987,-0.014886371436093462,-0.0078786171022069,0.0031767078398527993,0.008270411081030032,0.009207482708653023,0.40427927927927926,0.13506550945976767,26,Decrease,TRUE
Foraging guild,Reedlings,1,1776,2.5800181933602036e-4,0.0011742071984415317,9.162053791055112e-4,1.5355498683235577e-4,-3.280985577352987e-5,1.2015929555219993e-6,0.0010855401863768053,0.003082050377628356,0.0017378374287880065,0.776463963963964,0.06749121253597547,12,Increase,FALSE
Foraging guild,Scolopacids,9,1776,0.02248938406314624,0.011864162952399603,-0.010625221110746636,-0.008853972197551779,-0.024734364228870202,-0.015733031561860435,-0.003271194557447619,0.001199684413694119,0.011717888545512397,0.12894144144144143,-0.46295947534825177,33,Decrease,TRUE
Foraging guild,Shrikes,2,1776,0.00466281456940741,0.005452515554322536,7.897009849151256e-4,4.616397837951716e-4,-0.0037841668648705236,-0.0016058471162263398,0.0031167380635462403,0.005795336288629274,0.0036605960079012295,0.5540540540540541,0.08643314786593373,13,Increase,FALSE
Foraging guild,Starlings,1,1776,0.018985961230082872,0.015224201737816214,-0.00376175949226666,-0.003281455563869263,-0.00887843535770582,-0.006091161129181967,-0.0010788930433931142,8.540345333722336e-4,0.004010857961472583,0.14752252252252251,-0.029801266656809617,28,Decrease,FALSE
Foraging guild,Terns,5,1776,0.004431251404341839,0.002025928314153767,-0.002405323090188073,-2.120672221369336e-4,-0.00876360328011433,-0.0017982252155983255,6.12122928248633e-5,6.488583933576459e-4,0.0061841138867764186,0.31756756756756754,-0.11365663001069747,25,Decrease,TRUE
Foraging guild,Thrushes,4,1776,0.042186089906577025,0.04195736352320178,-2.287263833752484e-4,3.547823085744972e-4,-0.009474797760769288,-0.004474497109115568,0.004573660980335639,0.00803799898545742,0.007100309396377848,0.5168918918918919,0.41161437083189695,17,Decrease,FALSE
Foraging guild,Tit-like birds,12,1776,0.09346901664221795,0.10449460428988605,0.011025587647668108,0.010355827622316682,-0.010004169991539968,-3.083845910962432e-4,0.022239954342672886,0.0335230740727903,0.01740920155764868,0.7398648648648649,1.5800197042845363,2,Increase,TRUE
Foraging guild,Wading birds,2,1776,0.001241647339780137,0.003808959002396978,0.0025673116626168404,0.0016860999239183413,3.4848555123642163e-4,8.318992824269237e-4,0.003518670212470898,0.006105009741706908,0.002751159325676329,0.9577702702702703,0.18125611567219033,9,Increase,FALSE
Foraging guild,Woodpeckers,5,1776,0.016634216623995838,0.020457023729883297,0.003822807105887462,0.0034906305461574107,-0.0036163476253256678,3.553828563772924e-5,0.007865498515320719,0.011343536071942776,0.006230782012952926,0.7545045045045045,0.3908263020391601,7,Increase,TRUE
Migratory strategy,long-distance,44,1776,0.26376446263607606,0.23482651150147135,-0.028937951134604706,-0.031379139799962694,-0.0631810136078505,-0.05009984275257062,-0.011582426717134713,0.009630588339962581,0.028920469123825114,0.15090090090090091,0.5671652216123929,5,Decrease,TRUE
Migratory strategy,sedentary,35,1776,0.2917093047687309,0.3004783038838875,0.008768999115156625,0.00914868120381726,-0.030951438653479324,-0.010136849858379107,0.028846977577536403,0.04879061301329117,0.031964532108813386,0.6238738738738738,3.37241676482371,3,Increase,TRUE
Migratory strategy,sedentary and short-distance,31,1776,0.22945932705319919,0.24015813495866983,0.010698807905470622,0.011365937124397402,-0.015626772134313044,-0.002648368228075959,0.02427551155319188,0.035401934669418156,0.019759113830989605,0.7184684684684685,2.9466181463599033,2,Increase,TRUE
Migratory strategy,short-and long-distance,8,1776,0.004929244386068023,0.015980309354046235,0.011051064967978213,0.011309237665158407,0.004368432996680894,0.007742864640686872,0.01458248382973474,0.01737660986073409,0.005534462869832597,0.9774774774774775,0.7501043221628971,1,Increase,TRUE
Migratory strategy,short-distance,39,1776,0.21013766115592583,0.20855674030192503,-0.0015809208540007798,-2.6680298550407766e-4,-0.024313235349582976,-0.011320708896147592,0.009742753236218538,0.01845322864689644,0.01778991450542737,0.49211711711711714,1.9417161205834124,4,Decrease,TRUE
