effect_scale,trait_family,trait_value,variable,variable_label,n_observations,n_species,signed_beta_slope,signed_beta_p_value,signed_beta_r_squared,beta_strength_slope,beta_strength_p_value,beta_strength_r_squared,mean_1970s,mean_2010s,mean_2010s_minus_1970s,significance,sig_label
Unscaled beta,Foraging guild,Aerial insectivores,perc_urban,Urban,12,4,-0.3565822156437155,0.4978574957322822,0.04714431646710474,-0.23489298201261397,0.6347821298337789,0.023436573437591163,1.760425105133748,1.0472606738463164,-0.7131644312874317,ns,
Unscaled beta,Foraging guild,Aerial insectivores,prec_breeding,Precipitation,12,4,0.0013403582541352797,0.559766994285178,0.03511469362847464,-0.0011941039451531198,0.5117548135725575,0.04423402516432743,-0.006274395570196046,-0.003593679061925488,0.002680716508270558,ns,
Unscaled beta,Foraging guild,Aerial insectivores,tmean_breeding,Temperature,12,4,-0.05975066758170242,0.5985669501976436,0.02871099054065498,-0.05996904625333697,0.40367543574567144,0.07066034650306842,0.24096694547497832,0.12146561031157337,-0.11950133516340496,ns,
Unscaled beta,Foraging guild,Aquatic pursuers,hh,"Habitat
heterogeneity",18,6,0.11841061467068346,0.7412543832957124,0.0070055767955824145,0.10978391875112528,0.7583934838108881,0.006082180394517969,0.9700121801238191,1.2068334094651858,0.23682122934136673,ns,
Unscaled beta,Foraging guild,Aquatic pursuers,perc_cropland,Cropland,18,6,-0.06097152936212461,0.8079057325302613,0.003804375389439246,-0.06485540664862628,0.7055648382451447,0.009162273965810727,-0.11898934747409876,-0.24093240619834785,-0.1219430587242491,ns,
Unscaled beta,Foraging guild,Aquatic pursuers,perc_forest,Forest,18,6,-0.22202812564248495,0.6851157666290515,0.010546183842381629,-0.024629101352207566,0.9283572945237408,5.211498627350105e-4,0.062187128658275435,-0.3818691226266936,-0.444056251284969,ns,
Unscaled beta,Foraging guild,Aquatic pursuers,perc_grass_shrub,"Grass/
shrubland",18,6,-0.804207208768651,0.1885698135365073,0.10545628510108693,-0.34989766791870286,0.3041105549692903,0.06582036178956535,0.8802543340887653,-0.7281600834485359,-1.6084144175373012,ns,
Unscaled beta,Foraging guild,Aquatic pursuers,perc_pasture,Pasture,18,6,0.14003530343347098,0.8206483198341812,0.003308761958033014,0.4816542878288077,0.07235963721298548,0.18785544939774837,0.22601630001969938,0.5060869068866419,0.2800706068669425,ns,
Unscaled beta,Foraging guild,Aquatic pursuers,perc_urban,Urban,18,6,0.04443579954945581,0.9461545514264449,2.9407404263248095e-4,0.2124060365732693,0.47582967957773126,0.03224903422098201,-0.25532353530570434,-0.1664519362067921,0.08887159909891224,ns,
Unscaled beta,Foraging guild,Aquatic pursuers,prec_breeding,Precipitation,18,6,0.0032870578175715533,0.28849768301684964,0.07005816362449883,-0.0019217772196337734,0.42344050085853624,0.040470750038135994,-0.009013551612228813,-0.002439435977085707,0.006574115635143106,ns,
Unscaled beta,Foraging guild,Aquatic pursuers,tmean_breeding,Temperature,18,6,0.2620304674267903,0.032272194224961796,0.2557316402823717,0.1388727327199845,0.15231057811450222,0.12372506877368283,-0.006556857009889547,0.517504077843691,0.5240609348535805,*,*
Unscaled beta,Foraging guild,Buntings,hh,"Habitat
heterogeneity",9,3,0.3434833010728455,0.08416475700666311,0.36632105696169015,0.3434833010728455,0.08416475700666311,0.36632105696169015,0.5101668600807919,1.1971334622264826,0.6869666021456907,.,.
Unscaled beta,Foraging guild,Buntings,perc_cropland,Cropland,9,3,0.11907588503665652,0.7493668696217479,0.015532945132228936,0.11907588503665652,0.7493668696217479,0.015532945132228936,1.0124832398220758,1.250635009895389,0.23815177007331312,ns,
Unscaled beta,Foraging guild,Buntings,perc_forest,Forest,9,3,-0.2774152363748978,0.5550931235607993,0.052005107353241445,-0.040114902851734136,0.9155162594296398,0.001724782882263124,1.0695324001985347,0.5147019274487394,-0.5548304727497952,ns,
Unscaled beta,Foraging guild,Buntings,perc_grass_shrub,"Grass/
shrubland",9,3,-0.2514763293315156,0.4034066675143049,0.10149423605074935,-0.2514763293315156,0.4034066675143049,0.10149423605074935,1.060820049025692,0.5578673903626611,-0.502952658663031,ns,
Unscaled beta,Foraging guild,Buntings,perc_pasture,Pasture,9,3,0.2688267268068328,0.519600639566792,0.061607010007201646,0.4489158943735232,0.11034143418440337,0.32301264924780154,-0.24547655648862152,0.2921768971250439,0.5376534536136655,ns,
Unscaled beta,Foraging guild,Buntings,perc_urban,Urban,9,3,-0.43290882296625055,0.06163534607502323,0.4137448017401817,-0.20677804272225764,0.23263760636935216,0.1960672297280219,0.6497438987316257,-0.21607374720087508,-0.8658176459325009,.,.
Unscaled beta,Foraging guild,Buntings,prec_breeding,Precipitation,9,3,0.004026791186269779,0.16012860680704358,0.26072145075040476,-0.004026791186269779,0.16012860680704358,0.26072145075040476,-0.019097323821633427,-0.011043741449093872,0.008053582372539555,ns,
Unscaled beta,Foraging guild,Buntings,tmean_breeding,Temperature,9,3,-0.027564185086165927,0.9518537207281026,5.590748075381521e-4,-0.02756418508616581,0.9417337012838655,8.191577971336071e-4,1.037080118416722,0.9819517482443902,-0.05512837017233174,ns,
Unscaled beta,Foraging guild,Columbids,hh,"Habitat
heterogeneity",12,4,0.28150157514112994,0.010875239774405382,0.49325969811034276,0.2765126109574164,0.011328397471637854,0.48940393535733195,0.02638196946540581,0.5893851197476658,0.56300315028226,*,*
Unscaled beta,Foraging guild,Columbids,perc_cropland,Cropland,12,4,0.23616331195203544,0.3467593757126417,0.08882622768930959,0.013321063626178442,0.9439701680296292,5.190850978177029e-4,0.0878079633016621,0.5601345872057334,0.4723266239040713,ns,
Unscaled beta,Foraging guild,Columbids,perc_forest,Forest,12,4,0.11136318952654178,0.7871209107660027,0.007636474956632177,0.005585430542332567,0.9880196416575288,2.3700957788076084e-5,1.1510236903592526,1.3737500694123361,0.22272637905308357,ns,
Unscaled beta,Foraging guild,Columbids,perc_grass_shrub,"Grass/
shrubland",12,4,-0.04617011218827873,0.8825423735103353,0.0022919981176904333,-0.05154113108782989,0.8530077356102463,0.0036021014227239725,0.09205477485730362,-2.8544951925355173e-4,-0.09234022437655717,ns,
Unscaled beta,Foraging guild,Columbids,perc_pasture,Pasture,12,4,-0.03818882093251766,0.8256028888882138,0.005090563405500012,0.08115589098749197,0.5341043746858667,0.039814845701525964,-0.15363833878061706,-0.2300159806456521,-0.07637764186503504,ns,
Unscaled beta,Foraging guild,Columbids,perc_urban,Urban,12,4,0.25896159306255906,0.6385873555991377,0.022919468537417446,0.08815243283828138,0.8609043138538566,0.0032222189933159844,0.8723328501703429,1.3902560362954621,0.5179231861251192,ns,
Unscaled beta,Foraging guild,Columbids,prec_breeding,Precipitation,12,4,0.004692523615578831,0.3161756728751245,0.10018317950882898,0.0011352947222724695,0.6920147427088237,0.016357991142174413,-0.007860006554755584,0.001525040676402082,0.009385047231157666,ns,
Unscaled beta,Foraging guild,Columbids,tmean_breeding,Temperature,12,4,-0.11391541235108185,0.822598024748493,0.005270010689020506,-0.07198549570059178,0.8851192556958192,0.0021919495293162995,0.9247136669145362,0.6968828422123726,-0.22783082470216354,ns,
Unscaled beta,Foraging guild,Cuckoos,hh,"Habitat
heterogeneity",3,1,0.23246696962615948,0.5065538654238215,0.4897059396298239,0.23246696962615948,0.5065538654238215,0.4897059396298239,0.0024796117554876304,0.4674135510078068,0.4649339392523192,ns,
Unscaled beta,Foraging guild,Cuckoos,perc_cropland,Cropland,3,1,0.385832843627967,0.08547579958354895,0.9820809559584599,0.385832843627967,0.08547579958354895,0.9820809559584599,0.30526643974917217,1.076932127005106,0.7716656872559338,.,.
Unscaled beta,Foraging guild,Cuckoos,perc_forest,Forest,3,1,0.5518462522558611,0.08549139730550902,0.9820744549493189,0.5518462522558611,0.08549139730550902,0.9820744549493189,0.3989608106395705,1.502653315151293,1.1036925045117225,.,.
Unscaled beta,Foraging guild,Cuckoos,perc_grass_shrub,"Grass/
shrubland",3,1,0.4554592738048409,0.6761299358431263,0.23723901659206345,0.4554592738048409,0.6761299358431263,0.23723901659206345,0.30685528874034873,1.217773836350031,0.9109185476096823,ns,
Unscaled beta,Foraging guild,Cuckoos,perc_pasture,Pasture,3,1,2.1061406930765494,0.282747214578911,0.8153751591328867,2.1061406930765494,0.282747214578911,0.8153751591328867,1.3741798089284765,5.586461195081574,4.212281386153098,ns,
Unscaled beta,Foraging guild,Cuckoos,perc_urban,Urban,3,1,0.47123516897337164,0.44562407985193037,0.5849986805592027,0.4712351689733716,0.27502584004699687,0.8246931586345477,0.06065090645198536,1.0031212443987283,0.942470337946743,ns,
Unscaled beta,Foraging guild,Cuckoos,prec_breeding,Precipitation,3,1,-0.002790888834634336,0.528482903071908,0.45531884301259795,0.002790888834634336,0.528482903071908,0.45531884301259795,-0.004012601629091298,-0.009594379298359969,-0.0055817776692686704,ns,
Unscaled beta,Foraging guild,Cuckoos,tmean_breeding,Temperature,3,1,0.5120295038310443,0.28071167301723315,0.8178498473737981,0.5120295038310443,0.28071167301723315,0.8178498473737981,0.7389078737818189,1.762966881443907,1.0240590076620881,ns,
Unscaled beta,Foraging guild,Dabbling ducks,hh,"Habitat
heterogeneity",21,7,0.17540435653487196,0.22318119510803916,0.0770328460109967,0.17694793903643488,0.21766108678355844,0.07882220133979535,0.4742040969919072,0.8250128100616512,0.350808713069744,ns,
Unscaled beta,Foraging guild,Dabbling ducks,perc_cropland,Cropland,21,7,0.007994797550759119,0.9582343363827337,1.481812387841199e-4,-0.0073275996276856575,0.9569602703162277,1.5736788975786545e-4,-0.4135091829480129,-0.3975195878464946,0.015989595101518317,ns,
Unscaled beta,Foraging guild,Dabbling ducks,perc_forest,Forest,21,7,0.2039641061796844,0.39842600448840637,0.037794297268421595,-0.10516817448406231,0.4718702569715938,0.027578612881051175,-0.41566125940459114,-0.00773304704522193,0.4079282123593692,ns,
Unscaled beta,Foraging guild,Dabbling ducks,perc_grass_shrub,"Grass/
shrubland",21,7,-1.331815661664576,6.957567551303541e-4,0.46235841592945465,0.35103240341205383,0.26067943507513297,0.06606720064609108,0.98173680526025,-1.6818945180689013,-2.6636313233291515,***,***
Unscaled beta,Foraging guild,Dabbling ducks,perc_pasture,Pasture,21,7,1.2784574577901289,3.953818098236306e-4,0.49202140040326076,1.075175988699645,3.02232839734264e-4,0.5055904758120362,0.341149754821741,2.898064670401999,2.556914915580258,***,***
Unscaled beta,Foraging guild,Dabbling ducks,perc_urban,Urban,21,7,0.22685482787299568,0.545245408781643,0.01957635543760213,-0.20318790623893226,0.4337223699725872,0.03256948656237368,-0.9181272990373541,-0.4644176432913619,0.4537096557459922,ns,
Unscaled beta,Foraging guild,Dabbling ducks,prec_breeding,Precipitation,21,7,0.0027596039694467145,0.21565381761001626,0.07948544595499746,-0.0024435318606913997,0.2423703646268332,0.07117916132031822,-0.012925232407702958,-0.007406024468809527,0.005519207938893431,ns,
Unscaled beta,Foraging guild,Dabbling ducks,tmean_breeding,Temperature,21,7,-0.02299496554536119,0.9327041305236925,3.8522491806288286e-4,0.001599414350751458,0.9951978396009116,1.9573476116152063e-6,1.2466297829037314,1.2006398518130088,-0.04598993109072258,ns,
Unscaled beta,Foraging guild,Dippers,hh,"Habitat
heterogeneity",3,1,1.1449383313623047,0.02008616454839917,0.9990048474258973,1.1449383313623047,0.02008616454839917,0.9990048474258973,0.09986530869727663,2.3897419714218855,2.289876662724609,*,*
Unscaled beta,Foraging guild,Dippers,perc_cropland,Cropland,3,1,0.48331224214869795,0.5117489450573998,0.4815489904664361,0.48331224214869795,0.5117489450573998,0.4815489904664361,0.43385194545655414,1.4004764297539494,0.9666244842973952,ns,
Unscaled beta,Foraging guild,Dippers,perc_forest,Forest,3,1,0.23290589562063754,0.09135180917974821,0.979550100330342,0.23290589562063754,0.09135180917974821,0.979550100330342,0.5489881782173796,1.0147999694586547,0.46581179124127514,.,.
Unscaled beta,Foraging guild,Dippers,perc_grass_shrub,"Grass/
shrubland",3,1,0.30307409923342193,0.7737359256525395,0.12108955801391535,-0.3030740992334221,0.5573793060797714,0.4103561329058874,-1.3248282015081432,-0.7186800030412991,0.6061481984668441,ns,
Unscaled beta,Foraging guild,Dippers,perc_pasture,Pasture,3,1,-0.08983237005074109,0.9119251306985258,0.019018277867360503,-0.08983237005074135,0.6121224273564211,0.32749802471756323,0.5370882532590674,0.3574235131575851,-0.1796647401014823,ns,
Unscaled beta,Foraging guild,Dippers,perc_urban,Urban,3,1,1.3594774994956547,0.07573176152089028,0.9859153423313192,1.10980858473916,0.01052120257110961,0.9997268941651719,-0.2496689147564941,2.4692860842348145,2.7189549989913084,.,.
Unscaled beta,Foraging guild,Dippers,prec_breeding,Precipitation,3,1,-0.0018607880396949432,0.03354265011719499,0.9972264718380794,-1.6997181973309509e-4,0.9001068181638168,0.02441991879731558,0.002030759859428038,-0.0016908162199618475,-0.003721576079389885,*,*
Unscaled beta,Foraging guild,Dippers,tmean_breeding,Temperature,3,1,0.08459857357831935,0.9474328844558122,0.00680269174890996,-0.08459857357831935,0.9474328844558122,0.00680269174890996,-1.3410535091689075,-1.17185636201227,0.16919714715663758,ns,
Unscaled beta,Foraging guild,Diurnal raptors,hh,"Habitat
heterogeneity",21,7,0.15163615178992326,0.20279516446765222,0.08390337458886034,0.1511242184927506,0.20388149799124083,0.08351833836131234,0.4060462515624634,0.7093185551423101,0.30327230357984675,ns,
Unscaled beta,Foraging guild,Diurnal raptors,perc_cropland,Cropland,21,7,0.18949282344022234,0.13179601771231092,0.11546228935588435,0.18949282344022234,0.13179601771231092,0.11546228935588435,0.41518409947304197,0.7941697463534867,0.3789856468804447,ns,
Unscaled beta,Foraging guild,Diurnal raptors,perc_forest,Forest,21,7,-0.43303188988436175,0.30160526928681,0.056021287014749586,-0.3643270027070669,0.36570665997011986,0.04324369993604671,2.1906571054435817,1.3245933256748579,-0.8660637797687238,ns,
Unscaled beta,Foraging guild,Diurnal raptors,perc_grass_shrub,"Grass/
shrubland",21,7,0.0061292733377575365,0.9787725994949121,3.825406464638982e-5,0.1258698988322751,0.5246137280765513,0.021635289968106618,0.8275831260924599,0.8398416727679748,0.012258546675514959,ns,
Unscaled beta,Foraging guild,Diurnal raptors,perc_pasture,Pasture,21,7,0.16344722504588788,0.4559702870403488,0.029582176289376146,0.16344722504588788,0.4559702870403488,0.029582176289376146,0.568006635203128,0.894901085294904,0.326894450091776,ns,
Unscaled beta,Foraging guild,Diurnal raptors,perc_urban,Urban,21,7,0.44149726937288225,0.10228749004882444,0.1342841422406904,-0.0116529359148811,0.9512910549244626,2.016059457529716e-4,-0.4840146608300622,0.3989798779157021,0.8829945387457643,ns,
Unscaled beta,Foraging guild,Diurnal raptors,prec_breeding,Precipitation,21,7,-0.005235900011602159,0.17274968859848075,0.09554504886476566,-0.0031062483403352967,0.3123058815392717,0.053663221470560483,0.010412135859382759,-5.9664163821556794e-5,-0.010471800023204315,ns,
Unscaled beta,Foraging guild,Diurnal raptors,tmean_breeding,Temperature,21,7,-0.2826857829966784,0.4983714073722719,0.024463901831338015,-0.2954468965705675,0.39942771239290975,0.03763713511350089,1.09943665420864,0.5340650882152838,-0.5653715659933563,ns,
Unscaled beta,Foraging guild,Diving ducks,hh,"Habitat
heterogeneity",9,3,0.11804224173611227,0.7820480321935854,0.011670936372871516,0.11804224173611227,0.7820480321935854,0.011670936372871516,0.8797353207273046,1.115819804199529,0.23608448347222444,ns,
Unscaled beta,Foraging guild,Diving ducks,perc_cropland,Cropland,9,3,-0.32943420004762347,0.5516600253905813,0.052888251005713524,-0.07366649104280965,0.8651622884457264,0.004413229066464905,0.040985896387536844,-0.61788250370771,-0.6588684000952468,ns,
Unscaled beta,Foraging guild,Diving ducks,perc_forest,Forest,9,3,-0.27554329727986887,0.7607117032968583,0.014125442170353011,0.13833149051789773,0.7908103192063424,0.010734638940115223,-0.2525348738624487,-0.8036214684221861,-0.5510865945597374,ns,
Unscaled beta,Foraging guild,Diving ducks,perc_grass_shrub,"Grass/
shrubland",9,3,-1.9772173793541459,0.08526668845948449,0.36428372571914924,-0.19725512661691175,0.8303205349777978,0.007019039866374824,2.261082619669426,-1.6933521390388644,-3.9544347587082904,.,.
Unscaled beta,Foraging guild,Diving ducks,perc_pasture,Pasture,9,3,-0.3191577238190618,0.6621326539579435,0.02886026514578787,0.5329122456901568,0.018296291238820057,0.572389783221325,1.0159536595110792,0.3776382118729559,-0.6383154476381233,ns,
Unscaled beta,Foraging guild,Diving ducks,perc_urban,Urban,9,3,0.27268329758112686,0.7467361842227558,0.015869621401261472,0.1104005503779549,0.7276179130391787,0.018434510815071883,-0.10338149334805917,0.44198510181419465,0.5453665951622538,ns,
Unscaled beta,Foraging guild,Diving ducks,prec_breeding,Precipitation,9,3,0.00740653540467937,0.34507281724626754,0.12771183047247023,-0.00740653540467937,0.34507281724626754,0.12771183047247023,-0.03506536076523062,-0.020252289955871885,0.014813070809358734,ns,
Unscaled beta,Foraging guild,Diving ducks,tmean_breeding,Temperature,9,3,0.2756413694743028,0.1959851274374301,0.22591553469443335,0.25548462850574993,0.2216696860363821,0.2044917511696582,0.18917193480291036,0.740454673751516,0.5512827389486056,ns,
Unscaled beta,Foraging guild,Flycatchers,hh,"Habitat
heterogeneity",9,3,0.09737220775202082,0.5386613849482599,0.05631916107100811,0.08716144324174217,0.5747798120539602,0.047120983775847766,0.05881181978095128,0.25355623528499277,0.19474441550404148,ns,
Unscaled beta,Foraging guild,Flycatchers,perc_cropland,Cropland,9,3,-0.05229563746813225,0.7993160754914922,0.009865138403220283,-0.08373276784089494,0.533165089014952,0.057812100942254294,-0.14363307042503512,-0.2482243453612997,-0.10459127493626458,ns,
Unscaled beta,Foraging guild,Flycatchers,perc_forest,Forest,9,3,0.08893512247663796,0.7147300731390438,0.020282537915836646,0.08893512247663796,0.7147300731390438,0.020282537915836646,1.124600229570458,1.3024704745237337,0.17787024495327564,ns,
Unscaled beta,Foraging guild,Flycatchers,perc_grass_shrub,"Grass/
shrubland",9,3,-0.4106611169869098,0.2292259960070665,0.19864516882224875,0.38468154575182373,0.14182445258065332,0.28132984347647594,-0.06616271889088499,-0.8874849528647046,-0.8213222339738196,ns,
Unscaled beta,Foraging guild,Flycatchers,perc_pasture,Pasture,9,3,0.03595966052017216,0.8817304254954792,0.0033895262946907487,-0.09100052872668392,0.6542623780513026,0.03029253188065205,0.014738373404762398,0.08665769444510679,0.07191932104034439,ns,
Unscaled beta,Foraging guild,Flycatchers,perc_urban,Urban,9,3,-0.4111071894598056,0.19749100006261794,0.22458747071846435,-0.15420736527702436,0.4346695015528307,0.08932179835296569,0.6590640742041243,-0.16315030471548683,-0.8222143789196111,ns,
Unscaled beta,Foraging guild,Flycatchers,prec_breeding,Precipitation,9,3,0.004930782980475266,0.17915987855948268,0.24144284141823025,-0.005151487499944181,0.1507056849584428,0.27105063203386515,-0.013351687808513897,-0.0034901218475633694,0.009861565960950528,ns,
Unscaled beta,Foraging guild,Flycatchers,tmean_breeding,Temperature,9,3,0.08505382902425968,0.753342545221755,0.015031516202364873,-0.10950289592126809,0.4301446858190645,0.09101111813369593,-0.2940737849660686,-0.12396612691754931,0.1701076580485193,ns,
Unscaled beta,Foraging guild,Foliage gleaners,hh,"Habitat
heterogeneity",27,9,0.0467611669050553,0.6529894335302269,0.008215336173825107,0.027113441392552687,0.7682211324606321,0.0035378491011141683,0.21054410452805378,0.3040664383381642,0.09352233381011044,ns,
Unscaled beta,Foraging guild,Foliage gleaners,perc_cropland,Cropland,27,9,0.010743506307527715,0.923102209640201,3.8015116161281695e-4,0.03919123766258315,0.710763908879606,0.005595925739969165,0.5706493372783157,0.5921363498933712,0.02148701261505548,ns,
Unscaled beta,Foraging guild,Foliage gleaners,perc_forest,Forest,27,9,0.0017778840180519375,0.994393993375917,2.014546827890369e-6,0.13177004488526378,0.555074881440693,0.014112650860756597,1.2994058033312659,1.3029615713673697,0.0035557680361038013,ns,
Unscaled beta,Foraging guild,Foliage gleaners,perc_grass_shrub,"Grass/
shrubland",27,9,0.16986383700174817,0.5356565926056334,0.015533574581640142,0.383452279892471,0.0798346902138021,0.11766422220134676,0.4714433915427301,0.8111710655462262,0.3397276740034961,ns,
Unscaled beta,Foraging guild,Foliage gleaners,perc_pasture,Pasture,27,9,0.5810904350082116,0.03418724804802917,0.16721447949276905,0.38632050100678456,0.05403800731481511,0.14051366873195323,-0.12194729148561985,1.040233578530803,1.162180870016423,*,*
Unscaled beta,Foraging guild,Foliage gleaners,perc_urban,Urban,27,9,-0.2699001817260306,0.11561837994885867,0.09607636475306426,-0.19262806677837202,0.21829041332386714,0.05996749546363028,1.1786379574647998,0.6388375940127388,-0.5398003634520611,ns,
Unscaled beta,Foraging guild,Foliage gleaners,prec_breeding,Precipitation,27,9,-0.0011501081886103614,0.41838343590037463,0.026367992902722848,1.5468532596151678e-4,0.8981769270654814,6.680026547425074e-4,-0.005537504210730588,-0.00783772058795131,-0.0023002163772207224,ns,
Unscaled beta,Foraging guild,Foliage gleaners,tmean_breeding,Temperature,27,9,0.09423609834880887,0.4213421733973737,0.026038869169660375,0.018418224931681094,0.8168308324568211,0.002186905666185104,-0.012061591152257327,0.17641060554536037,0.1884721966976177,ns,
Unscaled beta,Foraging guild,Gallinaceous birds,hh,"Habitat
heterogeneity",6,2,0.25058674404255743,0.2427492824307563,0.31914951770288286,0.25058674404255743,0.2427492824307563,0.31914951770288286,0.05890175997877356,0.5600752480638882,0.5011734880851146,ns,
Unscaled beta,Foraging guild,Gallinaceous birds,perc_cropland,Cropland,6,2,0.3333610436460963,0.1290444072554421,0.47646913706747046,0.3333610436460963,0.1290444072554421,0.47646913706747046,0.6111490721807099,1.2778711594729024,0.6667220872921925,ns,
Unscaled beta,Foraging guild,Gallinaceous birds,perc_forest,Forest,6,2,-0.07151819607991791,0.6533633362461018,0.055432697517160685,-0.17273551149681154,0.028122255218228143,0.7391853372148272,0.12392270266333896,-0.0191136894964965,-0.14303639215983546,ns,
Unscaled beta,Foraging guild,Gallinaceous birds,perc_grass_shrub,"Grass/
shrubland",6,2,-0.42486489694691565,0.23275370596411724,0.33039713286269917,-0.4084076156241383,0.24773189693698597,0.31368279545191113,1.0400414132222342,0.19031161932840307,-0.8497297938938311,ns,
Unscaled beta,Foraging guild,Gallinaceous birds,perc_pasture,Pasture,6,2,0.3383216496300163,0.3006574306025997,0.2607146022797096,0.3383216496300163,0.3006574306025997,0.2607146022797096,0.5433736450792056,1.2200169443392381,0.6766432992600325,ns,
Unscaled beta,Foraging guild,Gallinaceous birds,perc_urban,Urban,6,2,0.15646325007518322,0.2838516340857678,0.27659277487509315,0.11107093826309797,0.4092883944471778,0.1748786461957475,-0.042815146951270755,0.27011135319909557,0.3129265001503663,ns,
Unscaled beta,Foraging guild,Gallinaceous birds,prec_breeding,Precipitation,6,2,0.002350361996202113,0.4725873828353794,0.1356117272718982,7.557695869660491e-4,0.7036178273790827,0.04010623537797966,-0.00479566316606482,-9.493917366059897e-5,0.004700723992404222,ns,
Unscaled beta,Foraging guild,Gallinaceous birds,tmean_breeding,Temperature,6,2,0.1728437898263833,0.6052711004947675,0.07273329326622968,0.23776118990299894,0.2562843467282829,0.3045071256531515,0.07395689473266619,0.4196444743854327,0.3456875796527665,ns,
Unscaled beta,Foraging guild,Grazing waterfowl,hh,"Habitat
heterogeneity",6,2,-0.16260957138763663,0.488532931267177,0.12675017463950178,-0.16260957138763663,0.488532931267177,0.12675017463950178,1.0017647100639373,0.6765455672886648,-0.32521914277527253,ns,
Unscaled beta,Foraging guild,Grazing waterfowl,perc_cropland,Cropland,6,2,-0.20318157645553703,0.1124043379166406,0.5070744258925702,-0.039777603992835565,0.4130205422071193,0.1723695271056661,0.24295918044837247,-0.1634039724627014,-0.4063631529110739,ns,
Unscaled beta,Foraging guild,Grazing waterfowl,perc_forest,Forest,6,2,0.20778713933875542,0.5205200008460775,0.11011318261181573,0.20817746684750774,0.5101546446562538,0.11534253111973715,0.17972676461303747,0.5953010432905483,0.41557427867751084,ns,
Unscaled beta,Foraging guild,Grazing waterfowl,perc_grass_shrub,"Grass/
shrubland",6,2,0.060531563508301356,0.8641577111387132,0.00824666599301757,0.060531563508301356,0.8641577111387132,0.00824666599301757,0.6336181260422467,0.7546812530588496,0.12106312701660293,ns,
