effect_scale,trait_family,trait_value,variable,variable_label,atlas,atlas_numeric,period,n_species,mean_weighted_beta_value,median_weighted_beta_value,mean_abs_weighted_beta_value,median_abs_weighted_beta_value,supported_positive_share,supported_negative_share,unsupported_share
Unscaled beta,All species,All species,perc_grass_shrub,"Grass/
shrubland",2,2,1990s,157,0.3943124773500893,0.19973863750676923,0.9355142261365132,0.6061771765667542,0.2611464968152866,0.07643312101910828,0.6624203821656051
Unscaled beta,All species,All species,perc_grass_shrub,"Grass/
shrubland",3,3,2010s,157,0.06763570539724428,0.09901909448221768,1.1977419475796145,0.7871888478830275,0.21656050955414013,0.17834394904458598,0.6050955414012739
Unscaled beta,All species,All species,perc_pasture,Pasture,1,1,1970s,157,0.32611161333682487,0.1380106402130306,0.600208662821284,0.4054977836741555,0.21019108280254778,0.050955414012738856,0.7388535031847133
Unscaled beta,All species,All species,perc_pasture,Pasture,2,2,1990s,157,0.3066916905408575,0.12121091070791958,0.9976991555802254,0.8664456280656877,0.33121019108280253,0.1337579617834395,0.535031847133758
Unscaled beta,All species,All species,perc_pasture,Pasture,3,3,2010s,157,0.9762305012065039,0.788805001180197,1.2330352642145983,0.9406734377797195,0.46496815286624205,0.044585987261146494,0.49044585987261147
Unscaled beta,All species,All species,perc_urban,Urban,1,1,1970s,157,0.17174116535407194,0.10275383601144966,1.1409876245491104,0.9336555946012652,0.37579617834394907,0.21019108280254778,0.4140127388535032
Unscaled beta,All species,All species,perc_urban,Urban,2,2,1990s,157,0.27175341372358597,0.1976620544693393,1.1069055006140773,0.9390277894210471,0.39490445859872614,0.1910828025477707,0.4140127388535032
Unscaled beta,All species,All species,perc_urban,Urban,3,3,2010s,157,0.4273355636883132,0.13432402981602148,1.2417902061722272,1.107012833013218,0.45222929936305734,0.1910828025477707,0.35668789808917195
Unscaled beta,All species,All species,prec_breeding,Precipitation,1,1,1970s,157,-0.0060996796723616605,-0.005605337684520172,0.013377309779262084,0.011704857477967436,0.1337579617834395,0.42038216560509556,0.445859872611465
Unscaled beta,All species,All species,prec_breeding,Precipitation,2,2,1990s,157,-0.007080315514741802,-0.006449267458135115,0.008888729444744534,0.007824885325288283,0.05732484076433121,0.45222929936305734,0.49044585987261147
Unscaled beta,All species,All species,prec_breeding,Precipitation,3,3,2010s,157,-0.0051202349401912985,-0.004644316483538166,0.008237606521895272,0.006784022620913073,0.12101910828025478,0.43312101910828027,0.445859872611465
Unscaled beta,All species,All species,tmean_breeding,Temperature,1,1,1970s,157,0.5202591987967364,0.25048075679617127,0.8940946136646309,0.5841644208316099,0.42038216560509556,0.1464968152866242,0.43312101910828027
Unscaled beta,All species,All species,tmean_breeding,Temperature,2,2,1990s,157,0.4194835690267959,0.25878574656783476,0.8641473056171396,0.5854129254830454,0.3885350318471338,0.17834394904458598,0.43312101910828027
Unscaled beta,All species,All species,tmean_breeding,Temperature,3,3,2010s,157,0.5576255363819768,0.26057829758958484,0.7541825619103839,0.48569569538201746,0.36942675159235666,0.05732484076433121,0.5732484076433121
Unscaled beta,Foraging guild,Aerial insectivores,hh,"Habitat
heterogeneity",1,1,1970s,4,-0.20173074850916375,-0.3597427351469302,0.4532442145385385,0.4508128808484372,0.25,0.5,0.25
Unscaled beta,Foraging guild,Aerial insectivores,hh,"Habitat
heterogeneity",2,2,1990s,4,0.7088746712875257,0.7361586140136948,0.7088746712875257,0.7361586140136948,0.75,0,0.25
Unscaled beta,Foraging guild,Aerial insectivores,hh,"Habitat
heterogeneity",3,3,2010s,4,0.14749372821947893,0.13071790668891442,0.38332405225141597,0.36654823072085146,0.25,0.25,0.5
Unscaled beta,Foraging guild,Aerial insectivores,perc_cropland,Cropland,1,1,1970s,4,0.7130885323995427,0.6832118785892545,0.7130885323995427,0.6832118785892545,1,0,0
Unscaled beta,Foraging guild,Aerial insectivores,perc_cropland,Cropland,2,2,1990s,4,0.7935967408648876,0.7770542251516307,0.7935967408648876,0.7770542251516307,0.75,0,0.25
Unscaled beta,Foraging guild,Aerial insectivores,perc_cropland,Cropland,3,3,2010s,4,0.16777224134168664,0.3022324583413528,0.5062149728176324,0.5189342976004111,0.25,0.25,0.5
Unscaled beta,Foraging guild,Aerial insectivores,perc_forest,Forest,1,1,1970s,4,1.0438746626287658,1.0223168801853597,1.0438746626287658,1.0223168801853597,0.75,0,0.25
Unscaled beta,Foraging guild,Aerial insectivores,perc_forest,Forest,2,2,1990s,4,0.44450112712001755,0.5546818393994247,0.6197821561443546,0.5844448757746967,0.5,0,0.5
Unscaled beta,Foraging guild,Aerial insectivores,perc_forest,Forest,3,3,2010s,4,0.018798550395812547,0.020552204511899205,0.32076158133252136,0.32251523544860805,0.25,0.25,0.5
Unscaled beta,Foraging guild,Aerial insectivores,perc_grass_shrub,"Grass/
shrubland",1,1,1970s,4,1.2298514936736984,1.267780165478833,1.2298514936736984,1.267780165478833,0.75,0,0.25
Unscaled beta,Foraging guild,Aerial insectivores,perc_grass_shrub,"Grass/
shrubland",2,2,1990s,4,0.18387513512390602,0.18394522909709135,0.18387513512390602,0.18394522909709135,0,0,1
Unscaled beta,Foraging guild,Aerial insectivores,perc_grass_shrub,"Grass/
shrubland",3,3,2010s,4,0.8319024643714591,0.6109663088949225,0.8319024643714591,0.6109663088949225,0.25,0,0.75
Unscaled beta,Foraging guild,Aerial insectivores,perc_pasture,Pasture,1,1,1970s,4,-0.11685204399078625,0.10554859701407027,0.44899568052148087,0.3321436365306946,0,0.25,0.75
Unscaled beta,Foraging guild,Aerial insectivores,perc_pasture,Pasture,2,2,1990s,4,0.2827656203155173,0.48594872736119965,0.7189572675350557,0.9221403745807382,0.5,0.25,0.25
Unscaled beta,Foraging guild,Aerial insectivores,perc_pasture,Pasture,3,3,2010s,4,-0.4104678062282291,-0.04237487545770944,0.46882109311875286,0.0897007169578936,0,0.25,0.75
Unscaled beta,Foraging guild,Aerial insectivores,perc_urban,Urban,1,1,1970s,4,1.760425105133748,1.892746701986816,1.760425105133748,1.892746701986816,0.75,0,0.25
Unscaled beta,Foraging guild,Aerial insectivores,perc_urban,Urban,2,2,1990s,4,1.2966622674002448,0.8657891067106601,1.2966622674002448,0.8657891067106601,0.5,0,0.5
Unscaled beta,Foraging guild,Aerial insectivores,perc_urban,Urban,3,3,2010s,4,1.0472606738463164,0.8049324228429857,1.2906391411085192,1.032866898165071,0.5,0.25,0.25
Unscaled beta,Foraging guild,Aerial insectivores,prec_breeding,Precipitation,1,1,1970s,4,-0.006274395570196046,-0.005188649314021562,0.006629971278890286,0.005188649314021562,0,0.25,0.75
Unscaled beta,Foraging guild,Aerial insectivores,prec_breeding,Precipitation,2,2,1990s,4,-0.0023344562179838544,-0.00104953943931208,0.0053291143867980045,0.003659504026192381,0,0.25,0.75
Unscaled beta,Foraging guild,Aerial insectivores,prec_breeding,Precipitation,3,3,2010s,4,-0.003593679061925488,-0.003482588179408898,0.004241763388584049,0.003482588179408898,0,0.25,0.75
Unscaled beta,Foraging guild,Aerial insectivores,tmean_breeding,Temperature,1,1,1970s,4,0.24096694547497832,0.2403471163990179,0.24145748717647922,0.2403471163990179,0.25,0,0.75
Unscaled beta,Foraging guild,Aerial insectivores,tmean_breeding,Temperature,2,2,1990s,4,-0.11669218839488942,-0.20791465984191998,0.3449083018493745,0.43613077329640504,0.25,0.5,0.25
Unscaled beta,Foraging guild,Aerial insectivores,tmean_breeding,Temperature,3,3,2010s,4,0.12146561031157337,0.14268228546346934,0.12151939466980533,0.14268228546346934,0,0,1
Unscaled beta,Foraging guild,Aquatic pursuers,hh,"Habitat
heterogeneity",1,1,1970s,6,0.9700121801238191,0.5006079203504167,0.9872655719629354,0.5006079203504167,0.5,0,0.5
Unscaled beta,Foraging guild,Aquatic pursuers,hh,"Habitat
heterogeneity",2,2,1990s,6,1.258396037057953,0.6008170863523903,1.258396037057953,0.6008170863523903,0.6666666666666666,0,0.3333333333333333
Unscaled beta,Foraging guild,Aquatic pursuers,hh,"Habitat
heterogeneity",3,3,2010s,6,1.2068334094651858,0.7747561040097288,1.2068334094651858,0.7747561040097288,0.6666666666666666,0,0.3333333333333333
Unscaled beta,Foraging guild,Aquatic pursuers,perc_cropland,Cropland,1,1,1970s,6,-0.11898934747409876,0.2231013884826371,0.6995068095162644,0.6476748045806113,0.16666666666666666,0.3333333333333333,0.5
Unscaled beta,Foraging guild,Aquatic pursuers,perc_cropland,Cropland,2,2,1990s,6,-0.20209358622420912,0.0720134843179547,0.5812122380468144,0.38458056742466473,0.16666666666666666,0.16666666666666666,0.6666666666666666
Unscaled beta,Foraging guild,Aquatic pursuers,perc_cropland,Cropland,3,3,2010s,6,-0.24093240619834785,-0.004434837541237478,0.5697959962190118,0.48839844347723954,0.16666666666666666,0.3333333333333333,0.5
Unscaled beta,Foraging guild,Aquatic pursuers,perc_forest,Forest,1,1,1970s,6,0.062187128658275435,1.033953894643912,1.6135485983563598,1.479649695878041,0.6666666666666666,0.3333333333333333,0
Unscaled beta,Foraging guild,Aquatic pursuers,perc_forest,Forest,2,2,1990s,6,-0.01312983797239727,0.9316978425161866,1.4235872365943127,1.0186440831395265,0.6666666666666666,0.16666666666666666,0.16666666666666666
Unscaled beta,Foraging guild,Aquatic pursuers,perc_forest,Forest,3,3,2010s,6,-0.3818691226266936,0.4774102372810053,1.5642903956519447,1.2962216722568716,0.5,0.3333333333333333,0.16666666666666666
Unscaled beta,Foraging guild,Aquatic pursuers,perc_grass_shrub,"Grass/
shrubland",1,1,1970s,6,0.8802543340887653,1.8115349996663062,1.9129080346195002,1.9940014449090913,0.6666666666666666,0.16666666666666666,0.16666666666666666
Unscaled beta,Foraging guild,Aquatic pursuers,perc_grass_shrub,"Grass/
shrubland",2,2,1990s,6,-0.20479295218858842,0.6806135828246153,1.9375494544299283,1.918521170537395,0.3333333333333333,0.3333333333333333,0.3333333333333333
Unscaled beta,Foraging guild,Aquatic pursuers,perc_grass_shrub,"Grass/
shrubland",3,3,2010s,6,-0.7281600834485359,0.008041098913499809,1.2131126987820948,0.709728625112947,0,0.3333333333333333,0.6666666666666666
Unscaled beta,Foraging guild,Aquatic pursuers,perc_pasture,Pasture,1,1,1970s,6,0.22601630001969938,0.7707992958747887,1.134036086941222,1.0099083593390916,0.5,0.16666666666666666,0.3333333333333333
Unscaled beta,Foraging guild,Aquatic pursuers,perc_pasture,Pasture,2,2,1990s,6,-0.22899555745223443,0.9315549428930081,2.0981012852389136,1.8721036487870104,0.5,0.3333333333333333,0.16666666666666666
Unscaled beta,Foraging guild,Aquatic pursuers,perc_pasture,Pasture,3,3,2010s,6,0.5060869068866419,1.4277758230697284,2.0973446625988377,2.096358019448312,0.6666666666666666,0.3333333333333333,0
Unscaled beta,Foraging guild,Aquatic pursuers,perc_urban,Urban,1,1,1970s,6,-0.25532353530570434,0.8200400134741744,1.6599938900255828,1.2869655186056437,0.6666666666666666,0.3333333333333333,0
Unscaled beta,Foraging guild,Aquatic pursuers,perc_urban,Urban,2,2,1990s,6,-0.01582468015123547,1.2207883196167637,1.9194831720177394,1.6346994181829926,0.6666666666666666,0.3333333333333333,0
Unscaled beta,Foraging guild,Aquatic pursuers,perc_urban,Urban,3,3,2010s,6,-0.1664519362067921,1.1332626261401826,2.0848059631721214,1.7442684143078113,0.6666666666666666,0.3333333333333333,0
Unscaled beta,Foraging guild,Aquatic pursuers,prec_breeding,Precipitation,1,1,1970s,6,-0.009013551612228813,-0.004172102449241676,0.010913929131748611,0.006781876052669076,0,0.3333333333333333,0.6666666666666666
Unscaled beta,Foraging guild,Aquatic pursuers,prec_breeding,Precipitation,2,2,1990s,6,-0.001792371277532517,7.042608205040551e-5,0.005536999540398858,0.005292786686640814,0,0.3333333333333333,0.6666666666666666
Unscaled beta,Foraging guild,Aquatic pursuers,prec_breeding,Precipitation,3,3,2010s,6,-0.002439435977085707,-0.0038360745979583747,0.007070374692481068,0.007783117993612662,0.16666666666666666,0.5,0.3333333333333333
Unscaled beta,Foraging guild,Aquatic pursuers,tmean_breeding,Temperature,1,1,1970s,6,-0.006556857009889547,-0.10330222437491532,0.23975861240372204,0.21462895098543294,0.16666666666666666,0,0.8333333333333334
Unscaled beta,Foraging guild,Aquatic pursuers,tmean_breeding,Temperature,2,2,1990s,6,0.30672685832475616,0.19886656767029565,0.40215439486736926,0.3403048780319632,0.3333333333333333,0,0.6666666666666666
Unscaled beta,Foraging guild,Aquatic pursuers,tmean_breeding,Temperature,3,3,2010s,6,0.517504077843691,0.47109382300404784,0.517504077843691,0.47109382300404784,0.3333333333333333,0,0.6666666666666666
Unscaled beta,Foraging guild,Buntings,hh,"Habitat
heterogeneity",1,1,1970s,3,0.5101668600807919,0.39450337965656684,0.5101668600807919,0.39450337965656684,0.3333333333333333,0,0.6666666666666666
Unscaled beta,Foraging guild,Buntings,hh,"Habitat
heterogeneity",2,2,1990s,3,1.2272318064184944,1.1714124559334615,1.2272318064184944,1.1714124559334615,1,0,0
Unscaled beta,Foraging guild,Buntings,hh,"Habitat
heterogeneity",3,3,2010s,3,1.1971334622264826,1.432404201429532,1.1971334622264826,1.432404201429532,1,0,0
Unscaled beta,Foraging guild,Buntings,perc_cropland,Cropland,1,1,1970s,3,1.0124832398220758,1.509677512668576,1.0124832398220758,1.509677512668576,0.6666666666666666,0,0.3333333333333333
Unscaled beta,Foraging guild,Buntings,perc_cropland,Cropland,2,2,1990s,3,0.9935984236963084,1.110048480585283,0.9935984236963084,1.110048480585283,0.6666666666666666,0,0.3333333333333333
Unscaled beta,Foraging guild,Buntings,perc_cropland,Cropland,3,3,2010s,3,1.250635009895389,1.848337048076338,1.250635009895389,1.848337048076338,0.6666666666666666,0,0.3333333333333333
Unscaled beta,Foraging guild,Buntings,perc_forest,Forest,1,1,1970s,3,1.0695324001985347,1.1709473100186818,1.0695324001985347,1.1709473100186818,0.6666666666666666,0,0.3333333333333333
Unscaled beta,Foraging guild,Buntings,perc_forest,Forest,2,2,1990s,3,-0.02940045318426456,-0.04600281760692852,0.3283400429673144,0.4484093846745747,0,0.3333333333333333,0.6666666666666666
Unscaled beta,Foraging guild,Buntings,perc_forest,Forest,3,3,2010s,3,0.5147019274487394,-0.10498411013496953,0.9893025944950665,0.6069168904345211,0.3333333333333333,0.3333333333333333,0.3333333333333333
Unscaled beta,Foraging guild,Buntings,perc_grass_shrub,"Grass/
shrubland",1,1,1970s,3,1.060820049025692,1.0918161374242639,1.060820049025692,1.0918161374242639,0.6666666666666666,0,0.3333333333333333
Unscaled beta,Foraging guild,Buntings,perc_grass_shrub,"Grass/
shrubland",2,2,1990s,3,0.5699657237428657,0.05599075187574738,0.5699657237428657,0.05599075187574738,0.3333333333333333,0,0.6666666666666666
Unscaled beta,Foraging guild,Buntings,perc_grass_shrub,"Grass/
shrubland",3,3,2010s,3,0.5578673903626611,0.5185020983979592,0.5578673903626611,0.5185020983979592,0,0,1
Unscaled beta,Foraging guild,Buntings,perc_pasture,Pasture,1,1,1970s,3,-0.24547655648862152,-0.036121647657681576,0.24603279511484155,0.036121647657681576,0,0,1
Unscaled beta,Foraging guild,Buntings,perc_pasture,Pasture,2,2,1990s,3,0.23591041525814865,0.07719590070104365,0.4471598945143537,0.31687421888430745,0,0,1
Unscaled beta,Foraging guild,Buntings,perc_pasture,Pasture,3,3,2010s,3,0.2921768971250439,0.16346614348492047,1.1438645838618877,1.2775315301052657,0.3333333333333333,0.3333333333333333,0.3333333333333333
Unscaled beta,Foraging guild,Buntings,perc_urban,Urban,1,1,1970s,3,0.6497438987316257,0.719380100349223,0.6497438987316257,0.719380100349223,0.3333333333333333,0,0.6666666666666666
Unscaled beta,Foraging guild,Buntings,perc_urban,Urban,2,2,1990s,3,-0.12613638334857968,-0.04856107837270153,0.34040272767691804,0.3213995164925076,0,0,1
Unscaled beta,Foraging guild,Buntings,perc_urban,Urban,3,3,2010s,3,-0.21607374720087508,3.111897755087595e-4,0.23618781328711044,0.0298599093538443,0,0,1
Unscaled beta,Foraging guild,Buntings,prec_breeding,Precipitation,1,1,1970s,3,-0.019097323821633427,-0.01956391535813778,0.019097323821633427,0.01956391535813778,0,1,0
Unscaled beta,Foraging guild,Buntings,prec_breeding,Precipitation,2,2,1990s,3,-0.01274283875875934,-0.013497733260130016,0.01274283875875934,0.013497733260130016,0,1,0
Unscaled beta,Foraging guild,Buntings,prec_breeding,Precipitation,3,3,2010s,3,-0.011043741449093872,-0.01335983450672776,0.011043741449093872,0.01335983450672776,0,1,0
Unscaled beta,Foraging guild,Buntings,tmean_breeding,Temperature,1,1,1970s,3,1.037080118416722,1.2289677682930984,1.037080118416722,1.2289677682930984,0.6666666666666666,0,0.3333333333333333
Unscaled beta,Foraging guild,Buntings,tmean_breeding,Temperature,2,2,1990s,3,0.44447242162355455,0.4767244102322314,0.9233749415853384,0.7183537799426758,0.6666666666666666,0.3333333333333333,0
Unscaled beta,Foraging guild,Buntings,tmean_breeding,Temperature,3,3,2010s,3,0.9819517482443902,0.2992982337118165,0.9819517482443902,0.2992982337118165,0.3333333333333333,0,0.6666666666666666
Unscaled beta,Foraging guild,Columbids,hh,"Habitat
heterogeneity",1,1,1970s,4,0.02638196946540581,-0.0024386447947726732,0.03635989783283294,0.009590303458821652,0,0,1
Unscaled beta,Foraging guild,Columbids,hh,"Habitat
heterogeneity",2,2,1990s,4,0.7089828679686805,0.6816581693868533,0.7089828679686805,0.6816581693868533,0.5,0,0.5
Unscaled beta,Foraging guild,Columbids,hh,"Habitat
heterogeneity",3,3,2010s,4,0.5893851197476658,0.6023947844764865,0.5893851197476658,0.6023947844764865,0.25,0,0.75
Unscaled beta,Foraging guild,Columbids,perc_cropland,Cropland,1,1,1970s,4,0.0878079633016621,-0.07063983056679754,0.5334924599533761,0.44568449665171406,0.25,0,0.75
Unscaled beta,Foraging guild,Columbids,perc_cropland,Cropland,2,2,1990s,4,1.0545944659709172,1.283526396920289,1.0545944659709172,1.283526396920289,0.75,0,0.25
Unscaled beta,Foraging guild,Columbids,perc_cropland,Cropland,3,3,2010s,4,0.5601345872057334,0.5390105849220266,0.5601345872057334,0.5390105849220266,0.75,0,0.25
Unscaled beta,Foraging guild,Columbids,perc_forest,Forest,1,1,1970s,4,1.1510236903592526,0.9814918109094746,1.3625792083276704,0.9814918109094746,0.75,0,0.25
Unscaled beta,Foraging guild,Columbids,perc_forest,Forest,2,2,1990s,4,1.7333945210093824,2.0804100924096676,1.7333945210093824,2.0804100924096676,0.75,0,0.25
Unscaled beta,Foraging guild,Columbids,perc_forest,Forest,3,3,2010s,4,1.3737500694123361,1.6097297357634965,1.3737500694123361,1.6097297357634965,0.75,0,0.25
Unscaled beta,Foraging guild,Columbids,perc_grass_shrub,"Grass/
shrubland",1,1,1970s,4,0.09205477485730362,-0.0051842839816776225,0.23387023751417907,0.14181546265687545,0,0,1
Unscaled beta,Foraging guild,Columbids,perc_grass_shrub,"Grass/
shrubland",2,2,1990s,4,0.8688282337738409,0.7524530866741159,1.0769267020408584,0.9599332634613351,0.5,0,0.5
Unscaled beta,Foraging guild,Columbids,perc_grass_shrub,"Grass/
shrubland",3,3,2010s,4,-2.8544951925355173e-4,-0.025949617741724593,0.13078797533851957,0.13107342485777312,0,0,1
Unscaled beta,Foraging guild,Columbids,perc_pasture,Pasture,1,1,1970s,4,-0.15363833878061706,-0.17265214139523263,0.2749360428204003,0.29394984543501584,0,0,1
Unscaled beta,Foraging guild,Columbids,perc_pasture,Pasture,2,2,1990s,4,0.07945451228409275,0.05599390584484064,0.19276378905095826,0.15235735764511288,0,0,1
Unscaled beta,Foraging guild,Columbids,perc_pasture,Pasture,3,3,2010s,4,-0.2300159806456521,-0.010885797386241625,0.4372478247953841,0.21811764153597368,0,0.25,0.75
Unscaled beta,Foraging guild,Columbids,perc_urban,Urban,1,1,1970s,4,0.8723328501703429,0.49042889147603524,1.2139511706188988,0.832047211924591,0.5,0,0.5
Unscaled beta,Foraging guild,Columbids,perc_urban,Urban,2,2,1990s,4,2.083038374459604,2.330435609886907,2.083038374459604,2.330435609886907,0.75,0,0.25
Unscaled beta,Foraging guild,Columbids,perc_urban,Urban,3,3,2010s,4,1.3902560362954621,1.306327866916576,1.3902560362954621,1.306327866916576,0.75,0,0.25
Unscaled beta,Foraging guild,Columbids,prec_breeding,Precipitation,1,1,1970s,4,-0.007860006554755584,-0.006162989439133156,0.008040898834400158,0.006343881718777729,0,0.5,0.5
Unscaled beta,Foraging guild,Columbids,prec_breeding,Precipitation,2,2,1990s,4,-0.005070450197234634,-0.009416130965817148,0.012890161923828372,0.014128044778600017,0.25,0.75,0
Unscaled beta,Foraging guild,Columbids,prec_breeding,Precipitation,3,3,2010s,4,0.001525040676402082,-0.005196219196079127,0.010311488278945093,0.006324293147261878,0.25,0.5,0.25
Unscaled beta,Foraging guild,Columbids,tmean_breeding,Temperature,1,1,1970s,4,0.9247136669145362,0.7399669667656594,0.9314993260238378,0.7399669667656594,0.75,0,0.25
Unscaled beta,Foraging guild,Columbids,tmean_breeding,Temperature,2,2,1990s,4,1.1236629080505511,0.2922989334223005,1.1316360751695318,0.2922989334223005,0.5,0,0.5
Unscaled beta,Foraging guild,Columbids,tmean_breeding,Temperature,3,3,2010s,4,0.6968828422123726,0.0850984452154994,0.7875283346226543,0.13830643706858042,0.25,0,0.75
Unscaled beta,Foraging guild,Cuckoos,hh,"Habitat
heterogeneity",1,1,1970s,1,0.0024796117554876304,0.0024796117554876304,0.0024796117554876304,0.0024796117554876304,0,0,1
Unscaled beta,Foraging guild,Cuckoos,hh,"Habitat
heterogeneity",2,2,1990s,1,0.64596799875087,0.64596799875087,0.64596799875087,0.64596799875087,1,0,0
Unscaled beta,Foraging guild,Cuckoos,hh,"Habitat
heterogeneity",3,3,2010s,1,0.4674135510078068,0.4674135510078068,0.4674135510078068,0.4674135510078068,0,0,1
Unscaled beta,Foraging guild,Cuckoos,perc_cropland,Cropland,1,1,1970s,1,0.30526643974917217,0.30526643974917217,0.30526643974917217,0.30526643974917217,0,0,1
Unscaled beta,Foraging guild,Cuckoos,perc_cropland,Cropland,2,2,1990s,1,0.6008292517105839,0.6008292517105839,0.6008292517105839,0.6008292517105839,1,0,0
Unscaled beta,Foraging guild,Cuckoos,perc_cropland,Cropland,3,3,2010s,1,1.076932127005106,1.076932127005106,1.076932127005106,1.076932127005106,1,0,0
Unscaled beta,Foraging guild,Cuckoos,perc_forest,Forest,1,1,1970s,1,0.3989608106395705,0.3989608106395705,0.3989608106395705,0.3989608106395705,0,0,1
Unscaled beta,Foraging guild,Cuckoos,perc_forest,Forest,2,2,1990s,1,1.07994168692971,1.07994168692971,1.07994168692971,1.07994168692971,1,0,0
Unscaled beta,Foraging guild,Cuckoos,perc_forest,Forest,3,3,2010s,1,1.502653315151293,1.502653315151293,1.502653315151293,1.502653315151293,1,0,0
Unscaled beta,Foraging guild,Cuckoos,perc_grass_shrub,"Grass/
shrubland",1,1,1970s,1,0.30685528874034873,0.30685528874034873,0.30685528874034873,0.30685528874034873,0,0,1
Unscaled beta,Foraging guild,Cuckoos,perc_grass_shrub,"Grass/
shrubland",2,2,1990s,1,2.17684192937857,2.17684192937857,2.17684192937857,2.17684192937857,1,0,0
Unscaled beta,Foraging guild,Cuckoos,perc_grass_shrub,"Grass/
shrubland",3,3,2010s,1,1.217773836350031,1.217773836350031,1.217773836350031,1.217773836350031,1,0,0
Unscaled beta,Foraging guild,Cuckoos,perc_pasture,Pasture,1,1,1970s,1,1.3741798089284765,1.3741798089284765,1.3741798089284765,1.3741798089284765,1,0,0
Unscaled beta,Foraging guild,Cuckoos,perc_pasture,Pasture,2,2,1990s,1,1.7444619416551082,1.7444619416551082,1.7444619416551082,1.7444619416551082,1,0,0
Unscaled beta,Foraging guild,Cuckoos,perc_pasture,Pasture,3,3,2010s,1,5.586461195081574,5.586461195081574,5.586461195081574,5.586461195081574,1,0,0
Unscaled beta,Foraging guild,Cuckoos,perc_urban,Urban,1,1,1970s,1,0.06065090645198536,0.06065090645198536,0.06065090645198536,0.06065090645198536,0,0,1
Unscaled beta,Foraging guild,Cuckoos,perc_urban,Urban,2,2,1990s,1,-0.15557105017951525,-0.15557105017951525,0.15557105017951525,0.15557105017951525,0,0,1
Unscaled beta,Foraging guild,Cuckoos,perc_urban,Urban,3,3,2010s,1,1.0031212443987283,1.0031212443987283,1.0031212443987283,1.0031212443987283,1,0,0
Unscaled beta,Foraging guild,Cuckoos,prec_breeding,Precipitation,1,1,1970s,1,-0.004012601629091298,-0.004012601629091298,0.004012601629091298,0.004012601629091298,0,0,1
Unscaled beta,Foraging guild,Cuckoos,prec_breeding,Precipitation,2,2,1990s,1,-0.0015164025803566241,-0.0015164025803566241,0.0015164025803566241,0.0015164025803566241,0,0,1
Unscaled beta,Foraging guild,Cuckoos,prec_breeding,Precipitation,3,3,2010s,1,-0.009594379298359969,-0.009594379298359969,0.009594379298359969,0.009594379298359969,0,1,0
Unscaled beta,Foraging guild,Cuckoos,tmean_breeding,Temperature,1,1,1970s,1,0.7389078737818189,0.7389078737818189,0.7389078737818189,0.7389078737818189,1,0,0
Unscaled beta,Foraging guild,Cuckoos,tmean_breeding,Temperature,2,2,1990s,1,0.8324006301948824,0.8324006301948824,0.8324006301948824,0.8324006301948824,1,0,0
Unscaled beta,Foraging guild,Cuckoos,tmean_breeding,Temperature,3,3,2010s,1,1.762966881443907,1.762966881443907,1.762966881443907,1.762966881443907,1,0,0
