"","kvadratkod","survey","tmean_winter"
"BD09","BD09","BD09_2",1.09212293529126
"BD10","BD10","BD10_2",0.602675223568458
"BD11","BD11","BD11_2",0.58893528408434
"BD12","BD12","BD12_2",0.542752748607514
"BD13","BD13","BD13_2",0.576781614124063
"BD14","BD14","BD14_2",0.759694961585739
"BD16","BD16","BD16_2",0.853258383749928
"BD17","BD17","BD17_2",0.737588461467534
"BD18","BD18","BD18_2",0.927131560042832
"BD19","BD19","BD19_2",1.023216575383
"BD20","BD20","BD20_2",0.426112785812045
"BD21","BD21","BD21_2",0.412829410126327
"BD22","BD22","BD22_2",0.430884861647738
"BD23","BD23","BD23_2",0.359079207832127
"BD24","BD24","BD24_2",0.573592536078246
"BD26","BD26","BD26_2",0.762437056461875
"BD27","BD27","BD27_2",0.585820414925913
"BD28","BD28","BD28_2",0.721373107725743
"BD29","BD29","BD29_2",0.874724267430145
"BD30","BD30","BD30_2",0.252730749813179
"BD31","BD31","BD31_2",0.24895658335003
"BD32","BD32","BD32_2",0.310740041765571
"BD33","BD33","BD33_2",0.423702761044975
"BD34","BD34","BD34_2",0.546335841264747
"BD35","BD35","BD35_2",0.61182207194919
"BD36","BD36","BD36_2",0.674033664577433
"BD37","BD37","BD37_2",0.685931344590191
"BD38","BD38","BD38_2",0.753209659726856
"BD39","BD39","BD39_2",0.797377463000103
"BD40","BD40","BD40_2",0.0805621171359816
"BD41","BD41","BD41_2",0.175577291220736
"BD42","BD42","BD42_2",0.301972707331394
"BD43","BD43","BD43_2",0.395560459804567
"BD44","BD44","BD44_2",0.490219930641841
"BD45","BD45","BD45_2",0.470450266551957
"BD46","BD46","BD46_2",0.607240445658881
"BD47","BD47","BD47_2",0.680284147113583
"BD48","BD48","BD48_2",0.74983480865592
"BD49","BD49","BD49_2",0.766831964020212
"BD50","BD50","BD50_2",-0.0048463566723902
"BD51","BD51","BD51_2",0.161941107502496
"BD52","BD52","BD52_2",0.308816595803032
"BD53","BD53","BD53_2",0.362993178057219
"BD54","BD54","BD54_2",0.427257200132853
"BD55","BD55","BD55_2",0.475417733678672
"BD56","BD56","BD56_2",0.534301773688204
"BD57","BD57","BD57_2",0.549282611772195
"BD58","BD58","BD58_2",0.561034815626392
"BD59","BD59","BD59_2",0.720243608506897
"BD60","BD60","BD60_2",-0.0564499480109134
"BD61","BD61","BD61_2",0.0774723941366634
"BD62","BD62","BD62_2",0.219583758041641
"BD63","BD63","BD63_2",0.282154192907828
"BD64","BD64","BD64_2",0.249378523412245
"BD65","BD65","BD65_2",0.387237142330224
"BD66","BD66","BD66_2",0.432680843563507
"BD67","BD67","BD67_2",0.429392526442521
"BD68","BD68","BD68_2",0.3914171864808
"BD69","BD69","BD69_2",0.598653330537236
"BD70","BD70","BD70_2",-0.221390853737625
"BD71","BD71","BD71_2",-0.121952273317254
"BD72","BD72","BD72_2",0.0858241534277381
"BD73","BD73","BD73_2",0.172248935674135
"BD74","BD74","BD74_2",0.144639007990403
"BD75","BD75","BD75_2",0.245453691316375
"BD76","BD76","BD76_2",0.386870478336426
"BD77","BD77","BD77_2",0.39466177681339
"BD78","BD78","BD78_2",0.401407303281896
"BD79","BD79","BD79_2",0.479700820926624
"BD80","BD80","BD80_2",-0.293801621639333
"BD81","BD81","BD81_2",-0.147897950787988
"BD82","BD82","BD82_2",-0.00756470833481249
"BD83","BD83","BD83_2",0.0706177797739175
"BD84","BD84","BD84_2",0.0230414649598385
"BD85","BD85","BD85_2",0.110571472238471
"BD86","BD86","BD86_2",0.258565257519608
"BD87","BD87","BD87_2",0.306394874263662
"BD88","BD88","BD88_2",0.414503659015681
"BD89","BD89","BD89_2",0.481618015840253
"BD90","BD90","BD90_2",-0.247486754017701
"BD91","BD91","BD91_2",-0.144988044402227
"BD92","BD92","BD92_2",-0.0539723951369504
"BD93","BD93","BD93_2",-0.0235569940144436
"BD94","BD94","BD94_2",-0.0857032999757061
"BD95","BD95","BD95_2",-0.00675329024619387
"BD96","BD96","BD96_2",0.104710462512943
"BD97","BD97","BD97_2",0.157596621549184
"BD98","BD98","BD98_2",0.323934760848326
"BD99","BD99","BD99_2",0.386122114117062
"BE02","BE02","BE02_2",0.736528400665665
"BE03","BE03","BE03_2",0.695500958034386
"BE04","BE04","BE04_2",0.690742704994467
"BE05","BE05","BE05_2",0.678755206517728
"BE06","BE06","BE06_2",0.672150950332281
"BE07","BE07","BE07_2",0.676242547823108
"BE08","BE08","BE08_2",0.714561843956052
"BE09","BE09","BE09_2",0.728875868712118
"BE10","BE10","BE10_2",0.64822440770598
"BE11","BE11","BE11_2",0.624353600628086
"BE12","BE12","BE12_2",0.58310398742576
"BE13","BE13","BE13_2",0.525339181032796
"BE14","BE14","BE14_2",0.494201088888104
"BE15","BE15","BE15_2",0.49243500586234
"BE16","BE16","BE16_2",0.475591617254419
"BE17","BE17","BE17_2",0.49901829895271
"BE18","BE18","BE18_2",0.565123564618322
"BE19","BE19","BE19_2",0.56348029353381
"BE20","BE20","BE20_2",0.478287725174483
"BE21","BE21","BE21_2",0.402951315003188
"BE22","BE22","BE22_2",0.306890974081323
"BE23","BE23","BE23_2",0.276654261485988
"BE24","BE24","BE24_2",0.256292789999431
"BE25","BE25","BE25_2",0.236185326454033
"BE26","BE26","BE26_2",0.248953457742135
"BE27","BE27","BE27_2",0.276370148973878
"BE28","BE28","BE28_2",0.380813370706803
"BE29","BE29","BE29_2",0.435260373685807
"BE30","BE30","BE30_2",0.310779301883707
"BE31","BE31","BE31_2",0.138384506400108
"BE32","BE32","BE32_2",-0.00611321314689095
"BE33","BE33","BE33_2",0.0103521038255785
"BE34","BE34","BE34_2",0.0568645206453698
"BE35","BE35","BE35_2",0.0730044754933729
"BE36","BE36","BE36_2",0.0478161249689085
"BE37","BE37","BE37_2",0.0925331474230648
"BE38","BE38","BE38_2",0.184986061049396
"BE39","BE39","BE39_2",0.293349739441781
"BE40","BE40","BE40_2",0.17052393981191
"BE41","BE41","BE41_2",0.0510297849895138
"BE42","BE42","BE42_2",-0.0537029782671563
"BE43","BE43","BE43_2",-0.130879988474926
"BE44","BE44","BE44_2",-0.135506536065272
"BE45","BE45","BE45_2",-0.142825699445911
"BE46","BE46","BE46_2",-0.0975390668040351
"BE47","BE47","BE47_2",-0.0539827789425554
"BE48","BE48","BE48_2",0.076417547794643
"BE49","BE49","BE49_2",0.151608823850218
"BE50","BE50","BE50_2",0.00755598614045827
"BE51","BE51","BE51_2",-0.0898521492058181
"BE52","BE52","BE52_2",-0.124010766528282
"BE53","BE53","BE53_2",-0.14183415045147
"BE54","BE54","BE54_2",-0.208705526089561
"BE55","BE55","BE55_2",-0.313379412676183
"BE56","BE56","BE56_2",-0.288414770382256
"BE57","BE57","BE57_2",-0.157737417420741
"BE58","BE58","BE58_2",-0.0368901903878445
"BE59","BE59","BE59_2",0.00681056119582413
"BE60","BE60","BE60_2",-0.100990619482576
"BE61","BE61","BE61_2",-0.154919787943355
"BE62","BE62","BE62_2",-0.208307897271737
"BE63","BE63","BE63_2",-0.23290458201775
"BE64","BE64","BE64_2",-0.28376229261806
"BE65","BE65","BE65_2",-0.324185734715634
"BE66","BE66","BE66_2",-0.313408319760531
"BE67","BE67","BE67_2",-0.259150767546336
"BE68","BE68","BE68_2",-0.134397701092656
"BE69","BE69","BE69_2",-0.104681054849904
"BE70","BE70","BE70_2",-0.246067937888229
"BE71","BE71","BE71_2",-0.30759652313559
"BE72","BE72","BE72_2",-0.406869334107491
"BE73","BE73","BE73_2",-0.389121047385412
"BE74","BE74","BE74_2",-0.411798762109109
"BE75","BE75","BE75_2",-0.367740944218396
"BE76","BE76","BE76_2",-0.343292433804369
"BE77","BE77","BE77_2",-0.298493143714853
"BE78","BE78","BE78_2",-0.198891510802415
"BE79","BE79","BE79_2",-0.178828843337683
"BE80","BE80","BE80_2",-0.342456469849631
"BE81","BE81","BE81_2",-0.45409323256213
"BE82","BE82","BE82_2",-0.53566290708774
"BE83","BE83","BE83_2",-0.503099830518906
"BE84","BE84","BE84_2",-0.497089373584363
"BE85","BE85","BE85_2",-0.442311148188972
"BE86","BE86","BE86_2",-0.388345196948828
"BE87","BE87","BE87_2",-0.350279352403374
"BE88","BE88","BE88_2",-0.290215547573314
"BE89","BE89","BE89_2",-0.292311894243997
"BE90","BE90","BE90_2",-0.443137355693217
"BE91","BE91","BE91_2",-0.489713978086416
"BE92","BE92","BE92_2",-0.586464022797328
"BE93","BE93","BE93_2",-0.557836275117453
"BE94","BE94","BE94_2",-0.535911393364206
"BE95","BE95","BE95_2",-0.519875214056746
"BE96","BE96","BE96_2",-0.47712573056723
"BE97","BE97","BE97_2",-0.460993406707884
"BE98","BE98","BE98_2",-0.40089502700783
"BE99","BE99","BE99_2",-0.363356841737066
"BF00","BF00","BF00_2",1.17102475123839
"BF01","BF01","BF01_2",1.13458377437903
"BF02","BF02","BF02_2",1.07542143023722
"BF03","BF03","BF03_2",0.963645764907455
"BF04","BF04","BF04_2",0.995048062969297
"BF05","BF05","BF05_2",0.917082869262679
"BF06","BF06","BF06_2",0.93537241560763
"BF07","BF07","BF07_2",0.911778342722128
"BF08","BF08","BF08_2",0.864506031310054
"BF10","BF10","BF10_2",1.01950217730269
"BF11","BF11","BF11_2",0.928776839482284
"BF12","BF12","BF12_2",0.927079712078111
"BF13","BF13","BF13_2",0.850898961384296
"BF14","BF14","BF14_2",0.798325397922465
"BF15","BF15","BF15_2",0.772170605051059
"BF16","BF16","BF16_2",0.769096896786636
"BF17","BF17","BF17_2",0.746627640340133
"BF18","BF18","BF18_2",0.717667270109941
"BF20","BF20","BF20_2",0.811373286009924
"BF21","BF21","BF21_2",0.771683760593689
"BF22","BF22","BF22_2",0.80703699001758
"BF23","BF23","BF23_2",0.707433325087698
"BF24","BF24","BF24_2",0.610987722998393
"BF25","BF25","BF25_2",0.566220113708354
"BF26","BF26","BF26_2",0.558616603970674
"BF27","BF27","BF27_2",0.558239910830625
"BF28","BF28","BF28_2",0.541482135667651
"BF29","BF29","BF29_2",0.536595682719346
"BF30","BF30","BF30_2",0.601561319039261
"BF31","BF31","BF31_2",0.605828875407053
"BF32","BF32","BF32_2",0.601055244164315
"BF33","BF33","BF33_2",0.542668090049788
"BF34","BF34","BF34_2",0.409678245020218
"BF35","BF35","BF35_2",0.353176690539972
"BF36","BF36","BF36_2",0.340668423930625
"BF37","BF37","BF37_2",0.322298247119958
"BF38","BF38","BF38_2",0.338850059509789
"BF39","BF39","BF39_2",0.392676248412267
"BF40","BF40","BF40_2",0.429862108775085
"BF41","BF41","BF41_2",0.43502927916006
"BF42","BF42","BF42_2",0.386333506322444
"BF43","BF43","BF43_2",0.431190935990534
"BF44","BF44","BF44_2",0.339374527684288
"BF45","BF45","BF45_2",0.233554579171509
"BF46","BF46","BF46_2",0.150202607351401
"BF47","BF47","BF47_2",0.137820348618039
"BF48","BF48","BF48_2",0.21507919341518
"BF49","BF49","BF49_2",0.235339437489844
"BF50","BF50","BF50_2",0.342210782306076
"BF51","BF51","BF51_2",0.258493008236227
"BF52","BF52","BF52_2",0.252418253827964
"BF53","BF53","BF53_2",0.259359125773998
"BF54","BF54","BF54_2",0.203656007874745
"BF55","BF55","BF55_2",0.0988272824996663
"BF56","BF56","BF56_2",0.0489142533709965
"BF57","BF57","BF57_2",-0.00940159067386748
"BF58","BF58","BF58_2",0.0595708909007272
"BF59","BF59","BF59_2",0.0856524198244574
"BF60","BF60","BF60_2",0.238641234162661
"BF61","BF61","BF61_2",0.154901727361888
"BF62","BF62","BF62_2",0.0879152392571886
"BF63","BF63","BF63_2",0.0769526547270779
"BF64","BF64","BF64_2",0.0648172141495961
"BF65","BF65","BF65_2",-0.0049354152215717
"BF66","BF66","BF66_2",-0.0449439438231716
"BF67","BF67","BF67_2",-0.0583677118592177
"BF68","BF68","BF68_2",-0.0402178941255803
"BF69","BF69","BF69_2",-0.067986467707932
"BF70","BF70","BF70_2",0.0625685578138222
"BF71","BF71","BF71_2",0.0324882811423667
"BF72","BF72","BF72_2",-0.0441197581148095
"BF73","BF73","BF73_2",-0.0771345633530172
"BF74","BF74","BF74_2",-0.0919594052373565
"BF75","BF75","BF75_2",-0.113711302679184
"BF76","BF76","BF76_2",-0.134298688133975
"BF77","BF77","BF77_2",-0.15535903751323
"BF78","BF78","BF78_2",-0.187004656260457
"BF79","BF79","BF79_2",-0.188061771668506
"BF80","BF80","BF80_2",-0.103656310232232
"BF81","BF81","BF81_2",-0.145937024119669
"BF82","BF82","BF82_2",-0.211053932812506
"BF83","BF83","BF83_2",-0.222716034289677
"BF84","BF84","BF84_2",-0.23057594119265
"BF85","BF85","BF85_2",-0.256068060348728
"BF86","BF86","BF86_2",-0.269523395515238
"BF87","BF87","BF87_2",-0.295620923299878
"BF88","BF88","BF88_2",-0.344274816625897
"BF89","BF89","BF89_2",-0.322828703199001
"BF90","BF90","BF90_2",-0.272373360836932
"BF91","BF91","BF91_2",-0.36339865056146
"BF92","BF92","BF92_2",-0.358663803273571
"BF93","BF93","BF93_2",-0.368330616276261
"BF94","BF94","BF94_2",-0.423457298855592
"BF95","BF95","BF95_2",-0.392639396998996
"BF96","BF96","BF96_2",-0.40394424533144
"BF97","BF97","BF97_2",-0.414502003376889
"BF98","BF98","BF98_2",-0.445245866579477
"BF99","BF99","BF99_2",-0.418037835280176
"BG09","BG09","BG09_2",1.12509884615215
"BG19","BG19","BG19_2",1.05944911916912
"BG26","BG26","BG26_2",0.901031901175719
"BG27","BG27","BG27_2",0.904969151278941
"BG28","BG28","BG28_2",0.907083339813956
"BG29","BG29","BG29_2",0.889577568608808
"BG30","BG30","BG30_2",0.834467847654645
"BG31","BG31","BG31_2",0.839298627952881
"BG32","BG32","BG32_2",0.827584057556157
"BG33","BG33","BG33_2",0.811787819528044
"BG36","BG36","BG36_2",0.841452701901337
"BG37","BG37","BG37_2",0.833713383244771
"BG38","BG38","BG38_2",0.82191966690435
"BG39","BG39","BG39_2",0.692908456593087
"BG40","BG40","BG40_2",0.738686280843582
"BG41","BG41","BG41_2",0.736752310920191
"BG42","BG42","BG42_2",0.712421722132159
"BG43","BG43","BG43_2",0.703663774249129
"BG45","BG45","BG45_2",0.685001259812134
"BG48","BG48","BG48_2",0.57521030786052
"BG49","BG49","BG49_2",0.563271222951514
"BG50","BG50","BG50_2",0.482110598683523
"BG51","BG51","BG51_2",0.498634817395373
"BG52","BG52","BG52_2",0.477004509482956
"BG53","BG53","BG53_2",0.476404348862129
"BG54","BG54","BG54_2",0.482985532238728
"BG55","BG55","BG55_2",0.482726645571061
"BG56","BG56","BG56_2",0.46028962902579
"BG57","BG57","BG57_2",0.462516730195387
"BG58","BG58","BG58_2",0.458930157892755
"BG59","BG59","BG59_2",0.43072995967216
"BG60","BG60","BG60_2",0.377366671985069
"BG61","BG61","BG61_2",0.387924990425965
"BG62","BG62","BG62_2",0.365044518293947
"BG63","BG63","BG63_2",0.364294751039356
"BG64","BG64","BG64_2",0.35069387457419
"BG65","BG65","BG65_2",0.347739764339015
"BG66","BG66","BG66_2",0.359479097639615
"BG67","BG67","BG67_2",0.335721192525388
"BG68","BG68","BG68_2",0.289642864887921
"BG69","BG69","BG69_2",0.254835145220769
"BG70","BG70","BG70_2",0.224083859137483
"BG71","BG71","BG71_2",0.231803823595616
"BG72","BG72","BG72_2",0.160764982561386
"BG73","BG73","BG73_2",0.172544472332795
"BG74","BG74","BG74_2",0.16978689965675
"BG75","BG75","BG75_2",0.171147242129427
"BG76","BG76","BG76_2",0.217034569306091
"BG77","BG77","BG77_2",0.184367991054684
"BG78","BG78","BG78_2",0.121543781598481
"BG79","BG79","BG79_2",0.0943401810803142
"BG80","BG80","BG80_2",0.0632473165242045
"BG81","BG81","BG81_2",0.00584230614932413
"BG82","BG82","BG82_2",0.00730664884398524
"BG83","BG83","BG83_2",0.00836968115351422
"BG84","BG84","BG84_2",-0.0311002596124192
"BG85","BG85","BG85_2",0.0316704550109875
"BG86","BG86","BG86_2",0.0733526892613163
"BG87","BG87","BG87_2",0.0290147811823924
"BG88","BG88","BG88_2",0.00125660081036094
"BG89","BG89","BG89_2",-0.100166444255429
"BG90","BG90","BG90_2",-0.0684166629545648
"BG91","BG91","BG91_2",-0.0942545456253894
"BG92","BG92","BG92_2",-0.156397083645843
"BG93","BG93","BG93_2",-0.181773387437619
"BG94","BG94","BG94_2",-0.147864345136033
"BG95","BG95","BG95_2",-0.0793433796212598
"BG96","BG96","BG96_2",-0.113775649387531
"BG97","BG97","BG97_2",-0.132156873779035
"BG98","BG98","BG98_2",-0.138568097503215
"BG99","BG99","BG99_2",-0.286232441632389
"BH49","BH49","BH49_2",0.750000029802322
"BH57","BH57","BH57_2",0.486615260727202
"BH58","BH58","BH58_2",0.462813517250049
"BH59","BH59","BH59_2",0.458173396241036
"BH66","BH66","BH66_2",0.360117925465436
"BH67","BH67","BH67_2",0.363651571245514
"BH68","BH68","BH68_2",0.349282803001235
"BH69","BH69","BH69_2",0.343277543515639
"BH76","BH76","BH76_2",0.209809125915744
"BH77","BH77","BH77_2",0.210777027215614
"BH78","BH78","BH78_2",0.172954267615483
"BH79","BH79","BH79_2",0.186795595531672
"BH86","BH86","BH86_2",0.0649740128295584
"BH87","BH87","BH87_2",0.0911272944597465
"BH88","BH88","BH88_2",0.0465447199247669
"BH89","BH89","BH89_2",0.0423317012964537
"BH96","BH96","BH96_2",-0.0666378032315591
"BH97","BH97","BH97_2",-0.0362473093922091
"BH98","BH98","BH98_2",-0.0624021553123176
"BH99","BH99","BH99_2",-0.0819598429771805
"CB70","CB70","CB70_2",0.233518489705122
"CB80","CB80","CB80_2",0.19967786199905
"CB81","CB81","CB81_2",0.285521229316083
"CB82","CB82","CB82_2",0.284049859759789
"CB90","CB90","CB90_2",0.210950839477652
"CB91","CB91","CB91_2",0.225300659506688
"CB92","CB92","CB92_2",0.225915320076995
"CB93","CB93","CB93_2",0.197085035515655
"CB94","CB94","CB94_2",0.279115955556407
"CC01","CC01","CC01_2",0.455943324326329
"CC03","CC03","CC03_2",0.553651148872257
"CC04","CC04","CC04_2",0.578688898207155
"CC05","CC05","CC05_2",0.632212019597026
"CC06","CC06","CC06_2",0.611172928528753
"CC10","CC10","CC10_2",0.314888553209431
"CC11","CC11","CC11_2",0.369280618010235
"CC14","CC14","CC14_2",0.515552717243775
"CC15","CC15","CC15_2",0.548733248713545
"CC16","CC16","CC16_2",0.543812290096928
"CC20","CC20","CC20_2",0.202923110761096
"CC21","CC21","CC21_2",0.183346866624498
"CC22","CC22","CC22_2",0.31633650954976
"CC23","CC23","CC23_2",0.373577706831027
"CC24","CC24","CC24_2",0.415218640623006
"CC25","CC25","CC25_2",0.444263236940329
"CC26","CC26","CC26_2",0.454538640330311
"CC30","CC30","CC30_2",0.0585315606879835
"CC31","CC31","CC31_2",0.10368112385718
"CC32","CC32","CC32_2",0.1179778706498
"CC33","CC33","CC33_2",0.261544901211687
"CC34","CC34","CC34_2",0.260111687406571
"CC35","CC35","CC35_2",0.229859758404484
"CC36","CC36","CC36_2",0.271412779339248
"CC40","CC40","CC40_2",-0.114310884657868
"CC41","CC41","CC41_2",-0.0251261497345592
"CC42","CC42","CC42_2",0.0731925741409915
"CC43","CC43","CC43_2",0.186895880631308
"CC44","CC44","CC44_2",0.185057624854245
"CC45","CC45","CC45_2",0.0856290995947788
"CC46","CC46","CC46_2",0.157206495880649
"CC47","CC47","CC47_2",0.339942897300289
"CC50","CC50","CC50_2",-0.238179148361576
"CC51","CC51","CC51_2",-0.183868754556232
"CC52","CC52","CC52_2",-0.0529939273347171
"CC53","CC53","CC53_2",0.054015626802407
"CC54","CC54","CC54_2",0.136749154544378
"CC55","CC55","CC55_2",0.0997364085979646
"CC56","CC56","CC56_2",0.149364506532594
"CC57","CC57","CC57_2",0.258722478764099
"CC60","CC60","CC60_2",-0.250800253736224
"CC61","CC61","CC61_2",-0.209634601297399
"CC62","CC62","CC62_2",-0.107139689068305
"CC63","CC63","CC63_2",-0.0253280414736864
"CC64","CC64","CC64_2",0.0992920068451013
"CC65","CC65","CC65_2",0.139307936753742
"CC66","CC66","CC66_2",0.188907895807665
"CC67","CC67","CC67_2",0.166443943343209
"CC68","CC68","CC68_2",0.234077496907644
"CC70","CC70","CC70_2",-0.348697746010268
"CC71","CC71","CC71_2",-0.293544629250485
"CC72","CC72","CC72_2",-0.189512955820105
"CC73","CC73","CC73_2",-0.0202261597516168
"CC74","CC74","CC74_2",0.0417337857324542
"CC75","CC75","CC75_2",0.0777658985596557
"CC76","CC76","CC76_2",0.118550348959475
"CC77","CC77","CC77_2",0.137227951040074
"CC78","CC78","CC78_2",0.182111541742957
"CC79","CC79","CC79_2",0.20037310928819
"CC80","CC80","CC80_2",-0.447207533344338
"CC81","CC81","CC81_2",-0.435526347919812
"CC82","CC82","CC82_2",-0.39503144491862
"CC83","CC83","CC83_2",-0.142223649434456
"CC84","CC84","CC84_2",-0.0285776313703903
"CC85","CC85","CC85_2",0.0346439575472811
"CC86","CC86","CC86_2",0.109637621596778
"CC87","CC87","CC87_2",0.120549247686649
"CC88","CC88","CC88_2",0.173828663288275
"CC89","CC89","CC89_2",0.157106642361404
"CC90","CC90","CC90_2",-0.575690706311509
"CC91","CC91","CC91_2",-0.480829683094048
"CC92","CC92","CC92_2",-0.369430393749131
"CC93","CC93","CC93_2",-0.239008171905606
"CC94","CC94","CC94_2",-0.0395468364081004
"CC95","CC95","CC95_2",0.0226779775382554
"CC96","CC96","CC96_2",0.0628264868643655
"CC97","CC97","CC97_2",0.0909628360112473
"CC98","CC98","CC98_2",0.139333034672797
"CC99","CC99","CC99_2",0.200116147903954
"CD00","CD00","CD00_2",-0.35165846483522
"CD01","CD01","CD01_2",-0.313294106516528
"CD02","CD02","CD02_2",-0.18619852937543
"CD03","CD03","CD03_2",-0.0862564592646919
"CD04","CD04","CD04_2",-0.0379756876961601
"CD05","CD05","CD05_2",-0.0141383358591616
"CD06","CD06","CD06_2",-0.0402744034244149
"CD07","CD07","CD07_2",0.116636418554403
"CD08","CD08","CD08_2",0.210307157458674
"CD09","CD09","CD09_2",0.287765953594266
"CD10","CD10","CD10_2",-0.48877533254368
"CD11","CD11","CD11_2",-0.39984201769644
"CD12","CD12","CD12_2",-0.323475262093098
"CD13","CD13","CD13_2",-0.163479815255302
"CD14","CD14","CD14_2",-0.091453873750539
"CD15","CD15","CD15_2",0.00216044394126569
"CD16","CD16","CD16_2",-0.0255896293371012
"CD17","CD17","CD17_2",0.0397531951446206
"CD18","CD18","CD18_2",0.139090640147595
"CD20","CD20","CD20_2",-0.578113764453775
"CD21","CD21","CD21_2",-0.477126927088479
"CD22","CD22","CD22_2",-0.322058299183402
"CD23","CD23","CD23_2",-0.274852229654455
"CD24","CD24","CD24_2",-0.290152604328346
"CD25","CD25","CD25_2",-0.0756712139334421
"CD26","CD26","CD26_2",-0.0761353501358139
"CD27","CD27","CD27_2",0.0262340484344682
"CD28","CD28","CD28_2",0.0729445227727374
"CD29","CD29","CD29_2",0.082415745651696
"CD30","CD30","CD30_2",-0.675629279286987
"CD31","CD31","CD31_2",-0.480654578159554
"CD32","CD32","CD32_2",-0.413681303617826
"CD33","CD33","CD33_2",-0.31305640780523
"CD34","CD34","CD34_2",-0.254391686373
"CD35","CD35","CD35_2",-0.158990681321575
"CD36","CD36","CD36_2",-0.125976407661149
"CD37","CD37","CD37_2",-0.168402117435224
"CD38","CD38","CD38_2",-0.111037224151826
"CD39","CD39","CD39_2",-0.0264795051721933
"CD40","CD40","CD40_2",-0.583867747951978
"CD41","CD41","CD41_2",-0.580284357010675
