"","kvadratkod","survey","tmean_year"
"BD10","BD10","BD10_2",8.19560427544159
"BD11","BD11","BD11_2",8.14083448278002
"BD12","BD12","BD12_2",8.04959225225613
"BD13","BD13","BD13_2",8.03824112057809
"BD14","BD14","BD14_2",8.18695375642473
"BD16","BD16","BD16_2",8.19014673537987
"BD17","BD17","BD17_2",8.03744411166209
"BD18","BD18","BD18_2",8.1697283787291
"BD19","BD19","BD19_2",8.21437315351207
"BD20","BD20","BD20_2",8.10645522973781
"BD21","BD21","BD21_2",8.05605731611371
"BD22","BD22","BD22_2",8.01740520581174
"BD23","BD23","BD23_2",7.91058919292319
"BD24","BD24","BD24_2",8.10968478481915
"BD26","BD26","BD26_2",8.17152317117141
"BD27","BD27","BD27_2",7.93967832481698
"BD28","BD28","BD28_2",8.02558535511214
"BD29","BD29","BD29_2",8.14638602855124
"BD30","BD30","BD30_2",8.01794006869788
"BD31","BD31","BD31_2",7.97056726307669
"BD32","BD32","BD32_2",7.98807687096208
"BD33","BD33","BD33_2",8.06492139432968
"BD34","BD34","BD34_2",8.1502597627619
"BD35","BD35","BD35_2",8.15220871656366
"BD36","BD36","BD36_2",8.14975225559555
"BD37","BD37","BD37_2",8.11610013422714
"BD38","BD38","BD38_2",8.12589721282875
"BD39","BD39","BD39_2",8.12370565214851
"BD40","BD40","BD40_2",7.92327007072106
"BD41","BD41","BD41_2",7.97380782539695
"BD42","BD42","BD42_2",8.0640420286034
"BD43","BD43","BD43_2",8.12063435470187
"BD44","BD44","BD44_2",8.14965472939621
"BD45","BD45","BD45_2",8.07957815778283
"BD46","BD46","BD46_2",8.16611054143833
"BD47","BD47","BD47_2",8.1729639979846
"BD48","BD48","BD48_2",8.19513401117754
"BD49","BD49","BD49_2",8.15834561099232
"BD50","BD50","BD50_2",7.91454514005824
"BD51","BD51","BD51_2",8.03293266121697
"BD52","BD52","BD52_2",8.13899242005044
"BD53","BD53","BD53_2",8.14502508534965
"BD54","BD54","BD54_2",8.16254482830316
"BD55","BD55","BD55_2",8.1599203052854
"BD56","BD56","BD56_2",8.16086634616848
"BD57","BD57","BD57_2",8.10879833007398
"BD58","BD58","BD58_2",8.07129480151339
"BD59","BD59","BD59_2",8.17834770462149
"BD60","BD60","BD60_2",7.93190879171696
"BD61","BD61","BD61_2",8.01501891465905
"BD62","BD62","BD62_2",8.11849074711975
"BD63","BD63","BD63_2",8.12116675129392
"BD64","BD64","BD64_2",8.04552812217908
"BD65","BD65","BD65_2",8.13358380069146
"BD66","BD66","BD66_2",8.12020578492913
"BD67","BD67","BD67_2",8.04781735339017
"BD68","BD68","BD68_2",7.96241201630582
"BD69","BD69","BD69_2",8.11183258505564
"BD70","BD70","BD70_2",7.8208691783493
"BD71","BD71","BD71_2",7.88541465263474
"BD72","BD72","BD72_2",8.05691446136752
"BD73","BD73","BD73_2",8.08359570398679
"BD74","BD74","BD74_2",8.00052274897327
"BD75","BD75","BD75_2",8.05639596656392
"BD76","BD76","BD76_2",8.12847959411858
"BD77","BD77","BD77_2",8.07156221108804
"BD78","BD78","BD78_2",8.03183554871116
"BD79","BD79","BD79_2",8.0694651910825
"BD80","BD80","BD80_2",7.81615192030401
"BD81","BD81","BD81_2",7.92461114661327
"BD82","BD82","BD82_2",8.01800180606649
"BD83","BD83","BD83_2",8.04215191834644
"BD84","BD84","BD84_2",7.943336924904
"BD85","BD85","BD85_2",7.9679832335958
"BD86","BD86","BD86_2",8.06881023195548
"BD87","BD87","BD87_2",8.04844301975287
"BD88","BD88","BD88_2",8.1167343471053
"BD89","BD89","BD89_2",8.13764774517596
"BD90","BD90","BD90_2",7.92870762322044
"BD91","BD91","BD91_2",7.99085601642631
"BD92","BD92","BD92_2",8.02097371625609
"BD93","BD93","BD93_2",8.00428611884671
"BD94","BD94","BD94_2",7.89413568916588
"BD95","BD95","BD95_2",7.90907780362922
"BD96","BD96","BD96_2",7.9735957997833
"BD97","BD97","BD97_2",7.96919413308235
"BD98","BD98","BD98_2",8.0918544611196
"BD99","BD99","BD99_2",8.10913025648605
"BE02","BE02","BE02_2",8.34376270096736
"BE03","BE03","BE03_2",8.31359629129257
"BE04","BE04","BE04_2",8.30686500751323
"BE05","BE05","BE05_2",8.29384938094249
"BE06","BE06","BE06_2",8.27419779452774
"BE07","BE07","BE07_2",8.26341997109983
"BE08","BE08","BE08_2",8.27160309762598
"BE09","BE09","BE09_2",8.26387523706333
"BE10","BE10","BE10_2",8.34921367418409
"BE11","BE11","BE11_2",8.32537615625513
"BE12","BE12","BE12_2",8.29014058160321
"BE13","BE13","BE13_2",8.23543052766251
"BE14","BE14","BE14_2",8.22070639839492
"BE15","BE15","BE15_2",8.21580892670637
"BE16","BE16","BE16_2",8.17996465938501
"BE17","BE17","BE17_2",8.18950760874544
"BE18","BE18","BE18_2",8.22643578175557
"BE19","BE19","BE19_2",8.19681778026414
"BE20","BE20","BE20_2",8.28980931201621
"BE21","BE21","BE21_2",8.21211856403898
"BE22","BE22","BE22_2",8.12309602941447
"BE23","BE23","BE23_2",8.09079105807972
"BE24","BE24","BE24_2",8.0775196946852
"BE25","BE25","BE25_2",8.04557801348692
"BE26","BE26","BE26_2",8.04418551457673
"BE27","BE27","BE27_2",8.0563416357063
"BE28","BE28","BE28_2",8.13034896358853
"BE29","BE29","BE29_2",8.1456837445941
"BE30","BE30","BE30_2",8.22113191778966
"BE31","BE31","BE31_2",8.05581517779989
"BE32","BE32","BE32_2",7.90750593151554
"BE33","BE33","BE33_2",7.92074598302064
"BE34","BE34","BE34_2",7.97419936172648
"BE35","BE35","BE35_2",7.98349989468261
"BE36","BE36","BE36_2",7.92953590454923
"BE37","BE37","BE37_2",7.95396033101248
"BE38","BE38","BE38_2",8.01815919749645
"BE39","BE39","BE39_2",8.09249957547582
"BE40","BE40","BE40_2",8.17536512954532
"BE41","BE41","BE41_2",8.05404274222929
"BE42","BE42","BE42_2",7.95414920973074
"BE43","BE43","BE43_2",7.8731647164695
"BE44","BE44","BE44_2",7.87602983884928
"BE45","BE45","BE45_2",7.85761614071915
"BE46","BE46","BE46_2",7.8640542708636
"BE47","BE47","BE47_2",7.88575767964511
"BE48","BE48","BE48_2",7.985186897777
"BE49","BE49","BE49_2",8.04065140826156
"BE50","BE50","BE50_2",8.11036660660789
"BE51","BE51","BE51_2",8.00210237408831
"BE52","BE52","BE52_2",7.97284704115898
"BE53","BE53","BE53_2",7.94766750406636
"BE54","BE54","BE54_2",7.88684180835803
"BE55","BE55","BE55_2",7.75732162460862
"BE56","BE56","BE56_2",7.75626492268497
"BE57","BE57","BE57_2",7.85634981002981
"BE58","BE58","BE58_2",7.95024414237662
"BE59","BE59","BE59_2",7.97195779412291
"BE60","BE60","BE60_2",8.0837858788917
"BE61","BE61","BE61_2",8.02195957543773
"BE62","BE62","BE62_2",7.96883819237842
"BE63","BE63","BE63_2",7.9408011780592
"BE64","BE64","BE64_2",7.88645482381777
"BE65","BE65","BE65_2",7.82723199549705
"BE66","BE66","BE66_2",7.80683128602833
"BE67","BE67","BE67_2",7.82724813957003
"BE68","BE68","BE68_2",7.92988693606488
"BE69","BE69","BE69_2",7.92978035840884
"BE70","BE70","BE70_2",8.01249376441624
"BE71","BE71","BE71_2",7.94298459463355
"BE72","BE72","BE72_2",7.83664693571925
"BE73","BE73","BE73_2",7.85013386882559
"BE74","BE74","BE74_2",7.81870744706537
"BE75","BE75","BE75_2",7.83390715480008
"BE76","BE76","BE76_2",7.84395032007343
"BE77","BE77","BE77_2",7.86035889548179
"BE78","BE78","BE78_2",7.93463448440524
"BE79","BE79","BE79_2",7.92395341586295
"BE80","BE80","BE80_2",7.98430596815509
"BE81","BE81","BE81_2",7.86449343342558
"BE82","BE82","BE82_2",7.77405960650301
"BE83","BE83","BE83_2",7.79873646318085
"BE84","BE84","BE84_2",7.78645370399902
"BE85","BE85","BE85_2",7.82254795880387
"BE86","BE86","BE86_2",7.86712992298916
"BE87","BE87","BE87_2",7.88025870006384
"BE88","BE88","BE88_2",7.90376428679019
"BE89","BE89","BE89_2",7.86183052358654
"BE90","BE90","BE90_2",7.93536699312987
"BE91","BE91","BE91_2",7.88633810602014
"BE92","BE92","BE92_2",7.77662848240967
"BE93","BE93","BE93_2",7.79187938713674
"BE94","BE94","BE94_2",7.8021124712399
"BE95","BE95","BE95_2",7.8081343630082
"BE96","BE96","BE96_2",7.837140439966
"BE97","BE97","BE97_2",7.83475402166914
"BE98","BE98","BE98_2",7.85498038015424
"BE99","BE99","BE99_2",7.85451765378295
"BF00","BF00","BF00_2",8.5796014063102
"BF01","BF01","BF01_2",8.54836523638955
"BF02","BF02","BF02_2",8.50772279120396
"BF03","BF03","BF03_2",8.42819796494398
"BF04","BF04","BF04_2",8.48370022866238
"BF05","BF05","BF05_2",8.40535138044985
"BF06","BF06","BF06_2",8.43096438537255
"BF07","BF07","BF07_2",8.43509591348861
"BF08","BF08","BF08_2",8.42312171320098
"BF10","BF10","BF10_2",8.52850475285909
"BF11","BF11","BF11_2",8.46801946923048
"BF12","BF12","BF12_2",8.4778236032814
"BF13","BF13","BF13_2",8.42305395738899
"BF14","BF14","BF14_2",8.3848300984462
"BF15","BF15","BF15_2",8.36939721332819
"BF16","BF16","BF16_2",8.38752132583735
"BF17","BF17","BF17_2",8.38821138174799
"BF18","BF18","BF18_2",8.39214467932789
"BF20","BF20","BF20_2",8.45115174608536
"BF21","BF21","BF21_2",8.41805310785408
"BF22","BF22","BF22_2",8.4556154542215
"BF23","BF23","BF23_2",8.3729463216823
"BF24","BF24","BF24_2",8.30975744993344
"BF25","BF25","BF25_2",8.27419800602996
"BF26","BF26","BF26_2",8.28614831763075
"BF27","BF27","BF27_2",8.30070989207968
"BF28","BF28","BF28_2",8.31666995499552
"BF29","BF29","BF29_2",8.33638996366171
"BF30","BF30","BF30_2",8.34534840091784
"BF31","BF31","BF31_2",8.36052191412664
"BF32","BF32","BF32_2",8.35367397291976
"BF33","BF33","BF33_2",8.315419891727
"BF34","BF34","BF34_2",8.2145015339373
"BF35","BF35","BF35_2",8.16774326799265
"BF36","BF36","BF36_2",8.17243025861775
"BF37","BF37","BF37_2",8.17257916976807
"BF38","BF38","BF38_2",8.20444416090772
"BF39","BF39","BF39_2",8.28368055986495
"BF40","BF40","BF40_2",8.28833027547666
"BF41","BF41","BF41_2",8.29796725924654
"BF42","BF42","BF42_2",8.25418806354114
"BF43","BF43","BF43_2",8.31433644751587
"BF44","BF44","BF44_2",8.24904717067385
"BF45","BF45","BF45_2",8.15774706477598
"BF46","BF46","BF46_2",8.08697667484565
"BF47","BF47","BF47_2",8.0928683641568
"BF48","BF48","BF48_2",8.18312982640039
"BF49","BF49","BF49_2",8.23341117221958
"BF50","BF50","BF50_2",8.30339076591605
"BF51","BF51","BF51_2",8.22387645808973
"BF52","BF52","BF52_2",8.22625531423022
"BF53","BF53","BF53_2",8.24611918884369
"BF54","BF54","BF54_2",8.20887381024119
"BF55","BF55","BF55_2",8.12737533412279
"BF56","BF56","BF56_2",8.08607319258988
"BF57","BF57","BF57_2",8.03854463238568
"BF58","BF58","BF58_2",8.13199922623321
"BF59","BF59","BF59_2",8.17767310331118
"BF60","BF60","BF60_2",8.28870590788311
"BF61","BF61","BF61_2",8.21652041916117
"BF62","BF62","BF62_2",8.15942570027394
"BF63","BF63","BF63_2",8.1642083050255
"BF64","BF64","BF64_2",8.16549647531894
"BF65","BF65","BF65_2",8.11737752455631
"BF66","BF66","BF66_2",8.08525007643462
"BF67","BF67","BF67_2",8.07642183493704
"BF68","BF68","BF68_2",8.11848418931089
"BF69","BF69","BF69_2",8.11167823355149
"BF70","BF70","BF70_2",8.19901323729681
"BF71","BF71","BF71_2",8.18277842179604
"BF72","BF72","BF72_2",8.12368226191507
"BF73","BF73","BF73_2",8.10136507359249
"BF74","BF74","BF74_2",8.10284860639526
"BF75","BF75","BF75_2",8.09606670419655
"BF76","BF76","BF76_2",8.08052483927361
"BF77","BF77","BF77_2",8.06460050932469
"BF78","BF78","BF78_2",8.05589526366521
"BF79","BF79","BF79_2",8.07094076447782
"BF80","BF80","BF80_2",8.12200977404833
"BF81","BF81","BF81_2",8.0794016495137
"BF82","BF82","BF82_2",8.03188752214175
"BF83","BF83","BF83_2",8.02950035007307
"BF84","BF84","BF84_2",8.04068480131787
"BF85","BF85","BF85_2",8.02541632348588
"BF86","BF86","BF86_2",8.00977036756956
"BF87","BF87","BF87_2",7.99773093712506
"BF88","BF88","BF88_2",7.95240939906943
"BF89","BF89","BF89_2",7.99483994494812
"BF90","BF90","BF90_2",8.01576326641334
"BF91","BF91","BF91_2",7.93247685118867
"BF92","BF92","BF92_2",7.94712526142628
"BF93","BF93","BF93_2",7.9525057629282
"BF94","BF94","BF94_2",7.9091695732985
"BF95","BF95","BF95_2",7.94296484723279
"BF96","BF96","BF96_2",7.93749628002586
"BF97","BF97","BF97_2",7.93494047262019
"BF98","BF98","BF98_2",7.91606369513077
"BF99","BF99","BF99_2",7.94948899471757
"BG09","BG09","BG09_2",8.57719906211693
"BG19","BG19","BG19_2",8.56238136044658
"BG26","BG26","BG26_2",8.53575880846016
"BG27","BG27","BG27_2",8.52354040663306
"BG28","BG28","BG28_2",8.52462325364635
"BG29","BG29","BG29_2",8.50972599243671
"BG30","BG30","BG30_2",8.61227038274692
"BG31","BG31","BG31_2",8.59877248117572
"BG32","BG32","BG32_2",8.589642923631
"BG33","BG33","BG33_2",8.57954915024209
"BG36","BG36","BG36_2",8.52663043018358
"BG37","BG37","BG37_2",8.52104697477825
"BG38","BG38","BG38_2",8.51699464237174
"BG39","BG39","BG39_2",8.4162714629173
"BG40","BG40","BG40_2",8.58768232801188
"BG41","BG41","BG41_2",8.56389607669209
"BG42","BG42","BG42_2",8.55629267165258
"BG43","BG43","BG43_2",8.55473706753799
"BG45","BG45","BG45_2",8.51903549508221
"BG48","BG48","BG48_2",8.45188604972692
"BG49","BG49","BG49_2",8.40352754382062
"BG50","BG50","BG50_2",8.50138313015946
"BG51","BG51","BG51_2",8.51097938181402
"BG52","BG52","BG52_2",8.50588672795956
"BG53","BG53","BG53_2",8.48960211844393
"BG54","BG54","BG54_2",8.47949383094593
"BG55","BG55","BG55_2",8.46349351773111
"BG56","BG56","BG56_2",8.44806757870224
"BG57","BG57","BG57_2",8.43216883517016
"BG58","BG58","BG58_2",8.41191083235712
"BG59","BG59","BG59_2",8.38192870970957
"BG60","BG60","BG60_2",8.47760001745265
"BG61","BG61","BG61_2",8.48734137308994
"BG62","BG62","BG62_2",8.46373517348149
"BG63","BG63","BG63_2",8.44985620622705
"BG64","BG64","BG64_2",8.42281161210658
"BG65","BG65","BG65_2",8.4041072145872
"BG66","BG66","BG66_2",8.41955724734883
"BG67","BG67","BG67_2",8.39834337375896
"BG68","BG68","BG68_2",8.33540603259735
"BG69","BG69","BG69_2",8.30849144572713
"BG70","BG70","BG70_2",8.4394240364331
"BG71","BG71","BG71_2",8.43594373351711
"BG72","BG72","BG72_2",8.35473338011124
"BG73","BG73","BG73_2",8.35459484793811
"BG74","BG74","BG74_2",8.34219676510844
"BG75","BG75","BG75_2",8.33373033442703
"BG76","BG76","BG76_2",8.37470310300545
"BG77","BG77","BG77_2",8.34161388740776
"BG78","BG78","BG78_2",8.26577025378461
"BG79","BG79","BG79_2",8.23615368204206
"BG80","BG80","BG80_2",8.3793558799729
"BG81","BG81","BG81_2",8.30453718128613
"BG82","BG82","BG82_2",8.29432090101573
"BG83","BG83","BG83_2",8.28256675490059
"BG84","BG84","BG84_2",8.22491245765427
"BG85","BG85","BG85_2",8.29657277583768
"BG86","BG86","BG86_2",8.31798114850823
"BG87","BG87","BG87_2",8.26893585728562
"BG88","BG88","BG88_2",8.22335570702106
"BG89","BG89","BG89_2",8.11645335670704
"BG90","BG90","BG90_2",8.33319048647263
"BG91","BG91","BG91_2",8.2768615113258
"BG92","BG92","BG92_2",8.19698588735643
"BG93","BG93","BG93_2",8.16989955185493
"BG94","BG94","BG94_2",8.19233678531035
"BG95","BG95","BG95_2",8.24989101535355
"BG96","BG96","BG96_2",8.19284780420533
"BG97","BG97","BG97_2",8.16534640073419
"BG98","BG98","BG98_2",8.15794805326539
"BG99","BG99","BG99_2",7.99907099012308
"BH49","BH49","BH49_2",8.61641484498978
"BH57","BH57","BH57_2",8.57714109549007
"BH58","BH58","BH58_2",8.53999574474421
"BH59","BH59","BH59_2",8.50246611705903
"BH66","BH66","BH66_2",8.56436388435767
"BH67","BH67","BH67_2",8.55034402270696
"BH68","BH68","BH68_2",8.5111482703124
"BH69","BH69","BH69_2",8.47629800928014
"BH76","BH76","BH76_2",8.52591846119024
"BH77","BH77","BH77_2",8.49999209347186
"BH78","BH78","BH78_2",8.4332620547808
"BH79","BH79","BH79_2",8.42587566395778
"BH86","BH86","BH86_2",8.48428116586166
"BH87","BH87","BH87_2",8.47574646381581
"BH88","BH88","BH88_2",8.40715668103939
"BH89","BH89","BH89_2",8.37795592248016
"BH96","BH96","BH96_2",8.43352644181408
"BH97","BH97","BH97_2",8.42875119560853
"BH98","BH98","BH98_2",8.38536540532526
"BH99","BH99","BH99_2",8.33794767237448
"CB70","CB70","CB70_2",8.02642551551009
"CB80","CB80","CB80_2",8.01341090302172
"CB81","CB81","CB81_2",8.06433996333396
"CB82","CB82","CB82_2",8.04744021862316
"CB90","CB90","CB90_2",8.04261832056755
"CB91","CB91","CB91_2",8.01454942102291
"CB92","CB92","CB92_2",7.99128144131143
"CB93","CB93","CB93_2",7.93678097156543
"CB94","CB94","CB94_2",8.00995487490294
"CC01","CC01","CC01_2",8.1315652180243
"CC03","CC03","CC03_2",8.14519230240015
"CC04","CC04","CC04_2",8.12955252982526
"CC05","CC05","CC05_2",8.13916824092586
"CC06","CC06","CC06_2",8.08454319742433
"CC10","CC10","CC10_2",8.11038015138226
"CC11","CC11","CC11_2",8.11718199769169
"CC14","CC14","CC14_2",8.14249130565333
"CC15","CC15","CC15_2",8.13226755139571
"CC16","CC16","CC16_2",8.0962303180863
"CC20","CC20","CC20_2",8.07771793935956
"CC21","CC21","CC21_2",8.00177921873176
"CC22","CC22","CC22_2",8.09731082473297
"CC23","CC23","CC23_2",8.11404120387931
"CC24","CC24","CC24_2",8.10819524874853
"CC25","CC25","CC25_2",8.10239600906889
"CC26","CC26","CC26_2",8.08430045796908
"CC30","CC30","CC30_2",8.00757486896522
"CC31","CC31","CC31_2",8.00951554507031
"CC32","CC32","CC32_2",7.97394636967106
"CC33","CC33","CC33_2",8.07251603670562
"CC34","CC34","CC34_2",8.01999318027253
"CC35","CC35","CC35_2",7.95763453378316
"CC36","CC36","CC36_2",7.96546869250479
"CC40","CC40","CC40_2",7.91145515134111
"CC41","CC41","CC41_2",7.94929804762001
"CC42","CC42","CC42_2",8.00329425630167
"CC43","CC43","CC43_2",8.07230536924464
"CC44","CC44","CC44_2",8.03323821334545
"CC45","CC45","CC45_2",7.88649859949479
"CC46","CC46","CC46_2",7.91721881830123
"CC47","CC47","CC47_2",8.09844390913067
"CC50","CC50","CC50_2",7.8489323274892
"CC51","CC51","CC51_2",7.86682635382845
"CC52","CC52","CC52_2",7.94166207256312
"CC53","CC53","CC53_2",8.01335862885363
"CC54","CC54","CC54_2",8.05045872850146
"CC55","CC55","CC55_2",7.96190369374809
"CC56","CC56","CC56_2",7.9707719421197
"CC57","CC57","CC57_2",8.06442700788746
"CC60","CC60","CC60_2",7.88746902282444
"CC61","CC61","CC61_2",7.89762985854744
"CC62","CC62","CC62_2",7.95645939597348
"CC63","CC63","CC63_2",7.99265703809078
"CC64","CC64","CC64_2",8.07799695842174
"CC65","CC65","CC65_2",8.06320675998986
"CC66","CC66","CC66_2",8.06937355425305
"CC67","CC67","CC67_2",8.019594060175
"CC68","CC68","CC68_2",8.05376024013806
"CC70","CC70","CC70_2",7.83458064843318
"CC71","CC71","CC71_2",7.85211694544994
"CC72","CC72","CC72_2",7.91766328618019
"CC73","CC73","CC73_2",8.05588895813749
"CC74","CC74","CC74_2",8.06832331332101
"CC75","CC75","CC75_2",8.05913796373345
"CC76","CC76","CC76_2",8.06942327092582
"CC77","CC77","CC77_2",8.03787405396984
"CC78","CC78","CC78_2",8.03759789860915
"CC79","CC79","CC79_2",8.02237641213723
"CC80","CC80","CC80_2",7.77306172476543
"CC81","CC81","CC81_2",7.73624076290273
"CC82","CC82","CC82_2",7.73535383793135
"CC83","CC83","CC83_2",7.96143256315138
"CC84","CC84","CC84_2",8.04316311431018
"CC85","CC85","CC85_2",8.05460590673331
"CC86","CC86","CC86_2",8.07707534568155
"CC87","CC87","CC87_2",8.05739896903367
"CC88","CC88","CC88_2",8.06508809846739
"CC89","CC89","CC89_2",8.0089316844349
"CC90","CC90","CC90_2",7.66029040751658
"CC91","CC91","CC91_2",7.71512823894154
"CC92","CC92","CC92_2",7.78718908218791
"CC93","CC93","CC93_2",7.8906242294805
"CC94","CC94","CC94_2",8.05360432977627
"CC95","CC95","CC95_2",8.06962407502927
"CC96","CC96","CC96_2",8.05705450364681
"CC97","CC97","CC97_2",8.04059904198008
"CC98","CC98","CC98_2",8.05476972294137
"CC99","CC99","CC99_2",8.06432099955168
"CD00","CD00","CD00_2",7.8852079386035
"CD01","CD01","CD01_2",7.87890472102114
"CD02","CD02","CD02_2",7.95048690727397
"CD03","CD03","CD03_2",8.01545703915939
"CD04","CD04","CD04_2",8.00276711564443
"CD05","CD05","CD05_2",7.97242672388205
"CD06","CD06","CD06_2",7.89444639234151
"CD07","CD07","CD07_2",7.99692275209536
"CD08","CD08","CD08_2",8.04405940867054
"CD09","CD09","CD09_2",8.06539732006346
"CD10","CD10","CD10_2",7.79990885737067
"CD11","CD11","CD11_2",7.84437322158108
"CD12","CD12","CD12_2",7.8731749546411
"CD13","CD13","CD13_2",7.98239038796875
"CD14","CD14","CD14_2",8.01899229782977
"CD15","CD15","CD15_2",8.05414081576988
"CD16","CD16","CD16_2",7.97889754776881
"CD17","CD17","CD17_2",7.99679511374061
"CD18","CD18","CD18_2",8.05524872416487
"CD20","CD20","CD20_2",7.76066790263701
"CD21","CD21","CD21_2",7.81956330082421
"CD22","CD22","CD22_2",7.93720721148621
"CD23","CD23","CD23_2",7.93628746144395
"CD24","CD24","CD24_2",7.88515901662219
"CD25","CD25","CD25_2",8.04783742123493
"CD26","CD26","CD26_2",8.00707262240358
"CD27","CD27","CD27_2",8.05951721173578
"CD28","CD28","CD28_2",8.04970269911619
"CD29","CD29","CD29_2",8.01344072725359
"CD30","CD30","CD30_2",7.70996121361878
"CD31","CD31","CD31_2",7.86127808674376
"CD32","CD32","CD32_2",7.88451906247595
"CD33","CD33","CD33_2",7.95410410755561
"CD34","CD34","CD34_2",7.97802804829501
"CD35","CD35","CD35_2",8.03707306578041
"CD36","CD36","CD36_2",8.02971197863172
"CD37","CD37","CD37_2",7.93767937174402
"CD38","CD38","CD38_2",7.93824312702746
"CD39","CD39","CD39_2",7.9713490311141
"CD40","CD40","CD40_2",7.84591150939261
"CD41","CD41","CD41_2",7.8051214076609
"CD42","CD42","CD42_2",7.78324785400636
"CD43","CD43","CD43_2",7.98116130379253
"CD44","CD44","CD44_2",7.86638437235088
"CD45","CD45","CD45_2",7.86541639556658
"CD46","CD46","CD46_2",7.92498047662533
"CD47","CD47","CD47_2",7.92422476367327
"CD48","CD48","CD48_2",7.90934887568102
"CD49","CD49","CD49_2",7.93768834926518
"CD50","CD50","CD50_2",7.84878679805814
"CD51","CD51","CD51_2",7.78449281820483
"CD52","CD52","CD52_2",7.76331979399513
"CD53","CD53","CD53_2",7.89680252615629
